[Epoch 019] train_loss=-2.29169496 | score=0.94375685 | val_nll=-2.45315841 | val_acc=0.96212551 | val_dt_mae=1.76721330 | val_qty_mae=0.69653272 | train_log_qty_aux=nan | val_log_qty_aux=nan
[Epoch 020] train_loss=-2.34013961 | score=0.94441020 | val_nll=-2.49278703 | val_acc=0.96290201 | val_dt_mae=1.76721330 | val_qty_mae=0.81967703 | train_log_qty_aux=nan | val_log_qty_aux=nan
[Epoch 021] train_loss=-2.38338639 | score=0.94426316 | val_nll=-2.53745478 | val_acc=0.96275135 | val_dt_mae=1.76721330 | val_qty_mae=0.81605721 | train_log_qty_aux=nan | val_log_qty_aux=nan
[Epoch 022] train_loss=-2.42573658 | score=0.94465834 | val_nll=-2.57959543 | val_acc=0.96321493 | val_dt_mae=1.76721330 | val_qty_mae=0.88445602 | train_log_qty_aux=nan | val_log_qty_aux=nan
[Epoch 023] train_loss=-2.46473092 | score=0.94400729 | val_nll=-2.61433215 | val_acc=0.96238048 | val_dt_mae=1.76721330 | val_qty_mae=0.70106240 | train_log_qty_aux=nan | val_log_qty_aux=nan
[Epoch 024] train_loss=-2.50061121 | score=0.94444706 | val_nll=-2.65271829 | val_acc=0.96290201 | val_dt_mae=1.76721330 | val_qty_mae=0.78281783 | train_log_qty_aux=nan | val_log_qty_aux=nan
[Epoch 025] train_loss=-2.53495425 | score=0.94489826 | val_nll=-2.68347972 | val_acc=0.96330764 | val_dt_mae=1.76721330 | val_qty_mae=0.73724747 | train_log_qty_aux=nan | val_log_qty_aux=nan
[Epoch 026] train_loss=-2.56597804 | score=0.94416756 | val_nll=-2.71207225 | val_acc=0.96253115 | val_dt_mae=1.76721330 | val_qty_mae=0.69144890 | train_log_qty_aux=nan | val_log_qty_aux=nan
[Epoch 027] train_loss=-2.59596794 | score=0.94503411 | val_nll=-2.74495878 | val_acc=0.96340036 | val_dt_mae=1.76721330 | val_qty_mae=0.69411299 | train_log_qty_aux=nan | val_log_qty_aux=nan
[Epoch 028] train_loss=-2.62424507 | score=0.94325323 | val_nll=-2.76642390 | val_acc=0.96166193 | val_dt_mae=1.76721330 | val_qty_mae=0.73657582 | train_log_qty_aux=nan | val_log_qty_aux=nan
