phase,device,torch,route,targets,joint_objective,log_qty_mse,qty_mae,qty_rmse,time_nll,qty_mae_reference_abs_difference,qty_rmse_reference_abs_difference,time_nll_reference_abs_difference,joint_objective_reference_abs_difference,replay_pass
train,cpu,2.7.1,official,256,-3.5943922419101,0.00506723600668435,0.9316518208943307,1.4492779089239376,-3.5994594721123576,,,,,
train,cpu,2.7.1,probe,256,-3.5943922361056733,0.00506723600668435,0.9316518208943307,1.4492779089239376,-3.5994594721123576,,,,,
train,cuda,2.11.0+cu130,official,256,-3.5943922167643905,0.005067248944621294,0.9316572649404407,1.4492828933477786,-3.5994594637304544,,,,,
train,cuda,2.11.0+cu130,probe,256,-3.5943922150126526,0.005067248717801842,0.9316570935770869,1.449282883652683,-3.5994594637304544,,,,,
validation,cpu,2.7.1,official,86285,-3.584929009274701,0.0076264009398682026,0.8065635587737079,2.2571277347995755,-3.592555410433542,7.05693918534589e-6,0.00002550396374223496,6.034724275849612e-9,2.02953520656024e-8,false
validation,cpu,2.7.1,probe,86285,-3.584929009493674,0.0076264009398682026,0.8065635587737079,2.2571277347995755,-3.592555410433542,7.05693918534589e-6,0.00002550396374223496,6.034724275849612e-9,2.051432534955211e-8,false
validation,cuda,2.11.0+cu130,official,86285,-3.5849289889793488,0.00762641546424779,0.8065706157128932,2.2571532387633173,-3.592555404398818,0.0,4.440892098500626e-16,0.0,0.0,true
validation,cuda,2.11.0+cu130,probe,86285,-3.5849289892576324,0.007626415141185537,0.8065704200167904,2.257152489518959,-3.592555404398818,1.956961028781734e-7,7.492443585555009e-7,0.0,2.782836183712334e-10,true
