model,model_label,seed,best_val_nll,best_val_nll_marker,best_val_nll_time,best_val_qty_mae,best_val_qty_rmse,mark_acc,best_epoch,parameter_count,completed_epochs,source_revision,checkpoint_state_sha256
rmtpp,Adapted RMTPP,42,-3.5139461985827825,0.08553926646436288,-3.599485465047146,0.7252638023926277,2.2118021765412452,0.9650808367618937,186.0,21726.0,226,8099d07e8fc6d8bcbbd7990f6034fa367f3aee5d,d40bd9304172d085b6a1d8e21c206fc444dae4b1bb9faac8ca7a940ae00adfe4
rmtpp,Adapted RMTPP,52,-3.512479524832593,0.08699986830662369,-3.599479393139218,0.6320748416899584,2.068227243655852,0.9652430897606769,211.0,21726.0,251,8099d07e8fc6d8bcbbd7990f6034fa367f3aee5d,35b013b44f09b5ee995207274734dc6d65a731522f5b04b4bb9f154522fd44c6
rmtpp,Adapted RMTPP,62,-3.5143402095435046,0.08513605530963556,-3.599476264853145,0.6784070173144071,2.031008120415447,0.9654864692588515,248.0,21726.0,288,8099d07e8fc6d8bcbbd7990f6034fa367f3aee5d,defae1287c2339545eb0ff81a825f793b445e628e910586afa5cb079aa043f6d
thp,Adapted THP,42,-3.4702820113386057,0.12912343549564403,-3.599405446834247,1.509272514741045,5.2385990852495805,0.9500724343744568,194.0,101582.0,234,8099d07e8fc6d8bcbbd7990f6034fa367f3aee5d,f5740733c92f30173419f69f76f10cf5c880c754fc8c4dbe9b383f56fe80d1e3
thp,Adapted THP,52,-3.4641513374225394,0.1308337847530198,-3.5949851221755598,2.051010945133147,6.007124714551831,0.9507678043692415,166.0,101582.0,206,8099d07e8fc6d8bcbbd7990f6034fa367f3aee5d,6aafc3f0fe11e5e76c44e77cd4285a35dc6cdd0340c19dd20a30092bd9c2238d
thp,Adapted THP,62,-3.454821078940457,0.1352648038262479,-3.5900858827667097,2.112739842000328,8.544397616505051,0.9484035463869734,146.0,101582.0,186,8099d07e8fc6d8bcbbd7990f6034fa367f3aee5d,9ad297adf7fc2d981da09c088c71c60795cf5f4c0f5a75ae1ee13c84bc409a0a
titantpp,TitanTPP,42,-3.5016777002260357,0.09769852878091448,-3.5993762290069498,0.665828308953038,1.791632537775048,0.9602016572984876,186.0,93342.0,226,8099d07e8fc6d8bcbbd7990f6034fa367f3aee5d,0a8fcaeea9aa50c665a07d786751910b5877333689a34f1569cb6f0ad2327fc7
titantpp,TitanTPP,52,-3.4867293088028593,0.10365428925653035,-3.59038359805939,0.6318223933960269,1.589789587852541,0.958057599814568,150.0,93342.0,190,8099d07e8fc6d8bcbbd7990f6034fa367f3aee5d,20c7d8707435e1644daf02d3116d861a8a653d039322a883bdbb7cade9ed0f04
titantpp,TitanTPP,62,-3.499223715664957,0.10024981262866327,-3.599473528293619,0.6187271403017413,1.6279451736068413,0.9581619053137858,221.0,93342.0,261,8099d07e8fc6d8bcbbd7990f6034fa367f3aee5d,8eab0610bdff1cee55b891d0113e04fa9e17d09c91676e103a67905093db70a1
