alternative,alternative_label,stratum_order,stratum,stratum_label,metric,proposal_mean,alternative_mean,delta_mean,delta_std,relative_delta_pct,proposal_better_seeds,seed_42_delta,seed_52_delta,seed_62_delta
uniform_categorical,Uniform-bin categorical,-1,all,All validation,qty_mae,65.85800862026116,109.20438235768424,-43.34637373742308,1.9622873880596294,-39.69288851014044,3,-41.18345154572438,-43.843114825208005,-45.01255484133685
uniform_categorical,Uniform-bin categorical,-1,all,All validation,qty_rmse,185.16137891814137,288.34700649787914,-103.1856275797378,6.3591352454215215,-35.78522587523264,3,-95.887952901783,-106.12979528646531,-107.53913455096509
uniform_categorical,Uniform-bin categorical,0,le_p50,<= 7,qty_mae,1.6240285983143543,3.731209899175069,-2.1071813008607148,0.22503437573625254,-56.474477657410546,3,-2.251542565680009,-2.222111168364447,-1.8478901685376872
uniform_categorical,Uniform-bin categorical,0,le_p50,<= 7,qty_rmse,5.508009053597091,4.033970098687344,1.4740389549097466,3.8521415238136867,36.54065148845302,2,-0.8439464228227962,-0.6547034673534085,5.920766754905444
uniform_categorical,Uniform-bin categorical,1,p50_p90,"(7, 686]",qty_mae,54.161679019600264,106.23358827278521,-52.07190925318495,1.0587721960268528,-49.016427007506685,3,-51.54559740938907,-51.379426412061186,-53.2907039381046
uniform_categorical,Uniform-bin categorical,1,p50_p90,"(7, 686]",qty_rmse,121.62620731656128,216.3599656323292,-94.73375831576791,4.211688598897698,-43.785252987492846,3,-89.89309093889608,-96.74878303076335,-97.55940097764433
uniform_categorical,Uniform-bin categorical,2,p90_p95,"(686, 1562]",qty_mae,566.8557995020417,986.9818652849741,-420.12606578293247,32.940723340339105,-42.566746214899126,3,-400.96959472814376,-458.1624015057025,-401.2462011149511
uniform_categorical,Uniform-bin categorical,2,p90_p95,"(686, 1562]",qty_rmse,618.6888602141986,1012.01315355507,-393.3242933408713,28.248456232566216,-38.86553173337466,3,-383.3780804081706,-425.200557907085,-371.39424170735833
uniform_categorical,Uniform-bin categorical,3,p95_p99,"(1562, 3449]",qty_mae,388.32606656738824,471.0016611295681,-82.67559456217988,27.059425939350326,-17.553142883595182,3,-59.26139147178674,-76.464999480897,-112.30039273385592
uniform_categorical,Uniform-bin categorical,3,p95_p99,"(1562, 3449]",qty_rmse,481.63581727553475,635.3382896451554,-153.70247236962072,33.82562908553762,-24.192225602437013,3,-124.77272801052504,-145.44124498236215,-190.89344411597494
uniform_categorical,Uniform-bin categorical,4,gt_p99,> 3449,qty_mae,402.2141906480749,386.21940928270044,15.994781365374479,107.66987774755279,4.1413717127993435,1,46.62001829509495,105.03432493571995,-103.66999913469147
uniform_categorical,Uniform-bin categorical,4,gt_p99,> 3449,qty_rmse,479.0814501893316,545.2151538231805,-66.13370363384884,129.83712156388933,-12.12983593176076,2,-2.0971569165741357,19.245504451499187,-215.54945843647158
uniform_categorical,Uniform-bin categorical,10,p90_plus,Above train p90,qty_mae,479.7224617568797,722.2687119234116,-242.54625016653196,19.375148106558235,-33.58116531458602,3,-220.53389158323597,-250.09000020238813,-257.0148587139718
uniform_categorical,Uniform-bin categorical,10,p90_plus,Above train p90,qty_rmse,556.0296196832634,839.9463086739913,-283.9166889907279,18.651490600324188,-33.80176638182294,3,-262.5096103517976,-292.57551812926954,-296.6649384911166
uniform_categorical,Uniform-bin categorical,11,p95_plus,Above train p95,qty_mae,391.2133344683731,453.37587719298244,-62.162542724609374,41.87338358747627,-13.71103886459082,3,-37.24920365182976,-38.73224519428453,-110.50617932771382
uniform_categorical,Uniform-bin categorical,11,p95_plus,Above train p95,qty_rmse,481.62692551745397,617.8022027340855,-136.17527721663154,51.5025411334782,-22.041889234772462,3,-100.99999517943763,-112.23538046318487,-195.29045600727216
quantile_categorical,Quantile-bin categorical,-1,all,All validation,qty_mae,65.85800862026116,171.7530237058539,-105.89501508559273,3.1791958761979404,-61.65540076135701,3,-103.50940703677422,-104.67142880682387,-109.5042094131801
quantile_categorical,Quantile-bin categorical,-1,all,All validation,qty_rmse,185.16137891814137,553.4292720626967,-368.2678931445553,8.287856922702225,-66.54290109592091,3,-358.88360736168863,-371.33524139348793,-374.5848306784892
quantile_categorical,Quantile-bin categorical,0,le_p50,<= 7,qty_mae,1.6240285983143543,6.815536205316223,-5.191507607001869,1.2369831363634316,-76.17166794525151,3,-5.828077854405949,-3.7658783544322745,-5.980566612167384
quantile_categorical,Quantile-bin categorical,0,le_p50,<= 7,qty_rmse,5.508009053597091,46.512820101608874,-41.00481104801179,5.521566979499614,-88.15808406894132,3,-45.97108047487529,-35.05904324775852,-41.98430942140155
quantile_categorical,Quantile-bin categorical,1,p50_p90,"(7, 686]",qty_mae,54.161679019600264,100.24569789674952,-46.084018877149255,3.257233946405105,-45.971068927680676,3,-46.297031443805885,-42.72550671798853,-49.22951846965336
quantile_categorical,Quantile-bin categorical,1,p50_p90,"(7, 686]",qty_rmse,121.62620731656128,167.80456946767814,-46.178362151116865,2.5303072754085925,-27.519132701574947,3,-44.12924785267117,-45.39922784892272,-49.006610751756696
quantile_categorical,Quantile-bin categorical,2,p90_p95,"(686, 1562]",qty_mae,566.8557995020417,577.9974093264249,-11.141609824383218,32.84756941443921,-1.92762279633177,1,12.211752422115296,-48.701261609329435,3.064679714064482
quantile_categorical,Quantile-bin categorical,2,p90_p95,"(686, 1562]",qty_rmse,618.6888602141986,625.0576367206451,-6.3687765064464275,27.18321643266541,-1.018910278396103,1,8.084891451450062,-37.72538187982127,10.534160909031925
quantile_categorical,Quantile-bin categorical,3,p95_p99,"(1562, 3449]",qty_mae,388.32606656738824,1824.7607973421927,-1436.4347307748046,41.42236220934448,-78.71907007576037,3,-1398.498933000026,-1430.1743018064785,-1480.630957517909
