variant,variant_label,stratum_order,stratum,stratum_label,count,share,n_seeds,qty_mae_mean,qty_mae_std,qty_rmse_mean,qty_rmse_std,qty_bias_mean,qty_bias_std
uniform_categorical,Uniform bins,-1,all,All validation,8268,1.0,3,109.20438235768424,0.513833617164449,288.34700649787914,1.9430478055460008,-75.97163763909047,2.5471220008563487
uniform_categorical,Uniform bins,0,le_p50,<= 7,4364,0.5278180938558297,3,3.731209899175069,0.0,4.033970098687344,0.0,3.6711732355637032,0.0
uniform_categorical,Uniform bins,1,p50_p90,"(7, 686]",3138,0.3795355587808418,3,106.23358827278521,0.6031666371040394,216.3599656323292,3.022795975799401,-88.88687061822817,1.442837332325952
uniform_categorical,Uniform bins,2,p90_p95,"(686, 1562]",386,0.04668601838413159,3,986.9818652849741,4.45440387386609,1012.01315355507,4.788479604322781,-851.4430051813472,26.025633896112634
uniform_categorical,Uniform bins,3,p95_p99,"(1562, 3449]",301,0.03640541848089018,3,471.0016611295681,14.54657564868983,635.3382896451554,25.24705051106487,-75.3062015503876,25.302455211403796
uniform_categorical,Uniform bins,4,gt_p99,> 3449,79,0.009554910498306726,3,386.21940928270044,11.977921815289667,545.2151538231805,20.933339324147468,-175.9915611814346,74.53486389254645
quantile_categorical,Quantile bins,-1,all,All validation,8268,1.0,3,171.7530237058539,1.7464352299414447,553.4292720626967,0.7111406268113343,-99.61393323657474,1.9464025110758376
quantile_categorical,Quantile bins,0,le_p50,<= 7,4364,0.5278180938558297,3,6.815536205316223,1.3628334630009822,46.512820101608874,7.12934268439725,5.353116406966087,1.2558778981315066
quantile_categorical,Quantile bins,1,p50_p90,"(7, 686]",3138,0.3795355587808418,3,100.24569789674952,2.7378174293763835,167.80456946767814,3.5736480801917443,72.90344168260039,3.3994319164413023
quantile_categorical,Quantile bins,2,p90_p95,"(686, 1562]",386,0.04668601838413159,3,577.9974093264249,0.0,625.0576367206451,0.0,-577.9974093264249,0.0
quantile_categorical,Quantile bins,3,p95_p99,"(1562, 3449]",301,0.03640541848089018,3,1824.7607973421927,0.0,1889.6432040303814,0.0,-1824.7607973421927,0.0
quantile_categorical,Quantile bins,4,gt_p99,> 3449,79,0.009554910498306726,3,3840.253164556962,0.0,3911.6452040709987,0.0,-3840.253164556962,0.0
direct_raw_mse,Raw MSE regression,-1,all,All validation,8268,1.0,3,35.49122192636265,2.0783734001489114,90.98224721191681,9.638140440995839,6.969877133233339,10.477209391795386
direct_raw_mse,Raw MSE regression,0,le_p50,<= 7,4364,0.5278180938558297,3,9.091345572304078,2.331982665593576,29.4029583827017,1.0439659902352407,6.62873617429235,3.145770895950891
direct_raw_mse,Raw MSE regression,1,p50_p90,"(7, 686]",3138,0.3795355587808418,3,33.938815564847886,1.8836665341261543,62.121657394149594,5.443291924246721,6.266324913068665,6.263780831145793
direct_raw_mse,Raw MSE regression,2,p90_p95,"(686, 1562]",386,0.04668601838413159,3,143.0015100930433,19.870784824674384,188.90262440015945,28.270047337338728,15.161992232828355,80.41242146466517
direct_raw_mse,Raw MSE regression,3,p95_p99,"(1562, 3449]",301,0.03640541848089018,3,228.7563782076239,25.132989902467223,303.2679509307471,32.948289325559564,10.415105842936745,144.62478069383295
direct_raw_mse,Raw MSE regression,4,gt_p99,> 3449,79,0.009554910498306726,3,293.82955481935653,41.962379835775515,373.8027750979259,40.22709166262237,0.606785255142403,208.81802088709588
mark_residual,Mark-residual,-1,all,All validation,8268,1.0,3,65.85800862026116,2.474770396674471,185.16137891814137,8.302179044574332,7.148166667526431,2.37180574073868
mark_residual,Mark-residual,0,le_p50,<= 7,4364,0.5278180938558297,3,1.6240285983143543,0.22503437573625254,5.508009053597091,3.8521415238136867,0.24483281073951224,0.14465470529159985
mark_residual,Mark-residual,1,p50_p90,"(7, 686]",3138,0.3795355587808418,3,54.161679019600264,0.524240504216043,121.62620731656128,2.722521096364255,-39.28899534053298,2.4750087624312105
mark_residual,Mark-residual,2,p90_p95,"(686, 1562]",386,0.04668601838413159,3,566.8557995020417,32.84756941443921,618.6888602141986,27.18321643266541,96.35897140634698,50.11878283972332
mark_residual,Mark-residual,3,p95_p99,"(1562, 3449]",301,0.03640541848089018,3,388.32606656738824,41.422362209344485,481.63581727553475,58.229612298228645,383.3679592601485,41.570612501043435
mark_residual,Mark-residual,4,gt_p99,> 3449,79,0.009554910498306726,3,402.2141906480749,97.62054454019916,479.0814501893316,111.67955855938548,363.71063670226795,136.40683432435182
