scope,count,mean_mlp_logit_correction,baseline_bias,mlp_bias,constant_bias,MLP_AE_reduction,constant_AE_reduction,MLP_SE_reduction,constant_SE_reduction
le_p50,4364,-0.03003736494053708,0.6109624429649437,0.5639339715488234,0.7616885808304185,-59.156065464019775,-320.79059904813766,-3868.586570928155,-4495.375552268624
p50_p90,3138,0.04501999732221916,-6.236588420649103,-1.1916445949185495,-1.170167553569193,-854.73688185215,-787.3860278129578,-682460.8530228392,-681465.0076943794
p90_p95,386,0.04999999329447746,-145.82010551808412,-100.28213105671146,-100.28213105671146,6067.535339355469,6067.535339355469,2617994.4612795636,2617994.4612795636
p95_p99,301,0.04999999329447746,-470.04571918474875,-377.20797658521076,-377.20797658521076,21062.976684570312,21062.976684570312,21668212.177416228,21668212.177416228
gt_p99,79,0.04999999329447746,-1166.282479974288,-1005.8048420193829,-1005.8048420193829,12677.7333984375,12677.7333984375,27834391.72795391,27834391.72795391
