dataset,train_targets,total_batches,nonzero_gradient_batches,last_nonzero_gradient_step_1based,final_identity_fraction,final_gate_mean,final_relative_residual_norm_reduction,final_projected_residual_abs_reduction,oracle_shrink_helpful_fraction,oracle_shrink_derivative_mean,historical_train_objective_max_abs_gap,final_train_log_mse_baseline,final_train_log_mse_candidate,final_train_mae_baseline,final_train_mae_candidate,final_train_rmse_baseline,final_train_rmse_candidate,clamp_inactive_at_final_epoch
insta_market_basket,65536,5120,5120,5120,0.034881591796875,0.855837071238966,0.14416292876103398,0.03878442517804073,0.50628662109375,-0.01871694024305326,2.3283064365386963e-8,0.2497748814914567,0.2478219680968668,3.8974657682520046,3.907676394579539,5.667548978739256,5.726583448411268,false
intermittent_v2,65536,5120,1,1,1.0,1.0,0.0,0.0,0.4160308837890625,0.006333826134944714,2.3748725652694702e-8,0.007739912664778281,0.007739912664778281,0.7410664100561917,0.7410664100561917,1.8159582629283308,1.8159582629283308,true
raf_spare_parts,25779,2020,1,1,1.0,1.0,0.0,0.0,0.40199387098025524,-0.00006881666634058891,4.024972488636536e-8,0.6243668836583872,0.6243668836583872,10.689103807319176,10.689103807319176,47.66960938520869,47.66960938520869,true
yellow_trip_hourly,38393,3000,5,5,1.0,1.0,0.0,0.0,0.386502747896752,0.004399672787760454,1.267450633335443e-8,0.17672723940896495,0.17672723940896495,57.952955392818346,57.952955392818346,193.24905260132851,193.24905260132851,true
