model,model_label,encoder,table_role,quantity_objective,n_seeds,best_val_joint_objective_mean,best_val_joint_objective_std,best_val_time_nll_mean,best_val_time_nll_std,best_val_log_qty_mse_mean,best_val_log_qty_mse_std,best_val_qty_mae_mean,best_val_qty_mae_std,best_val_qty_rmse_mean,best_val_qty_rmse_std
rmtpp,Adapted RMTPP,GRU,T0 common control,Direct log-MSE,3,-3.588977573227918,0.0008548305486069334,-3.599494376205306,4.011258911285863e-07,0.010516803304590571,0.0008544337749507179,2.9025231278195256,0.1702520597350941,10.578742459963108,0.6046644746907728
thp,Adapted THP,Causal Transformer,T0 common control,Direct log-MSE,3,-3.595300805861359,0.0001496720448849704,-3.5994848127120664,4.213802435685172e-06,0.00418400722377485,0.00015254694942438182,0.6663796510258636,0.08187169090307003,2.1507372556199993,0.5551545510127159
nhp,Adapted NHP,Continuous-time LSTM,T0 common control,Direct log-MSE,3,-3.5559389431258164,0.002010816965532818,-3.5994923698059598,9.782667663420393e-07,0.04355342684032445,0.002010033896083211,5.2826904767350005,0.1646519716771066,15.424366991538955,0.7388889557644533
sahp,Adapted SAHP,Self-attention + decay,T0 common control,Direct log-MSE,3,-3.5940859600477633,0.00011552332990007209,-3.5994940298460323,1.0682621905579796e-06,0.005408070176885286,0.00011445559421406928,1.0814587297670022,0.008460897066512481,3.7723801667799792,0.17503502443698218
titantpp,TitanTPP-T0,Titan Hard-LMM,T0 common control,Direct log-MSE,3,-3.586027553457255,0.001289971939737208,-3.5930775249585314,0.0006612916640627442,0.007049971849263221,0.0006326343186809,0.7469174141165063,0.068508115940627,1.9195184940745054,0.2937663783820643
titantpp_t1,TitanTPP-T1,Titan Hard-LMM,Proposed method,Log-MSE + tail-aware auxiliary,3,-3.586922972063821,0.0010860769484725894,-3.5931698522164144,0.0009191050155677906,0.006228764490172542,0.00018041309987422942,0.6988841214730965,0.059655271087854275,1.7997154304789869,0.1821256599284717
