model,model_name,seeds,best_val_nll_mean,best_val_nll_std,best_val_nll_marker_mean,best_val_nll_marker_std,best_val_nll_time_mean,best_val_nll_time_std,best_val_nll_qty_mae_mean,best_val_nll_qty_mae_std,best_val_nll_qty_rmse_mean,best_val_nll_qty_rmse_std,best_val_nll_qty_wape_mean,best_val_nll_qty_wape_std,best_val_nll_dt_mae_mean,best_val_nll_dt_mae_std,best_val_nll_mark_acc_mean,best_val_nll_mark_acc_std,best_val_nll_epoch_mean,best_val_nll_epoch_std,trained_epochs_mean,trained_epochs_std
Adapted RMTPP,rmtpp,3,-3.4269506767146067,0.005017558783134674,0.08856828023487663,0.0009368600891542757,-3.5155189410560372,0.00514285557137475,0.7090742249262344,0.02726134615444481,1.9723172159166615,0.05279705011462053,0.03996720038815036,0.0015365946840315279,1.7672133047459002,0.0,0.964937899596299,0.0006384050893869759,224.33333333333334,44.07191093353377,264.3333333333333,44.07191093353377
Adapted THP,thp,3,-3.42770151908783,0.006049269463488991,0.11105172646760421,0.0028843922484549003,-3.5387532432567794,0.004856213958589134,0.8226592814044341,0.03950675631100106,2.186909053399212,0.07549465558808444,0.046369459212092026,0.002226811228869397,1.7672133047459002,0.0,0.9582121264800757,0.0005453636597742095,261.6666666666667,52.57692776621066,280.3333333333333,34.06366588218792
TitanTPP,titantpp,3,-3.4468515529670514,0.0020913130269365945,0.09101012541924243,0.0014294341656229316,-3.537861658294413,0.0029421694769489136,0.7254964097117086,0.04041211113039026,2.015940297365818,0.09835983551846561,0.04089284219976826,0.0022778418491019563,1.7672133047459002,0.0,0.9624538834482625,0.0006617526645328791,258.6666666666667,35.07610772781572,287.0,19.157244060668017
