baseline,seed,titan_minus_baseline_best_val_nll,titan_minus_baseline_best_val_nll_marker,titan_minus_baseline_best_val_nll_time,titan_minus_baseline_best_val_nll_qty_mae,titan_minus_baseline_best_val_nll_qty_rmse,titan_minus_baseline_best_val_nll_mark_acc
Adapted RMTPP,42,-0.024771310523659107,0.0014952469717562505,-0.026266554296241473,-0.01749012491659796,-0.04625381197595235,-0.002167236483745727
Adapted RMTPP,52,-0.022170915286980453,0.002631188577534624,-0.02480209902332131,0.01014987462474759,0.011275373990771165,-0.002514921481138077
Adapted RMTPP,62,-0.012760402946695226,0.003199100003806535,-0.01595949839556443,0.056606804648272946,0.16584768233264957,-0.0027698904792258228
Adapted RMTPP,mean,-0.019900876252444927,0.0024418451843658032,-0.022342717238375737,0.016422184785474192,0.04362308144915613,-0.002484016148036542
Adapted THP,42,-0.024735269205535815,-0.024784759573996576,4.951895723559474e-05,-0.075704592433542,-0.13233121705175233,0.004450367966622237
Adapted THP,52,-0.014902226212141212,-0.017991933662440257,0.003089713928714044,-0.1180230442284087,-0.24058919463224204,0.003175522976183509
Adapted THP,62,-0.017812606219987703,-0.01734810990864849,-0.0004644779988511871,-0.09776097841622589,-0.13998585641618977,0.005099379961754691
Adapted THP,mean,-0.019150033879221578,-0.020041601048361776,0.0008915849623661506,-0.09716287169272553,-0.1709687560333947,0.004241756968186812
