model,model_name,seed,best_val_nll_epoch,trained_epochs,val_nll,val_nll_marker,val_nll_time,quantity_mae,quantity_rmse,quantity_wape,delta_t_mae,mark_accuracy
Adapted RMTPP,rmtpp,42,256,296,-3.4220059130181717,0.0879661708804576,-3.509972066592457,0.7341709148360893,2.030017944426388,0.04138178351562307,1.7672133047459002,0.9651387842614592
Adapted RMTPP,rmtpp,52,174,214,-3.4268081245039945,0.08964766971834948,-3.5164557778435332,0.6800699354274984,1.9264228513129698,0.038332364132986095,1.7672133047459002,0.9642232137683259
Adapted RMTPP,rmtpp,62,243,283,-3.4320379926216535,0.0880910001058228,-3.5201289787321217,0.7129818245151155,1.9605108520106265,0.04018745351584191,1.7672133047459002,0.9654517007591122
Adapted THP,thp,42,201,241,-3.422041954336295,0.11424617742621043,-3.5362881398459343,0.7923853823530334,2.116095349502188,0.04466306099962866,1.7672133047459002,0.9585211798110912
Adapted THP,thp,52,294,300,-3.4340768135788338,0.11027079195832436,-3.5443475907955686,0.8082428542806547,2.178287419935983,0.045556872586485664,1.7672133047459002,0.9585327693110043
Adapted THP,thp,62,290,300,-3.426985789348361,0.10863821001827782,-3.535623999128835,0.8673496075796143,2.266344390759466,0.04888844405016175,1.7672133047459002,0.9575824303181317
TitanTPP,titantpp,42,256,296,-3.446777223541831,0.08946141785221386,-3.5362386208886987,0.7166807899194914,1.9837641324504358,0.040395946909549604,1.7672133047459002,0.9629715477777134
TitanTPP,titantpp,52,295,300,-3.448979039790975,0.0922788582958841,-3.5412578768668546,0.690219810052246,1.937698225303741,0.03890446513282725,1.7672133047459002,0.9617082922871878
TitanTPP,titantpp,62,225,265,-3.4447983955683488,0.09129010010962933,-3.536088477127686,0.7695886291633884,2.126358534343276,0.04337811455692794,1.7672133047459002,0.9626818102798864
