shape,batch_size,seq_len,pre_surprise_train_ms,final_surprise_train_ms,speedup,final_hard_lmm_train_ms,final_ratio_to_hard_lmm,final_surprise_peak_memory_mb,acceptance
intermittent,128,16,16.72522359986033,3.7403233498480404,4.471598317974255,2.7510061001521535,1.359620158472629,50.13232421875,PASS
instacart,128,64,58.873806100018555,4.779208049876615,12.318736804424846,2.911703599966131,1.641378624504296,238.20654296875,PASS
long,32,256,236.05202284998086,9.652874550010893,24.45406512091411,3.697952750007971,2.6103293369527463,366.6953125,PASS
