backbone,backbone_label,variant,seed,stratum_order,stratum,stratum_label,share,count,qty_mae,qty_rmse,qty_bias
thp,Adapted THP,log_regression,42,-1,all,All validation,1.0,8268,51.48834815407987,159.75396918969992,34.90379649704934
thp,Adapted THP,log_regression,42,0,le_p50,<= 7,0.5278180938558297,4364,2.7094703946880636,13.4967157359032,1.4860190900228747
thp,Adapted THP,log_regression,42,1,p50_p90,"(7, 686]",0.3795355587808418,3138,36.90580561276528,91.15672079457202,21.465217649214885
thp,Adapted THP,log_regression,42,2,p90_p95,"(686, 1562]",0.04668601838413159,386,297.16180578044043,388.1445830400808,262.4560531062783
thp,Adapted THP,log_regression,42,3,p95_p99,"(1562, 3449]",0.03640541848089018,301,486.98750583990864,550.3804940117353,443.16558493173795
thp,Adapted THP,log_regression,42,4,gt_p99,> 3449,0.009554910498306726,79,465.6129042227057,663.7849283746665,-252.6471951641614
thp,Adapted THP,log_regression,52,-1,all,All validation,1.0,8268,40.946576349231776,150.39104625831996,-3.6097294548801253
thp,Adapted THP,log_regression,52,0,le_p50,<= 7,0.5278180938558297,4364,1.625773447052696,4.15290667661525,0.17228213253095542
thp,Adapted THP,log_regression,52,1,p50_p90,"(7, 686]",0.3795355587808418,3138,33.74801867991363,89.26513474877383,19.878125194989625
thp,Adapted THP,log_regression,52,2,p90_p95,"(686, 1562]",0.04668601838413159,386,203.60780326566547,283.9693733627338,-22.20567203185719
thp,Adapted THP,log_regression,52,3,p95_p99,"(1562, 3449]",0.03640541848089018,301,256.8912919256774,369.92559147364864,-49.069785488800356
thp,Adapted THP,log_regression,52,4,gt_p99,> 3449,0.009554910498306726,79,881.4334732248814,1065.0055469498006,-881.4334732248814
thp,Adapted THP,log_regression,62,-1,all,All validation,1.0,8268,40.07284688515598,143.32169271845927,7.585044043143129
thp,Adapted THP,log_regression,62,0,le_p50,<= 7,0.5278180938558297,4364,3.658227726721523,21.35825646450186,2.8396851398276146
thp,Adapted THP,log_regression,62,1,p50_p90,"(7, 686]",0.3795355587808418,3138,37.380619594669405,92.49690269785208,26.558620753373365
thp,Adapted THP,log_regression,62,2,p90_p95,"(686, 1562]",0.04668601838413159,386,166.13396046692844,246.85577603314374,84.25380094063715
thp,Adapted THP,log_regression,62,3,p95_p99,"(1562, 3449]",0.03640541848089018,301,216.09069215894934,300.6131571543775,11.110431861243772
thp,Adapted THP,log_regression,62,4,gt_p99,> 3449,0.009554910498306726,79,871.9797579608386,1068.967233876966,-871.9797579608386
titantpp,TitanTPP,log_regression,42,-1,all,All validation,1.0,8268,37.12429449520915,122.0084090417351,19.663423492870127
titantpp,TitanTPP,log_regression,42,0,le_p50,<= 7,0.5278180938558297,4364,1.4388838712634786,3.5137180907410124,0.3792292131921985
titantpp,TitanTPP,log_regression,42,1,p50_p90,"(7, 686]",0.3795355587808418,3138,27.804139677014906,66.27770036466319,9.556322173148375
titantpp,TitanTPP,log_regression,42,2,p90_p95,"(686, 1562]",0.04668601838413159,386,186.3314930021454,268.0623610576294,97.38921644774126
titantpp,TitanTPP,log_regression,42,3,p95_p99,"(1562, 3449]",0.03640541848089018,301,380.09433987132735,470.11222749090854,291.9577715800846
titantpp,TitanTPP,log_regression,42,4,gt_p99,> 3449,0.009554910498306726,79,342.81816159018985,435.4537124012622,69.15143517602849
titantpp,TitanTPP,log_regression,52,-1,all,All validation,1.0,8268,43.6783681800242,142.88280813533626,33.296907755188975
titantpp,TitanTPP,log_regression,52,0,le_p50,<= 7,0.5278180938558297,4364,1.8383091445312272,6.431397742322776,1.0340833276319024
titantpp,TitanTPP,log_regression,52,1,p50_p90,"(7, 686]",0.3795355587808418,3138,29.25774213882523,74.41071743664169,17.138130947957
titantpp,TitanTPP,log_regression,52,2,p90_p95,"(686, 1562]",0.04668601838413159,386,219.4080485605823,308.9689879737137,167.86181537845593
titantpp,TitanTPP,log_regression,52,3,p95_p99,"(1562, 3449]",0.03640541848089018,301,470.58593425560633,552.074134818857,429.0515388159261
titantpp,TitanTPP,log_regression,52,4,gt_p99,> 3449,0.009554910498306726,79,442.5531546677215,535.4643862104342,291.9932258702532
titantpp,TitanTPP,log_regression,62,-1,all,All validation,1.0,8268,39.79789730835117,147.68582386769387,-21.434806435442397
titantpp,TitanTPP,log_regression,62,0,le_p50,<= 7,0.5278180938558297,4364,1.9184914221329825,5.335028328979275,1.2256230384821634
titantpp,TitanTPP,log_regression,62,1,p50_p90,"(7, 686]",0.3795355587808418,3138,24.675358252361217,49.653754223320306,8.757337851232599
titantpp,TitanTPP,log_regression,62,2,p90_p95,"(686, 1562]",0.04668601838413159,386,146.742491489865,193.7800362104243,-84.04934304983504
titantpp,TitanTPP,log_regression,62,3,p95_p99,"(1562, 3449]",0.03640541848089018,301,353.78986934015524,442.37866600148334,-323.9102541901344
titantpp,TitanTPP,log_regression,62,4,gt_p99,> 3449,0.009554910498306726,79,1014.0771113528481,1119.862819641859,-1014.0771113528481
