split,target_count,target_dt_min,target_dt_mean,target_dt_p50,target_dt_p90,target_dt_p95,target_dt_p99,target_dt_max,target_dt_eq_1_share
train,393824,1.0,2.996902169497034,3.0,5.0,5.0,7.0,36.0,0.31581874136670185
validation,86285,1.0,2.7672133047459,2.0,5.0,5.0,5.0,17.0,0.30256707423074697
