backbone,backbone_label,completed_epochs,best_joint_epoch,best_time_epoch,best_time_nll_any_epoch,time_nll_at_best_joint,best_log_qty_mse_epoch,best_log_qty_mse_any_epoch,best_qty_mae_epoch,best_qty_mae_any_epoch,late40_time_nll_mean,late40_log_qty_mse_median,late40_qty_mae_median,late40_qty_rmse_median
titantpp,Hard-LMM,240,200,233,-3.5930525445134034,-3.592856040674848,8,0.0050834224884454505,24,0.6164147237385177,-3.5921747191180815,0.00765761717288029,0.713207815253611,1.798698753144631
titantpp_no_memory,No memory,300,295,295,-3.5666623245159017,-3.5666623245159017,14,0.005582372711141418,252,0.6193420872397057,-3.564144921554933,0.0075873596736016815,0.7245469820118104,1.9380917558554067
titantpp_gated_soft_memory,Gated soft,248,208,206,-3.559719985002658,-3.559256894117215,8,0.005507420721758378,211,0.6252959475032616,-3.5570802465532823,0.007830939295663699,0.7111582849095082,1.8359370794274632
titantpp_surprise_memory,Surprise,224,184,221,-3.554224144686427,-3.5541693423778993,56,0.00405074512510619,211,0.5828167847197999,-3.552089066365962,0.0049285509683180875,0.6789676647497963,1.772833031099616
