backbone,backbone_label,best_epoch,completed_epochs,stopped_early,joint_objective,time_nll,log_qty_mse,qty_mae,qty_rmse,parameter_count,time_nll_delta_vs_hard,log_qty_mse_improvement_pct,qty_mae_improvement_pct,qty_rmse_improvement_pct
titantpp,Hard-LMM,200,240,True,-3.585705690087701,-3.592856040674848,0.007150351058535544,0.762085075221471,1.7224032516352568,89795,0.0,0.0,0.0,0.0
titantpp_no_memory,No memory,295,300,False,-3.5593289387849887,-3.5666623245159017,0.007333386019742893,0.9603558793732194,2.8335700399979507,83651,0.0261937161589465,-2.5598038433211765,-26.016885856756694,-64.5125807390196
titantpp_gated_soft_memory,Gated soft,208,248,True,-3.5519137285299633,-3.559256894117215,0.00734316543239657,0.6454685920634758,1.619821634639601,112516,0.0335991465576333,-2.6965721302712766,15.302291955278744,5.955725925288651
titantpp_surprise_memory,Surprise,184,224,True,-3.549745828599582,-3.5541693423778993,0.004423513804141017,0.5849954358532661,1.5269602949040981,98439,0.03868669829694893,38.135711548588034,23.237515748060087,11.347107975185502
