backbone,backbone_label,stratum_order,stratum,stratum_label,count,share,time_nll_delta_vs_hard,weighted_time_nll_delta_contribution,log_qty_mse_improvement_pct,qty_mae_improvement_pct,qty_rmse_improvement_pct
titantpp_no_memory,No memory,0,history_le_64,History <= 64,25088,0.2907573738193197,2.6051259162773732e-05,7.57459569885458e-06,28.18743577686575,5.208745578205346,-26.277352467478032
titantpp_no_memory,No memory,1,history_65_128,History 65-128,28456,0.3297908095265689,0.00010497620476401792,3.462018755015233e-05,-0.2352096340153125,-46.490944710588096,-76.29671533188937
titantpp_no_memory,No memory,2,history_gt_128,History > 128,32741,0.3794518166541114,0.06891921510955923,0.02615152137569773,-14.851840903869004,-24.141734617876565,-52.79325925373065
titantpp_gated_soft_memory,Gated soft,0,history_le_64,History <= 64,25088,0.2907573738193197,2.22913958891624e-06,6.48138772749964e-07,28.63028679565471,20.20630879299009,15.344442308264538
titantpp_gated_soft_memory,Gated soft,1,history_65_128,History 65-128,28456,0.3297908095265689,1.3497343620549884e-06,4.451299879079417e-07,21.09140307405194,14.90774291419095,2.633827622304818
titantpp_gated_soft_memory,Gated soft,2,history_gt_128,History > 128,32741,0.3794518166541114,0.08854366170948946,0.03359805328887286,-23.304216588771734,-6.644820799646813,13.55618733216366
titantpp_surprise_memory,Surprise,0,history_le_64,History <= 64,25088,0.2907573738193197,3.8773239570133455e-06,1.1273605311879332e-06,40.079701883771115,25.519475604775966,18.63529790904737
titantpp_surprise_memory,Surprise,1,history_65_128,History 65-128,28456,0.3297908095265689,1.868019956585698e-05,6.160558136941835e-06,37.972322637763355,21.03545523333887,8.785954088157878
titantpp_surprise_memory,Surprise,2,history_gt_128,History > 128,32741,0.3794518166541114,0.10193497219052494,0.038679410378281015,37.47568146547041,28.93961875403623,15.80200342331187
