[Epoch 017] train_loss=-2.15036207 | score=0.94233160 | val_nll=-2.33275785 | val_acc=0.96074636 | val_dt_mae=1.76721330 | val_qty_mae=0.74263213 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 018] train_loss=-2.20841395 | score=0.94117193 | val_nll=-2.38559026 | val_acc=0.95954106 | val_dt_mae=1.76721330 | val_qty_mae=0.69699424 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 019] train_loss=-2.26190046 | score=0.94331099 | val_nll=-2.44425840 | val_acc=0.96168511 | val_dt_mae=1.76721330 | val_qty_mae=0.70198891 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 020] train_loss=-2.31239124 | score=0.94189432 | val_nll=-2.48399146 | val_acc=0.96032914 | val_dt_mae=1.76721330 | val_qty_mae=0.76268978 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 021] train_loss=-2.35808979 | score=0.94084494 | val_nll=-2.52926853 | val_acc=0.95921655 | val_dt_mae=1.76721330 | val_qty_mae=0.69947978 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 022] train_loss=-2.40177406 | score=0.94114349 | val_nll=-2.57114466 | val_acc=0.95959900 | val_dt_mae=1.76721330 | val_qty_mae=0.78338228 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 023] train_loss=-2.44129478 | score=0.93742647 | val_nll=-2.59457182 | val_acc=0.95577447 | val_dt_mae=1.76721330 | val_qty_mae=0.67586160 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 024] train_loss=-2.48005077 | score=0.94285614 | val_nll=-2.64837916 | val_acc=0.96126789 | val_dt_mae=1.76721330 | val_qty_mae=0.73961740 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 025] train_loss=-2.51481410 | score=0.93989583 | val_nll=-2.67332605 | val_acc=0.95825462 | val_dt_mae=1.76721330 | val_qty_mae=0.68665660 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 026] train_loss=-2.54848531 | score=0.94212996 | val_nll=-2.71165154 | val_acc=0.96056093 | val_dt_mae=1.76721330 | val_qty_mae=0.75883990 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 027] train_loss=-2.57956252 | score=0.94348192 | val_nll=-2.74526156 | val_acc=0.96185896 | val_dt_mae=1.76721330 | val_qty_mae=0.70490286 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
