scale_order,scale_label,count,share,true_qty_mean,pred_qty_mean,qty_mae,qty_median_ae,qty_rmse,qty_wape,log_abs_error,dt_mae,mark_acc,dataset_name,dataset_kind,model_name,candidate_name,titan_candidate_name,seed,reproducibility_mode,source_revision,train_loader_seed,value_head_mode,time_head_mode,evaluation_scope,qty_mark_gradient_mode,value_encoder_gradient_mode,marker_loss_mode,lambda_ordinal,qty_decoder_mode,magnitude_norm_mode,lambda_magnitude,magnitude_domain,magnitude_encoder_gradient_mode,magnitude_aux_loss_mode,lambda_log_qty,log_qty_huber_delta,log_qty_floor,magnitude_sigma_floor,magnitude_revin_eps,magnitude_shrinkage_k,magnitude_center_mode,magnitude_revin_affine,magnitude_stat_context_mode,selection,eval_split,model_scale_base
2,4-7,3201,0.03709798922176508,5.524211172832619,5.504371066348175,0.5834460862537206,0.41939258575439453,0.8374465401516024,0.10561618084461283,0.14803854907463954,3.7925648234926586,0.9453295845048423,intermittent,marked_target,thp,small,small,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
3,8-15,6036,0.06995422147534335,11.435719009738161,11.192566008817446,0.7818789306739216,0.570218563079834,1.1316949146452577,0.0683716458937219,0.10220814493810049,3.8278661365142477,0.9464877402253148,intermittent,marked_target,thp,small,small,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
4,16-31,19829,0.22980819377643855,25.497855832136803,25.750387047247205,1.3834044403433228,0.7183456420898438,2.805386687031028,0.054255716615971984,0.07403811301542511,2.977406828382672,0.9568309042311766,intermittent,marked_target,thp,small,small,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
5,32-63,8213,0.09518456278611578,38.756361861155206,39.50208409131843,2.3713734630369667,1.3194389343261719,3.8778240997613835,0.061186689079135444,0.09611916672685587,1.8099354681602338,0.9068549859978083,intermittent,marked_target,thp,small,small,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
6,64-127,1499,0.017372660369705046,89.76050665857316,91.01873697353412,2.5809739884573113,1.9124755859375,3.751968025406352,0.02875400423345091,0.04029009451939314,2.81187458305537,0.9579719813208806,intermittent,marked_target,thp,small,small,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
7,>=128,1958,0.022692240829808193,223.00970348323085,224.13942765653803,4.524434223116601,3.382843017578125,6.141133409536797,0.020288059902545067,0.029396687635240566,3.0,0.9887640449438202,intermittent,marked_target,thp,small,small,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
0,1-1,42610,0.4938285912962856,1.0,1.0125545182633193,0.02086628405204599,0.005697667598724365,0.11594093391248202,0.02086628405204599,0.024283744201318305,0.7245247594461394,0.9873503872330439,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
1,2-3,2939,0.034061540244538446,2.1745491663831236,2.07609625226099,0.3363596701467877,0.08233952522277832,0.5702895748279442,0.15468018628718652,0.2565696041330102,0.8077577407281388,0.7961891799931949,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
2,4-7,3201,0.03709798922176508,5.524211172832619,5.529085092192998,0.5258483871077418,0.357363224029541,0.7798001680285853,0.0951897693002394,0.1346351978220965,3.7925648234926586,0.9540768509840675,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
3,8-15,6036,0.06995422147534335,11.435719009738161,11.80613088189094,0.7888677566552336,0.4426751136779785,1.3650015113389398,0.0689827859519343,0.09613158830828505,3.8278661365142477,0.9464877402253148,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
4,16-31,19829,0.22980819377643855,25.497855832136803,25.68089156276105,1.1956496640060665,0.5896015167236328,2.3979603414174866,0.04689216504625076,0.0652382689072064,2.977406828382672,0.9698421503857986,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
