stratum_order,stratum,stratum_label,count,sample_share,quantity_min,quantity_max,quantity_mean,log_mse_share,log_location_gradient_share,unweighted_tail_aux_gradient_share
0,le_p90,<= p90 (31),362291,0.908398190680601,1.0,31.0,7.888114802741443,0.6613055739972408,0.8129035566528364,0.0
1,p90_p95,"p90-p95 (31, 46]",16822,0.04217900627845867,32.0,46.0,35.61033170847699,0.08060353817409693,0.06445110898127719,0.0
2,p95_p99,"p95-p99 (46, 187]",15739,0.0394635227569053,47.0,187.0,95.90145498443357,0.17393608618597228,0.09064285131392906,0.7976626939944692
3,gt_p99,> p99 (187),3972,0.009959280284035064,188.0,477.0,262.3041289023162,0.08415480164269003,0.0320024830519572,0.2023373060055308
