dataset,candidate,role,scope,count,status,qty_mae,qty_rmse,time_nll,log_qty_mse,joint_objective
intermittent_v2,calibration,baseline,overall,86285,evaluated,0.7620852018574226,1.7224035439438634,-3.592856040674848,0.007150350768383674,-3.5857056899064643
intermittent_v2,calibration,candidate,overall,86285,evaluated,0.7620852018574226,1.7224035439438634,-3.592856040674848,0.007150350768383674,-3.5857056899064643
intermittent_v2,calibration,baseline,le_p50,45036,evaluated,0.08681285343333008,0.2225052840533853,-3.5870360507191323,0.008113786998835715,-3.5789222637202966
intermittent_v2,calibration,candidate,le_p50,45036,evaluated,0.08681285343333008,0.2225052840533853,-3.5870360507191323,0.008113786998835715,-3.5789222637202966
intermittent_v2,calibration,baseline,p50_p90,29579,evaluated,0.9939213998782239,1.541711023257679,-3.5993647554179566,0.006144632164180698,-3.593220123253776
intermittent_v2,calibration,candidate,p50_p90,29579,evaluated,0.9939213998782239,1.541711023257679,-3.5993647554179566,0.006144632164180698,-3.593220123253776
intermittent_v2,calibration,baseline,p90_p95,7124,evaluated,2.2473192190869615,2.901288922258527,-3.599318403464097,0.007232506613032639,-3.5920858968510645
intermittent_v2,calibration,candidate,p90_p95,7124,evaluated,2.2473192190869615,2.901288922258527,-3.599318403464097,0.007232506613032639,-3.5920858968510645
intermittent_v2,calibration,baseline,p95_p99,3405,evaluated,2.794168329448952,3.9885787815180755,-3.5976394310921824,0.005110354850623253,-3.592529076241559
intermittent_v2,calibration,candidate,p95_p99,3405,evaluated,2.794168329448952,3.9885787815180755,-3.5976394310921824,0.005110354850623253,-3.592529076241559
intermittent_v2,calibration,baseline,gt_p99,1141,evaluated,6.067985634966758,7.793839666776394,-3.5992210515228726,0.0007697586402300866,-3.5984512928826424
intermittent_v2,calibration,candidate,gt_p99,1141,evaluated,6.067985634966758,7.793839666776394,-3.5992210515228726,0.0007697586402300866,-3.5984512928826424
intermittent_v2,calibration,baseline,body_le_p95,81739,evaluated,0.603369344755832,1.2731964285627633,-3.5925679294702997,0.00732439793947945,-3.5852435315308204
intermittent_v2,calibration,candidate,body_le_p95,81739,evaluated,0.603369344755832,1.2731964285627633,-3.5925679294702997,0.00732439793947945,-3.5852435315308204
intermittent_v2,calibration,baseline,tail_gt_p95,4546,evaluated,3.615863346078036,5.211711447178471,-3.5980364018162074,0.004020909123377631,-3.59401549269283
intermittent_v2,calibration,candidate,tail_gt_p95,4546,evaluated,3.615863346078036,5.211711447178471,-3.5980364018162074,0.004020909123377631,-3.59401549269283
intermittent_v2,calibration,baseline,history_le_64,25088,evaluated,0.9570142673922475,1.6028627469636276,-3.599457734502016,0.005220988281315828,-3.5942367462207
intermittent_v2,calibration,candidate,history_le_64,25088,evaluated,0.9570142673922475,1.6028627469636276,-3.599457734502016,0.005220988281315828,-3.5942367462207
intermittent_v2,calibration,baseline,history_65_128,28456,evaluated,1.301943531109605,2.547899900611619,-3.5994252017082577,0.004679457426251973,-3.594745744282006
intermittent_v2,calibration,candidate,history_65_128,28456,evaluated,1.301943531109605,2.547899900611619,-3.5994252017082577,0.004679457426251973,-3.594745744282006
