backbone,backbone_label,variant,seed,stratum_order,stratum,stratum_label,share,count,joint_objective,time_nll,log_qty_mse,qty_mae,qty_rmse,qty_bias
rmtpp,Count-aware RMTPP,count_only_log_regression,42,0,le_p50,<= 2,0.5219447180854146,45036,-3.595955791693829,-3.599494849225219,0.0035390582147582102,0.04992400330658206,0.14779472922235415,0.019418284928293634
rmtpp,Count-aware RMTPP,count_only_log_regression,42,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.590439434946863,-3.5994948269512514,0.009055392445230036,1.8139750560997925,2.196749896845088,-1.6190131385982744
rmtpp,Count-aware RMTPP,count_only_log_regression,42,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.5802170373562143,-3.59949481082324,0.019277772768681027,4.520676239095064,4.78838525373236,-4.520676239095064
rmtpp,Count-aware RMTPP,count_only_log_regression,42,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.554850502826394,-3.599494140403736,0.04464363680354374,18.40656116670449,21.404048374752257,-18.401408275878726
rmtpp,Count-aware RMTPP,count_only_log_regression,42,4,gt_p99,> 187,0.013223619400822855,1141,-3.504627729486103,-3.599494375752107,0.0948666446890411,72.71138243880009,76.05304301293938,-72.71138243880009
rmtpp,Count-aware RMTPP,count_only_log_regression,52,0,le_p50,<= 2,0.5219447180854146,45036,-3.5963658934450984,-3.5994947082524784,0.0031288158028418226,0.04653846786896536,0.13823242970889374,0.0081564086809581
rmtpp,Count-aware RMTPP,count_only_log_regression,52,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.58928526566226,-3.5994934806306573,0.010208214025281593,1.9846802111744675,2.3608070849371408,-1.8268492115757409
rmtpp,Count-aware RMTPP,count_only_log_regression,52,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.5712908708868505,-3.5994926223521952,0.028201751232369093,5.521219029445316,5.799031703797436,-5.519800850944797
rmtpp,Count-aware RMTPP,count_only_log_regression,52,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.5468766380511716,-3.599492198395134,0.052615560671585467,19.913812638449425,23.348137068307842,-19.91356176692834
rmtpp,Count-aware RMTPP,count_only_log_regression,52,4,gt_p99,> 187,0.013223619400822855,1141,-3.4736362130468503,-3.59949415467686,0.12585794242665393,81.89553949354408,85.4144774502468,-81.89553949354408
rmtpp,Count-aware RMTPP,count_only_log_regression,62,0,le_p50,<= 2,0.5219447180854146,45036,-3.5963338791651736,-3.5994945778994123,0.003160700063219243,0.047297501664081636,0.13947551793918744,0.0057791642608434205
rmtpp,Count-aware RMTPP,count_only_log_regression,62,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.5903070160557458,-3.5994941033449397,0.009187086595519882,1.8670274715942028,2.3146147931993806,-1.6887426867301754
rmtpp,Count-aware RMTPP,count_only_log_regression,62,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.571486375393458,-3.5994940820468537,0.028007706124820536,5.527089546799058,5.740582025414459,-5.527089546799058
rmtpp,Count-aware RMTPP,count_only_log_regression,62,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.544195250932691,-3.5994936025790354,0.05529835169694541,20.588110342039762,23.868850728791696,-20.588110342039762
rmtpp,Count-aware RMTPP,count_only_log_regression,62,4,gt_p99,> 187,0.013223619400822855,1141,-3.4863745815183487,-3.5994930507633165,0.11311846683544616,78.32575469890465,81.85550638519635,-78.32575469890465
thp,Count-aware THP,count_only_log_regression,42,0,le_p50,<= 2,0.5219447180854146,45036,-3.5949641064329527,-3.5994876220548373,0.004523516332084939,0.06098512823966672,0.16768155777128815,0.010594922590291737
thp,Count-aware THP,count_only_log_regression,42,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.596115324639811,-3.599483811148822,0.0033684865205141547,0.7655244381482011,1.2808277837018034,-0.10675646136831433
thp,Count-aware THP,count_only_log_regression,42,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.595144508863553,-3.599487667201544,0.004343159144283233,1.3532930585121186,2.1630495157302576,-1.1570081812554969
thp,Count-aware THP,count_only_log_regression,42,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.5942305860365367,-3.599487272758316,0.005256685483296243,2.9588482121539013,4.4237381403194584,0.5521479524004652
thp,Count-aware THP,count_only_log_regression,42,4,gt_p99,> 187,0.013223619400822855,1141,-3.5980210745157013,-3.599490678070095,0.0014696031826627752,8.194562492404039,11.691891633419795,3.7432588114224434
thp,Count-aware THP,count_only_log_regression,52,0,le_p50,<= 2,0.5219447180854146,45036,-3.5948293404846403,-3.5994799633000287,0.004650623281163426,0.07071010723150224,0.1698052478520078,-0.0068300638921265705
thp,Count-aware THP,count_only_log_regression,52,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.5960672257005326,-3.59948111076965,0.0034138850121353463,0.79128099796863,1.2910278214798994,0.0036484925136503615
thp,Count-aware THP,count_only_log_regression,52,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.595551161134196,-3.599480075156133,0.0039289124198074385,1.270500478685605,2.078065301071178,-0.795711594441846
