model,n_seeds,best_val_joint_objective_mean,best_val_joint_objective_std,best_val_time_nll_mean,best_val_time_nll_std,best_val_log_qty_mse_mean,best_val_log_qty_mse_std,best_val_qty_mae_mean,best_val_qty_mae_std,best_val_qty_rmse_mean,best_val_qty_rmse_std,best_epoch_mean,best_epoch_std,completed_epochs_mean,completed_epochs_std,elapsed_seconds_mean,elapsed_seconds_std
rmtpp,3,-3.588977573227918,0.0008548305486069334,-3.599494376205306,4.011258911285863e-07,0.010516803304590571,0.0008544337749507179,2.9025231278195256,0.1702520597350941,10.578742459963108,0.6046644746907728,219.33333333333334,25.81343319539912,259.3333333333333,25.81343319539912,5043.545763333638,511.13229929674554
thp,3,-3.595300805861359,0.0001496720448849704,-3.5994848127120664,4.213802435685172e-06,0.00418400722377485,0.00015254694942438182,0.6663796510258636,0.08187169090307003,2.1507372556199993,0.5551545510127159,223.0,22.9128784747792,263.0,22.9128784747792,12768.564920028051,1139.6233616175577
titantpp,3,-3.586027553457255,0.001289971939737208,-3.5930775249585314,0.0006612916640627442,0.007049971849263221,0.0006326343186809,0.7469174141165063,0.068508115940627,1.9195184940745054,0.2937663783820643,231.0,51.97114584074513,260.6666666666667,34.07834111768549,26245.915173689526,3438.467612316057
