baseline,seed,titan_minus_baseline_qty_mae,titan_minus_baseline_qty_rmse,titan_minus_baseline_time_nll
rmtpp,42,-1.9469289047275804,-8.183352688903003,0.00663876351140269
rmtpp,52,-2.357204826195077,-9.29728325981384,0.005672879030332201
rmtpp,62,-2.1626834101864008,-8.497035948948962,0.006938911198588915
thp,42,0.13097066012678882,-0.15995708915825912,0.006630305334267117
thp,52,0.06404641853351756,-0.0017670746663589476,0.005658917151576848
thp,62,0.04659621061162156,-0.5319321208118635,0.0069326407747611896
