dataset,scope_type,scope,prototype_id,event_count_per_seed,seed_use_fraction,selection_share_mean,selection_share_std,event_hit_share_mean,event_hit_share_std,rank1_share_mean,rank1_share_std,selected_similarity_mean_mean,selected_similarity_mean_std
insta_market_basket,history,history_le_64,0,503733,1.0,0.0012299836090415624,0.000954751796541781,0.00491993443616625,0.003819007186167124,0.00013499214861841492,0.0001237994082394353,0.3018134198012878,0.017631162127966653
insta_market_basket,history,history_le_64,1,503733,1.0,0.0006542817987571459,0.0009703552374399315,0.0026171271950285835,0.003881420949759726,0.0013565387483713265,0.002186270623530332,0.18527686018297498,0.07373000031058352
insta_market_basket,history,history_le_64,2,503733,0.6666666666666666,0.00020629314868524928,0.0003534490365844232,0.0008251725947409971,0.0014137961463376928,0.00023491280764479066,0.00040516291889262495,0.07574407812879835,0.06815867095567558
insta_market_basket,history,history_le_64,3,503733,1.0,0.15468263941413407,0.13244689784169683,0.6187305576565363,0.5297875913667873,0.1663189295387305,0.22430775617932427,0.45201728946874403,0.01403355573804555
insta_market_basket,history,history_le_64,4,503733,1.0,0.000021506102108325908,0.000026192574879965882,0.00008602440843330363,0.00010477029951986353,5.9555359684594815e-6,8.653193147045505e-6,0.060076990965047344,0.20868181108735478
insta_market_basket,history,history_le_64,5,503733,0.6666666666666666,0.0006511385992182367,0.0011273753601383312,0.0026045543968729466,0.004509501440553325,4.632083531024041e-6,6.381456552706132e-6,0.1189744952270988,0.15855749477183373
insta_market_basket,history,history_le_64,6,503733,0.3333333333333333,0.0008074714183902981,0.0013985815223117027,0.0032298856735611925,0.005594326089246811,0.001588804651141246,0.0027518903790783836,0.1308202603785458,0.22658733763503103
insta_market_basket,history,history_le_64,7,503733,0.3333333333333333,1.6543155467943005e-7,2.865358578798817e-7,6.617262187177202e-7,1.1461434315195268e-6,0.0,0.0,0.031130045652389526,0.0539188207118773
insta_market_basket,history,history_le_64,8,503733,1.0,0.0015818565258447102,0.0027329812205079077,0.006327426103378841,0.010931924882031631,0.001745633764977346,0.0030235263723485117,0.1563204271478769,0.2121235677952071
insta_market_basket,history,history_le_64,9,503733,1.0,0.000022002396772364198,0.00002952988005351602,0.00008800958708945679,0.00011811952021406409,5.293809749741762e-6,6.064820973221713e-6,0.22893525801270267,0.062337699413650687
insta_market_basket,history,history_le_64,10,503733,1.0,0.08267127625150626,0.14262437316448912,0.33068510500602505,0.5704974926579565,0.0158073159127289,0.02669552117577491,0.2618054164816679,0.2557331172436519
insta_market_basket,history,history_le_64,11,503733,0.6666666666666666,4.632083531024041e-6,5.306718351568999e-6,0.000018528334124096164,0.000021226873406275997,0.0,0.0,0.05066235910450655,0.08584646856261592
insta_market_basket,history,history_le_64,12,503733,1.0,0.0005505562139731431,0.0006979692960950073,0.0022022248558925725,0.0027918771843800294,0.0006015091328144077,0.0009061617566177408,0.2950483168547666,0.17379322880596737
insta_market_basket,history,history_le_64,13,503733,1.0,0.07876196318287663,0.13633591241152798,0.31504785273150654,0.5453436496461119,0.001196401003441638,0.0020292763190618373,0.19897781832621556,0.28459185483628757
insta_market_basket,history,history_le_64,14,503733,1.0,0.004009564590765346,0.006884241677814702,0.016038258363061383,0.02753696671125881,0.010557841819641227,0.018279842020483095,0.26017634893374975,0.2433102874750362
insta_market_basket,history,history_le_64,15,503733,1.0,0.00035253464302186546,0.00031122120925786156,0.0014101385720874618,0.0012448848370314462,0.000021836965217684762,0.000026707847306159636,0.2533793168932629,0.15412812813140905
insta_market_basket,history,history_le_64,16,503733,1.0,0.00011861442470515134,0.00012600510051903515,0.00047445769882060535,0.0005040204020761406,0.00003176285849845057,0.000053304911856469804,-0.007354677182675063,0.08134537059035712
insta_market_basket,history,history_le_64,17,503733,1.0,0.0007168149264259704,0.0005346027362701996,0.0028672597057038817,0.0021384109450807982,0.0007742196758997326,0.0005795395805712551,0.15967021452188407,0.17200650803449347
insta_market_basket,history,history_le_64,18,503733,0.3333333333333333,0.000020844375889608186,0.000036103518092865094,0.00008337750355843274,0.00014441407237146038,0.000022498691436402488,0.00003896887667166391,0.05651866432640298,0.09789319818926057
insta_market_basket,history,history_le_64,19,503733,0.6666666666666666,0.000021506102108325908,0.000021589293258462598,0.00008602440843330363,0.00008635717303385039,0.000015881429249225285,0.00002750744235646864,0.03210206125381551,0.051429053249844404
insta_market_basket,history,history_le_64,20,503733,1.0,3.143199538909171e-6,2.865358578798817e-6,0.000012572798155636684,0.000011461434315195267,1.3234524374354404e-6,2.2922868630390537e-6,0.10508720997052316,0.2653497261663448
insta_market_basket,history,history_le_64,21,503733,1.0,0.00004665169841959927,0.00007359064240137572,0.0001866067936783971,0.0002943625696055029,6.617262187177202e-6,0.000011461434315195267,0.1441819568876501,0.14471703680720666
insta_market_basket,history,history_le_64,22,503733,0.6666666666666666,7.609851515253782e-6,9.222716442219955e-6,0.00003043940606101513,0.00003689086576887982,6.617262187177202e-7,1.1461434315195268e-6,0.06986090199745916,0.0782879919474604
insta_market_basket,history,history_le_64,23,503733,0.3333333333333333,0.0001564982507267408,0.00027106292155436806,0.0006259930029069632,0.0010842516862174722,0.000013234524374354404,0.000022922868630390535,0.1363181656697756,0.2361099889346428
