dataset,scope_type,scope,event_count_per_seed,memory_on_mae_mean,memory_on_mae_std,memory_off_mae_mean,memory_off_mae_std,mae_delta_on_minus_off_mean,mae_delta_on_minus_off_std,mae_delta_pct_vs_off_mean,mae_delta_pct_vs_off_std,memory_on_mse_mean,memory_on_mse_std,memory_off_mse_mean,memory_off_mse_std,mse_delta_on_minus_off_mean,mse_delta_on_minus_off_std,memory_on_rmse_mean,memory_on_rmse_std,memory_off_rmse_mean,memory_off_rmse_std,rmse_delta_on_minus_off_mean,rmse_delta_on_minus_off_std,memory_help_share_mean,memory_help_share_std,memory_harm_share_mean,memory_harm_share_std,memory_tie_share_mean,memory_tie_share_std,retrieval_applied_share_mean,retrieval_applied_share_std,residual_nonzero_share_mean,residual_nonzero_share_std,memory_residual_norm_mean_mean,memory_residual_norm_mean_std,memory_residual_norm_p50_mean,memory_residual_norm_p50_std,memory_residual_norm_p95_mean,memory_residual_norm_p95_std,relative_residual_norm_mean_mean,relative_residual_norm_mean_std,top1_similarity_mean_mean,top1_similarity_mean_std,topk_similarity_mean_mean,topk_similarity_mean_std,similarity_margin_mean_mean,similarity_margin_mean_std,quantity_logit_residual_mean_mean,quantity_logit_residual_mean_std,quantity_logit_residual_abs_mean_mean,quantity_logit_residual_abs_mean_std,log_location_shift_mean_mean,log_location_shift_mean_std,prediction_shift_mean_mean,prediction_shift_mean_std,prediction_shift_abs_mean_mean,prediction_shift_abs_mean_std
insta_market_basket,history,history_le_64,503733,4.04502659185115,0.0166161745227451,4.755033173141617,0.0882773616130905,-0.7100065812904668,0.07883912383750458,-14.914949637827116,1.3765178305439318,36.192032029459256,0.4493861621869997,50.36964080059619,1.482822592721378,-14.177608770877656,1.1922632846618388,6.015903892052361,0.03739768138214731,7.096644036593896,0.10452907590096203,-1.0807401445415354,0.08094093660470705,0.639564345926645,0.015933159939172045,0.36043565407335504,0.01593315993917203,0.0,0.0,1.0,0.0,1.0,0.0,0.837209233235536,0.005096111367309686,0.8361665805180868,0.006170527275159273,0.8516036073366801,0.0165076599243011,0.2130676330338608,0.0010374258390475266,0.46764906116319277,0.006745181179274905,0.45897147523546344,0.009040897609652277,0.006437838111200613,0.002910333325562737,0.27910334793187286,0.01581389266069594,0.27910334793187286,0.01581389266069594,0.24024511714432775,0.012582191929653496,2.224769565272741,0.0927770601571094,2.224769565272741,0.0927770601571094
insta_market_basket,overall,overall,503733,4.04502659185115,0.0166161745227451,4.755033173141617,0.0882773616130905,-0.7100065812904668,0.07883912383750458,-14.914949637827116,1.3765178305439318,36.192032029459256,0.4493861621869997,50.36964080059619,1.482822592721378,-14.177608770877656,1.1922632846618388,6.015903892052361,0.03739768138214731,7.096644036593896,0.10452907590096203,-1.0807401445415354,0.08094093660470705,0.639564345926645,0.015933159939172045,0.36043565407335504,0.01593315993917203,0.0,0.0,1.0,0.0,1.0,0.0,0.837209233235536,0.005096111367309686,0.8361665805180868,0.006170527275159273,0.8516036073366801,0.0165076599243011,0.2130676330338608,0.0010374258390475266,0.46764906116319277,0.006745181179274905,0.45897147523546344,0.009040897609652277,0.006437838111200613,0.002910333325562737,0.27910334793187286,0.01581389266069594,0.27910334793187286,0.01581389266069594,0.24024511714432775,0.012582191929653496,2.224769565272741,0.0927770601571094,2.224769565272741,0.0927770601571094
insta_market_basket,quantity,gt_p99,6036,23.55084085127416,0.5490646621546211,28.370122965477094,0.4287590472529448,-4.819282114202939,0.2827087260422488,-16.991362757049192,1.0608576632127553,667.4947350366393,19.814654848013664,903.2046607705562,20.805660193605185,-235.70992570516418,12.087544983299843,25.83402281324152,0.38340641926550695,30.052025685751573,0.34730308122115044,-4.218002872510053,0.21783499101915355,0.9988955157941243,0.0005818231584301186,0.0011044842058758558,0.000581823158430127,0.0,0.0,1.0,0.0,1.0,0.0,0.8376227287410609,0.006672191472034259,0.8361665805180868,0.006170527275159273,0.8380058606465658,0.00832772410088716,0.17374807949685447,0.00038537521474652045,0.5655781823536082,0.03450031112112318,0.5578685599988807,0.03762475703661038,0.0057652203807648855,0.002418738349138637,0.2816901186809046,0.014726731900457951,0.2816901186809046,0.014726731900457951,0.2638953492219858,0.013703741105280042,4.85564970352646,0.2714441538046444,4.85564970352646,0.2714441538046444
insta_market_basket,quantity,le_p50,247651,2.52141138628003,0.04131491025187116,1.8578874267773824,0.01200316211181365,0.6635239595026474,0.03864425660953743,35.71421970681256,2.067849333445318,12.291115062837472,0.4294962057921812,6.181484825261354,0.1263629225368095,6.109630238182607,0.3035781105129223,3.5055147406098075,0.06100982959525817,2.4861729602648324,0.025362479453493913,1.019341780344975,0.03575288815114523,0.3739442468096905,0.025563297237196074,0.6260557531903095,0.025563297237196036,0.0,0.0,1.0,0.0,1.0,0.0,0.8380924517577527,0.00457187902181416,0.8333160678545634,0.005450643439487358,0.855717400709788,0.012068629930464503,0.222855418219035,0.0017777126433389018,0.41596283707022996,0.013334349581143181,0.4060121153021637,0.008237144041981805,0.007383402235737284,0.003917345911177052,0.2778629541807434,0.016102640904175253,0.2778629541807434,0.016102640904175253,0.22853846875245964,0.011641683850526123,1.5853768010301126,0.053264238121767685,1.5853768010301126,0.053264238121767685
insta_market_basket,quantity,p50_p90,202534,3.804323126665688,0.03760422084376323,5.397447086797956,0.14893681294812103,-1.5931239601322673,0.11275777177343141,-29.493077017510377,1.2729320393825996,22.752214754238523,0.3903839741260904,39.07055448237703,1.7250247434801667,-16.31833972849518,1.369390099678541,4.769811700524428,0.040824547372776604,6.249636545542618,0.1374638006631215,-1.4798248450181903,0.10072327051431249,0.8707328152310229,0.010074304455369122,0.12926718476897706,0.010074304455369157,0.0,0.0,1.0,0.0,1.0,0.0,0.8361750411183332,0.00548860270780296,0.8361665805180868,0.006170527275159273,0.8380058606465658,0.00832772410088716,0.20810036774479343,0.0004557192889654552,0.5087533858901537,0.019771618801586593,0.5012998898214359,0.022016803711248666,0.005489293336591726,0.0019204528612094885,0.2800666405735559,0.015771608117343214,0.2800666405735559,0.015771608117343214,0.2494596352368488,0.013522608191906905,2.57985680373586,0.11554320941997163,2.57985680373586,0.11554320941997163
insta_market_basket,quantity,p90_p95,27322,8.753378007636686,0.18990205828294512,12.051336506003357,0.242711965624706,-3.2979584983666705,0.16232420327941377,-27.362133055390036,1.0800360948808079,94.09987715101248,2.565517654728775,157.3026255890364,5.084146026531125,-63.202748445967366,3.6934627872168084,9.699905809933293,0.13250148735859704,12.540938811348097,0.2030245763178981,-2.8410330014148037,0.14047828266745926,0.9897518483273552,0.0036485067823009225,0.010248151672644755,0.003648506782300912,0.0,0.0,1.0,0.0,1.0,0.0,0.8367410523052623,0.006024885220197043,0.8361665805180868,0.006170527275159273,0.8380058606465658,0.00832772410088716,0.19162912689176834,0.0002028033843009251,0.5441824524552652,0.028836202291938593,0.536847804759665,0.03151950612868815,0.005597822876948943,0.0021756132735263676,0.2809781151586523,0.015257900775427814,0.2809781151586523,0.015257900775427814,0.2576342604441178,0.01374722437157466,3.469844232729354,0.1730233850317418,3.469844232729354,0.1730233850317418
insta_market_basket,quantity,p95_p99,20190,12.945313498279885,0.3436627335110489,16.913532430070333,0.31829506970827154,-3.9682189317904464,0.20436453117732695,-23.464526783022993,1.1953832322572657,197.08379428592238,6.802976379940688,306.05834673885283,9.272839403103745,-108.9745524481694,5.958391359419606,14.037257735047186,0.24245483841432058,17.493175166447216,0.2659962448436264,-3.4559174314000294,0.1731941868973605,0.9974079577348522,0.0012918870833408989,0.002592042265147763,0.0012918870833409039,0.0,0.0,1.0,0.0,1.0,0.0,0.8372599958172918,0.0063262383111987825,0.8361665805180868,0.006170527275159273,0.8380058606465658,0.00832772410088716,0.18360557305991443,0.00027141374350646096,0.5564542264038405,0.0318282338664778,0.5490069110053506,0.03476827912745633,0.005692592109523532,0.0023618062895045693,0.28134451200116956,0.015030069267657884,0.28134451200116956,0.015030069267657884,0.2608023731862434,0.013771432313620414,4.0341353960707975,0.21368433623932337,4.0341353960707975,0.21368433623932337
insta_market_basket,quantity_region,body_le_p95,477507,3.4221375294695022,0.00574349600740169,3.9424361180535707,0.07716341727381008,-0.5202985885840682,0.07531283514419125,-13.17601503954936,1.6450228808684604,21.409111998319755,0.14383543163898568,28.778193652319658,0.9727149589349048,-7.369081654291147,0.8939276648596594,4.626980751584001,0.015546195237696629,5.364022811628325,0.09043999654979634,-0.7370420600443243,0.08213851871403098,0.6198917851815087,0.01676674967481204,0.38010821481849133,0.016766749674812065,0.0,0.0,1.0,0.0,1.0,0.0,0.8372018600338929,0.005034873497723136,0.8361665805180868,0.006170527275159273,0.8516036073366801,0.0165076599243011,0.214810375686897,0.001095257758924892,0.46265630406913133,0.005935534350849179,0.4539144640255209,0.007747637727131158,0.00647785100607916,0.0029452204741741823,0.278975888332746,0.015872824869592288,0.278975888332746,0.015872824869592288,0.2390769587711374,0.012528305782902302,2.1150097321429393,0.08601377796506553,2.1150097321429393,0.08601377796506553
insta_market_basket,quantity_region,extreme_tail_gt_p99,6036,23.55084085127416,0.5490646621546211,28.370122965477094,0.4287590472529448,-4.819282114202939,0.2827087260422488,-16.991362757049192,1.0608576632127553,667.4947350366393,19.814654848013664,903.2046607705562,20.805660193605185,-235.70992570516418,12.087544983299843,25.83402281324152,0.38340641926550695,30.052025685751573,0.34730308122115044,-4.218002872510053,0.21783499101915355,0.9988955157941243,0.0005818231584301186,0.0011044842058758558,0.000581823158430127,0.0,0.0,1.0,0.0,1.0,0.0,0.8376227287410609,0.006672191472034259,0.8361665805180868,0.006170527275159273,0.8380058606465658,0.00832772410088716,0.17374807949685447,0.00038537521474652045,0.5655781823536082,0.03450031112112318,0.5578685599988807,0.03762475703661038,0.0057652203807648855,0.002418738349138637,0.2816901186809046,0.014726731900457951,0.2816901186809046,0.014726731900457951,0.2638953492219858,0.013703741105280042,4.85564970352646,0.2714441538046444,4.85564970352646,0.2714441538046444
insta_market_basket,quantity_region,tail_p95_p99,20190,12.945313498279885,0.3436627335110489,16.913532430070333,0.31829506970827154,-3.9682189317904464,0.20436453117732695,-23.464526783022993,1.1953832322572657,197.08379428592238,6.802976379940688,306.05834673885283,9.272839403103745,-108.9745524481694,5.958391359419606,14.037257735047186,0.24245483841432058,17.493175166447216,0.2659962448436264,-3.4559174314000294,0.1731941868973605,0.9974079577348522,0.0012918870833408989,0.002592042265147763,0.0012918870833409039,0.0,0.0,1.0,0.0,1.0,0.0,0.8372599958172918,0.0063262383111987825,0.8361665805180868,0.006170527275159273,0.8380058606465658,0.00832772410088716,0.18360557305991443,0.00027141374350646096,0.5564542264038405,0.0318282338664778,0.5490069110053506,0.03476827912745633,0.005692592109523532,0.0023618062895045693,0.28134451200116956,0.015030069267657884,0.28134451200116956,0.015030069267657884,0.2608023731862434,0.013771432313620414,4.0341353960707975,0.21368433623932337,4.0341353960707975,0.21368433623932337
