dataset,seed,scope_type,scope,event_count,memory_on_mae,memory_off_mae,mae_delta_on_minus_off,memory_on_mse,memory_off_mse,mse_delta_on_minus_off,memory_help_share,memory_harm_share,memory_tie_share,retrieval_applied_share,residual_nonzero_share,local_state_norm_mean,memory_residual_norm_mean,memory_residual_norm_p50,memory_residual_norm_p95,relative_residual_norm_mean,top1_similarity_mean,topk_similarity_mean,similarity_margin_mean,quantity_logit_residual_mean,quantity_logit_residual_abs_mean,log_location_shift_mean,prediction_shift_mean,prediction_shift_abs_mean,memory_on_rmse,memory_off_rmse,rmse_delta_on_minus_off,mae_delta_pct_vs_off
intermittent_v2,42,history,history_65_128,28456,1.3019433354067105,8.450213022490281,-7.1482696870835705,6.491792079422922,252.84677236542575,-246.35498034111285,0.965279730109643,0.03472026989035704,0.0,1.0,1.0,5.721258009354788,1.5245383539652604,1.5432772636413574,1.5480729341506958,0.3032699291528084,0.3673045737111178,0.3616306929479125,0.004144370734182626,0.22868261936531498,0.22868261936531498,0.191253856436101,7.838038385984752,7.838038385984752,2.547899542647418,15.9011563216461,-13.353256778998682,-84.59277497571266
intermittent_v2,42,history,history_gt_128,32741,0.14351555839331592,0.3034371965650436,-0.15992163817172766,0.2074972053109604,1.3916690589292275,-1.1841718530172751,0.8501267523899697,0.14987324761003024,0.0,1.0,1.0,3.3086460222740195,1.4897045971241056,1.4847904443740845,1.5220415592193604,0.46339339635878696,0.34173237324022226,0.3317527127729563,0.0071319224075270735,0.1740263591419707,0.1740263591419707,0.08990092106910585,0.32031472035630526,0.32031472035630526,0.4555186113771427,1.1796902385496064,-0.7241716271724636,-52.7033732126666
intermittent_v2,42,history,history_le_64,25088,0.9570140412020288,4.998917215565523,-4.041903174363495,2.569167536941844,62.55297617387818,-59.98380856867237,0.9640066964285714,0.03599330357142857,0.0,1.0,1.0,5.302878938453766,1.5394818394787002,1.5473992824554443,1.5473992824554443,0.3033612377784804,0.41303509312333797,0.40814549663895267,0.003658653212573417,0.25244313214397135,0.25244313214397135,0.22568633767053942,4.417039848609866,4.417039848609866,1.6028622950652511,7.909043948156956,-6.306181653091705,-80.8555733185159
intermittent_v2,42,overall,overall,86285,0.7620850752200894,4.355414430374079,-3.5933293551539895,2.966672962600009,102.10235217406516,-99.13567920956365,0.9212145795908907,0.07878542040910935,0.0,1.0,1.0,4.684141208059357,1.5156655502545915,1.509743094444275,1.5473992824554443,0.3640556183292794,0.3708976415142839,0.3638179612574979,0.005136776692980085,0.21485174642816965,0.21485174642816965,0.16280679880567628,3.9907439333915766,3.9907439333915766,1.722403252028981,10.104570855512131,-8.38216760348315,-82.50258184604868
intermittent_v2,42,quantity,gt_p99,1141,6.067982826600672,64.93924343366564,-58.87126060706497,60.74389425736948,4479.696825273198,-4418.952929644706,1.0,0.0,0.0,1.0,1.0,10.846613003014474,1.546002465314138,1.5462876558303833,1.5473992824554443,0.14276308384148517,0.3125188574260207,0.30956229510064925,0.002640912268477297,0.26303628410925267,0.26303628410925267,0.26185989630629786,61.89054033444912,61.89054033444912,7.79383694064544,66.93053731498946,-59.136700374344024,-90.65590772889276
intermittent_v2,42,quantity,le_p50,45036,0.08681285876037279,0.1769237595946404,-0.09011090083426762,0.049508602194341264,0.04972690256113311,-0.0002183003631465184,0.8864686028954614,0.11353139710453859,0.0,1.0,1.0,3.312663790583346,1.4880472315369961,1.4847904443740845,1.5052763223648071,0.4566580451930969,0.3276982614112923,0.31820630599279826,0.0067989795701764374,0.17143617396791586,0.17143617396791586,0.08593483491163714,0.17695016034151947,0.17695016034151947,0.22250528576719536,0.2229952971726828,-0.0004900114054874338,-50.93205177231457
intermittent_v2,42,quantity,p50_p90,29579,0.9939212652614793,4.907145864231083,-3.9132245989696037,2.3768726183253777,29.646978508910088,-27.270105900284676,0.9430677169613577,0.05693228303864228,0.0,1.0,1.0,5.586293835504378,1.5454645498661623,1.5473992824554443,1.5488871335983276,0.28493724476241644,0.4331344681386391,0.42852478043978404,0.0035052640444366945,0.2616664660963754,0.2616664660963754,0.242596490242333,4.577362567449327,4.577362567449327,1.5417109386410208,5.444903902633185,-3.903192963992164,-79.74543058712969
intermittent_v2,42,quantity,p90_p95,7124,2.247318966344526,10.071826858509798,-7.824507892165272,8.417475990003533,104.88584411659647,-96.4683681764608,0.9998596294216732,0.00014037057832678272,0.0,1.0,1.0,6.744376827865956,1.5466789183390401,1.5473992824554443,1.5480729341506958,0.2297497522159114,0.40654351447637266,0.40227937441505385,0.0027637764108709778,0.2639047069321316,0.2639047069321316,0.25526424240088746,7.949753276154541,7.949753276154541,2.9012886774679165,10.241379014400183,-7.340090336932266,-77.68707705250372
intermittent_v2,42,quantity,p95_p99,3405,2.7941676891847855,22.567740637825448,-19.773572948640663,15.90875468182888,608.5736117818107,-592.664857322704,1.0,0.0,0.0,1.0,1.0,8.611479103127591,1.5470430356990574,1.5473992824554443,1.5500785112380981,0.18170297443429104,0.3466078269061538,0.3427049244465457,0.0031257867287959296,0.26363273912414403,0.26363273912414403,0.2597877299382998,21.652645118366078,21.652645118366078,3.9885780275467697,24.669284784561764,-20.680706757014995,-87.61875309528538
intermittent_v2,42,quantity_region,body_le_p95,81739,0.6033692769490677,2.751050300287736,-2.147681023338668,1.6210289279126961,19.897163307422748,-18.27613438736444,0.9168328460098607,0.08316715399013934,0.0,1.0,1.0,4.434517823252213,1.513934983964065,1.4927339553833008,1.5473992824554443,0.3747409158532644,0.37272439510052047,0.36545482499972937,0.00525538839775265,0.2121470664391325,0.2121470664391325,0.15738417735502488,2.446775433306613,2.446775433306613,1.273196343033036,4.46062364557051,-3.1874273025374738,-78.06767557518084
