dataset,seed,scope_type,scope,prototype_id,event_count,selection_count,selection_share,event_hit_share,rank1_count,rank1_share,selected_similarity_mean,prototype_used
intermittent_v2,42,history,history_65_128,0,28456,0,0.0,0.0,0,0.0,0.0,false
intermittent_v2,42,history,history_65_128,1,28456,616,0.005411863930278324,0.021647455721113297,0,0.0,0.2926147106018933,true
intermittent_v2,42,history,history_65_128,2,28456,42,0.00036899072251897664,0.0014759628900759066,6,0.00021085184143941523,0.35436737324510303,true
intermittent_v2,42,history,history_65_128,3,28456,0,0.0,0.0,0,0.0,0.0,false
intermittent_v2,42,history,history_65_128,4,28456,1,8.785493393308968e-6,0.00003514197357323587,0,0.0,0.45110830664634705,true
intermittent_v2,42,history,history_65_128,5,28456,0,0.0,0.0,0,0.0,0.0,false
intermittent_v2,42,history,history_65_128,6,28456,1,8.785493393308968e-6,0.00003514197357323587,0,0.0,0.4190468192100525,true
intermittent_v2,42,history,history_65_128,7,28456,0,0.0,0.0,0,0.0,0.0,false
intermittent_v2,42,history,history_65_128,8,28456,6463,0.05678064380095586,0.22712257520382345,404,0.014197357323587293,0.39555193058444343,true
intermittent_v2,42,history,history_65_128,9,28456,107,0.0009400477930840596,0.0037601911723362386,39,0.0013705369693561991,0.3713885395326347,true
intermittent_v2,42,history,history_65_128,10,28456,150,0.0013178240089963453,0.005271296035985381,0,0.0,0.2516410309076309,true
intermittent_v2,42,history,history_65_128,11,28456,6749,0.059293294911442224,0.2371731796457689,1760,0.06184987348889514,0.2901001659600465,true
intermittent_v2,42,history,history_65_128,12,28456,29,0.00025477930840596007,0.0010191172336238403,0,0.0,0.4174174676681387,true
intermittent_v2,42,history,history_65_128,13,28456,369,0.003241847062131009,0.012967388248524036,18,0.0006325555243182458,0.2833317869562444,true
intermittent_v2,42,history,history_65_128,14,28456,474,0.004164323868428451,0.016657295473713803,9,0.0003162777621591229,0.28785757333794726,true
intermittent_v2,42,history,history_65_128,15,28456,0,0.0,0.0,0,0.0,0.0,false
intermittent_v2,42,history,history_65_128,16,28456,3041,0.026716685409052573,0.1068667416362103,883,0.031030362665167274,0.42691464195397294,true
intermittent_v2,42,history,history_65_128,17,28456,10,0.00008785493393308968,0.0003514197357323587,2,0.00007028394714647174,0.4139179527759552,true
intermittent_v2,42,history,history_65_128,18,28456,23,0.00020206634804610627,0.0008082653921844251,1,0.00003514197357323587,0.44384687361509906,true
intermittent_v2,42,history,history_65_128,19,28456,190,0.001669243744728704,0.006676974978914816,0,0.0,0.29840693018938363,true
intermittent_v2,42,history,history_65_128,20,28456,1224,0.010753443913410177,0.04301377565364071,73,0.0025653640708462187,0.2813356077188955,true
intermittent_v2,42,history,history_65_128,21,28456,17206,0.1511631993252741,0.6046527973010964,5660,0.19890357042451504,0.40187560674008777,true
intermittent_v2,42,history,history_65_128,22,28456,1306,0.011473854371661513,0.04589541748664605,0,0.0,0.2821326493121581,true
intermittent_v2,42,history,history_65_128,23,28456,51,0.0004480601630587574,0.0017922406522350295,1,0.00003514197357323587,0.4039476163247052,true
intermittent_v2,42,history,history_65_128,24,28456,0,0.0,0.0,0,0.0,0.0,false
