model,model_label,n_seeds,best_val_nll_mean,best_val_nll_std,best_val_nll_marker_mean,best_val_nll_marker_std,best_val_nll_time_mean,best_val_nll_time_std,best_val_qty_mae_mean,best_val_qty_mae_std,best_val_qty_rmse_mean,best_val_qty_rmse_std,mark_acc_mean,mark_acc_std,best_epoch_mean,best_epoch_std
rmtpp,Adapted RMTPP,3,1.5528104323338086,0.00020761420467071203,,,,,34.399196102712985,0.5065684229486273,113.31879927980125,5.262349236558385,0.9244476697306886,0.0010286527029650997,5.333333333333333,2.516611478423583
thp,Adapted THP,3,1.6126510997757453,0.01016978665413344,0.2340930481464223,0.018826967482779258,1.3785580480469752,0.008929155403239611,44.16925712948921,6.353555765379039,151.1555693888264,8.24277254445564,0.9150540235445895,0.0006661309321826541,2.3333333333333335,1.1547005383792515
titantpp,TitanTPP,3,1.5712426772638206,0.007647740576275636,0.2069248087436695,0.007497570218746847,1.3643178677985677,0.0026174751674636087,40.20018666119484,3.2955042116578794,137.5256803482551,13.65124615672246,0.9216255442670537,0.004174028526061335,18.333333333333332,6.429100507328637
