baseline,baseline_label,scope,metric,titan_minus_baseline_mean,titan_minus_baseline_std,relative_delta_pct,titan_better_seeds
rmtpp,Adapted RMTPP,overall,best_val_nll,0.01843224493001198,0.007452844827137864,1.1870248000787254,0
rmtpp,Adapted RMTPP,overall,best_val_qty_mae,5.800990558481854,3.586478865449004,16.863738737267596,0
rmtpp,Adapted RMTPP,overall,best_val_qty_rmse,24.20688106845383,8.463898640391935,21.361752173779546,0
rmtpp,Adapted RMTPP,overall,mark_acc,-0.0028221254636349538,0.0034725696311318937,-0.3052769297863122,1
rmtpp,Adapted RMTPP,all,qty_mae,5.800990558481854,3.586478865449004,16.863738737267596,0
rmtpp,Adapted RMTPP,all,qty_rmse,24.20688106845383,8.463898640391935,21.361752173779546,0
rmtpp,Adapted RMTPP,le_p50,qty_mae,0.06401526174922616,0.5002950939673295,3.838122585946857,1
rmtpp,Adapted RMTPP,le_p50,qty_rmse,0.4729729764405901,2.654174282516749,10.236605390209089,1
rmtpp,Adapted RMTPP,p50_p90,qty_mae,0.6632325540233227,3.372920573731445,2.4949955848633025,1
rmtpp,Adapted RMTPP,p50_p90,qty_rmse,12.334547911056264,13.24601653084399,24.13199353448505,0
rmtpp,Adapted RMTPP,p90_p95,qty_mae,4.56439272233241,33.91280480632644,2.5414739081610715,1
rmtpp,Adapted RMTPP,p90_p95,qty_rmse,23.58651270142816,55.56736660104076,10.107756788817962,1
rmtpp,Adapted RMTPP,p95_p99,qty_mae,126.19857216937467,27.552174741212585,45.84180162863128,0
rmtpp,Adapted RMTPP,p95_p99,qty_rmse,123.27323497453186,5.836726758386509,33.781345946215204,0
rmtpp,Adapted RMTPP,gt_p99,qty_mae,74.1060476826213,211.1339985182561,14.096371442735927,1
rmtpp,Adapted RMTPP,gt_p99,qty_rmse,30.380094339689037,220.9374937174407,4.5578331132673515,2
thp,Adapted THP,overall,best_val_nll,-0.04140842251192467,0.013581526588170065,-2.5677235775105296,3
thp,Adapted THP,overall,best_val_qty_mae,-3.969070468294371,9.126986365844623,-8.986047595635148,2
thp,Adapted THP,overall,best_val_qty_rmse,-13.629889040571305,21.712035435535718,-9.01712659062554,2
thp,Adapted THP,overall,mark_acc,0.006571520722464104,0.004150011040947569,0.7181565845706465,3
thp,Adapted THP,all,qty_mae,-3.969070468294371,9.126986365844623,-8.986047595635148,2
thp,Adapted THP,all,qty_rmse,-13.629889040571305,21.712035435535718,-9.01712659062554,2
thp,Adapted THP,le_p50,qty_mae,-0.9325957101781982,1.0190779336699223,-35.000901755541115,2
thp,Adapted THP,le_p50,qty_rmse,-7.909244904992416,9.325425955455868,-60.82805678766437,2
thp,Adapted THP,p50_p90,qty_mae,-8.765734606382319,4.117782317535286,-24.34149968557071,3
thp,Adapted THP,p50_p90,qty_rmse,-27.525528738857584,14.180806489486807,-30.256837876857805,3
thp,Adapted THP,p90_p95,qty_mae,-38.14051215348055,65.36413025893204,-17.15713360838524,2
thp,Adapted THP,p90_p95,qty_rmse,-49.386115731396984,72.61125823026501,-16.122222741924297,2
thp,Adapted THP,p95_p99,qty_mae,81.50021784751785,167.5197838467228,25.469627535951595,1
thp,Adapted THP,p95_p99,qty_rmse,81.21526189049581,141.29895551612034,19.955929693162876,1
thp,Adapted THP,gt_p99,qty_mae,-139.8592359325554,290.86450715850407,-18.908191350366423,2
thp,Adapted THP,gt_p99,qty_rmse,-235.65893031595925,290.28774641935377,-25.269407305097584,2
