model,model_label,seed,best_epoch,best_val_nll,best_val_nll_marker,best_val_nll_time,best_val_qty_mae,best_val_qty_rmse,mark_acc,preclamp_negative_share,source_revision
rmtpp,Adapted RMTPP,42,8,1.5525749099387256,,,34.93997885702772,107.53123084711544,0.9256168359941945,0.0,19ee084161887a1247819c8d535aedb5b5e4aa38
rmtpp,Adapted RMTPP,52,3,1.5528894564813616,,,34.321877449174174,114.60934982158494,0.923681664247702,0.0,19ee084161887a1247819c8d535aedb5b5e4aa38
rmtpp,Adapted RMTPP,62,5,1.5529669305813387,,,33.93573200193706,117.81581717070337,0.9240445089501693,0.0,19ee084161887a1247819c8d535aedb5b5e4aa38
thp,Adapted THP,42,3,1.6124866958049744,0.23721742965700038,1.3752692653524974,51.48834815407987,159.75396918969992,0.9147314949201741,0.0,e3c577ed78752ef6d6023801c00dc42ee98fc1c9
thp,Adapted THP,52,1,1.602564511808959,0.21389934149118844,1.3886651663487235,40.946576349231776,150.39104625831996,0.9158200290275762,0.0,e3c577ed78752ef6d6023801c00dc42ee98fc1c9
thp,Adapted THP,62,3,1.6229020917133024,0.25116237329107804,1.3717397124397046,40.07284688515598,143.32169271845927,0.9146105466860184,0.0,e3c577ed78752ef6d6023801c00dc42ee98fc1c9
titantpp,TitanTPP,42,11,1.5625238498167306,0.19841890361242945,1.3641049437437534,37.12429449520915,122.0084090417351,0.9257377842283503,0.0,e3c577ed78752ef6d6023801c00dc42ee98fc1c9
titantpp,TitanTPP,52,23,1.5768163693256867,0.20978107143361996,1.3670353016301982,43.6783681800242,142.88280813533626,0.9217464925012094,0.0,e3c577ed78752ef6d6023801c00dc42ee98fc1c9
titantpp,TitanTPP,62,21,1.5743878126490445,0.21257445118495907,1.3618133580217513,39.79789730835117,147.68582386769387,0.9173923560716013,0.0,e3c577ed78752ef6d6023801c00dc42ee98fc1c9
