dataset,seed,scope_type,scope,event_count,mae_full,mse_full,mae_no_update,mse_no_update,mae_no_ltm,mse_no_ltm,mae_delta_full_minus_no_update,mae_delta_full_minus_no_ltm,mse_delta_full_minus_no_update,mse_delta_full_minus_no_ltm,help_share_vs_no_update,harm_share_vs_no_update,help_share_vs_no_ltm,harm_share_vs_no_ltm,online_update_residual_norm_mean,long_term_residual_norm_mean,causal_surprise_mean,causal_surprise_max_mean,rmse_full,rmse_no_update,rmse_no_ltm
yellow_trip_hourly,42,history,history_65_128,1475,1.2913284663830773,6.811352525176303,1.4195498926760786,12.321853697092504,4.42404098575398,73.19361968410828,-0.12822142629300134,-3.1327125209873006,-5.510501114150225,-66.38226714170585,0.4928813559322034,0.5071186440677966,0.8813559322033898,0.11864406779661017,8.057604095006393,6.953808448759176,4.38130883152202,36.44827374474477,2.6098568016610226,3.510249805511355,8.555326977042332
yellow_trip_hourly,42,history,history_gt_128,5552,49.736246164383566,20358.020054080996,77.40168791682989,49322.65705089375,69.35818639363266,27678.033183631123,-27.6654417508789,-19.621940231890086,-28964.637167408127,-7320.013162439378,0.6104106628242075,0.3895893371757925,0.7480187319884726,0.25198126801152737,4.907096170576058,4.548712967580952,2.589678591047481,28.989621417323175,142.68153368281753,222.08704836368497,166.36716377828625
yellow_trip_hourly,42,history,history_le_64,1241,0.5149413287687648,0.6953239317453845,0.5318949418044878,0.7170104849484777,2.5945010955635337,8.276069407364666,-0.016953613035723052,-2.079559768908068,-0.02168655332952166,-7.580745475701417,0.5245769540692989,0.42304593070104757,0.9315068493150684,0.0684931506849315,6.061832961490517,8.286640638886297,7.87989206145023,39.711709192354384,0.833860858744062,0.8467647164050223,2.876815845229699
yellow_trip_hourly,42,overall,overall,8268,33.705780162261085,13671.823534377312,52.308670661431556,33122.69672118736,47.75301005938922,18600.226345753337,-18.602890498117947,-14.04722989950713,-19450.873301355343,-4928.402833458247,0.5765602322206096,0.4155781325592646,0.7993468795355588,0.20065312046444123,5.642464765890474,5.53882957072897,3.703346893112038,31.929585509214878,116.92657326021879,181.9964195284824,136.38264679112712
yellow_trip_hourly,42,quantity,gt_p99,79,615.0332278481013,575793.0442644554,1127.3634017751187,1466294.1933840981,523.326561263845,416514.8793016748,-512.3301739270174,91.70666658425633,-890501.1575356013,159278.16569557672,0.9240506329113924,0.0759493670886076,0.3670886075949367,0.6329113924050633,1.8365442496311815,1.9262242256840574,1.4051394704021984,20.331412931031817,758.8102821288437,1210.906352028966,645.3796396708489
yellow_trip_hourly,42,quantity,le_p50,4364,1.6384146465389802,13.790024107640557,1.4711388813640742,21.092137936947463,4.727089786125257,69.85321608081114,0.167275765967085,-3.088675139176529,-7.302113804446277,-56.06319195691729,0.4970210815765353,0.4880843263061412,0.884051329055912,0.11594867094408799,7.303516507695073,7.13587528352449,4.827384065259607,36.633674204622686,3.713492171479638,4.59261776516917,8.357823644993422
yellow_trip_hourly,42,quantity,p50_p90,3138,22.990214064745786,2260.889851654019,30.002731919668523,3570.2495157884755,46.38107777447211,7497.083912980589,-7.012517853251227,-23.390863716564336,-1309.3596645241694,-5236.194074195108,0.6360739324410453,0.36392606755895474,0.7418738049713193,0.25812619502868067,4.197854187246946,4.1286356473820005,2.633348110149133,28.039942375484586,47.54881546005136,59.75156496518292,86.5857027053577
yellow_trip_hourly,42,quantity,p90_p95,386,154.4979700276271,41540.07592137011,225.0958299389775,80751.44155628662,229.1130102286067,91281.40611662333,-70.59785991135038,-74.61504020097959,-39211.365730246114,-49741.33032835333,0.727979274611399,0.27202072538860106,0.6606217616580311,0.3393782383419689,2.198738426433326,2.3695460666028945,1.8288687921558637,21.45903033913726,203.81382661971222,284.1679812299173,302.12812864184514
yellow_trip_hourly,42,quantity,p95_p99,301,302.86450398087106,147380.94737539775,518.1753059463248,383905.8794093211,328.4671926910299,205371.04467418583,-215.3108019654537,-25.602688710158844,-236524.9328455117,-57990.097793072164,0.8239202657807309,0.1760797342192691,0.46179401993355484,0.5382059800664452,2.035502248824237,2.0983654367567297,1.5686787703504594,20.75000748998699,383.9022627901505,619.601387514038,453.17882196124947
yellow_trip_hourly,42,quantity_region,body_le_p95,7888,17.61277252577744,2939.8226832333826,23.764656845669112,5383.563071910207,32.27820281835526,7487.995881709731,-6.1518843187884436,-14.665430295071422,-2443.7403934830686,-4548.173210099978,0.5636409736308317,0.4281186612576065,0.8165567951318459,0.18344320486815416,5.818220779889133,5.706296042151916,3.8078212201081474,32.472347757879184,54.22013171538209,73.37276791773776,86.5332068151281
yellow_trip_hourly,42,quantity_region,extreme_tail_gt_p99,79,615.0332278481013,575793.0442644554,1127.3634017751187,1466294.1933840981,523.326561263845,416514.8793016748,-512.3301739270174,91.70666658425633,-890501.1575356013,159278.16569557672,0.9240506329113924,0.0759493670886076,0.3670886075949367,0.6329113924050633,1.8365442496311815,1.9262242256840574,1.4051394704021984,20.331412931031817,758.8102821288437,1210.906352028966,645.3796396708489
yellow_trip_hourly,42,quantity_region,tail_p95_p99,301,302.86450398087106,147380.94737539775,518.1753059463248,383905.8794093211,328.4671926910299,205371.04467418583,-215.3108019654537,-25.602688710158844,-236524.9328455117,-57990.097793072164,0.8239202657807309,0.1760797342192691,0.46179401993355484,0.5382059800664452,2.035502248824237,2.0983654367567297,1.5686787703504594,20.75000748998699,383.9022627901505,619.601387514038,453.17882196124947
yellow_trip_hourly,42,surprise,no_prior_visible_write,65,0.21551443980290338,0.13509708438382054,0.21551443980290338,0.13509708438382054,1.992859407571646,4.2536116395718775,0.0,-1.7773449732707096,0.0,-4.118514545147235,0.0,0.0,0.9384615384615385,0.06153846153846154,0.0,10.102912213252141,0.0,0.0,0.36755555278599794,0.36755555278599794,2.062428578053523
yellow_trip_hourly,42,surprise,surprise_ge_p99,83,0.38742922443941413,0.3968344249936867,0.43084914569395133,0.3975229437965465,2.3341827248952476,6.336338149271457,-0.04341992125453719,-1.9467535133821419,-0.0006885188793011728,-5.939503697027643,0.5903614457831325,0.40963855421686746,0.9156626506024096,0.08433734939759036,5.053181177162262,9.020112991333008,12.724414882889713,41.39458244967173,0.6299479541943817,0.630494205997602,2.5172084040205047
