dataset,selector,contrast,candidate,control,body_mae_delta,qty_mae_delta,qty_rmse_delta,p99_mae_delta,log_qty_mse_delta,joint_objective_delta
intermittent_v2,body,capacity_mlp_vs_linear,mlp_raw_mae,linear_raw_mae,-0.002923332327481709,0.03280455325192355,0.17076959282731985,0.9591606066584273,0.00016434485913481654,0.0001643448591348573
intermittent_v2,body,objective_mae_vs_logmse,constant_raw_mae,constant_log_mse,0.000027411964589219018,0.02119983025247063,0.0948626607172749,0.7768563246329974,0.000162066055016309,0.00016206605501656313
intermittent_v2,body,objective_mae_vs_logmse,linear_raw_mae,linear_log_mse,-0.00851469552753642,-0.021122777214012678,-0.08580268834704752,-0.7439633234878258,0.00011845807467187816,0.0001184580746715902
intermittent_v2,body,objective_mae_vs_logmse,mlp_raw_mae,mlp_log_mse,-0.019153116549707472,-0.0011825559837914668,0.10159992733228851,0.9875623350285521,-0.0001814257468733928,-0.00018142574687374236
raf_spare_parts,joint,features_vs_constant,linear_log_mse,constant_log_mse,-0.0624869114294313,0.015047575593529317,0.2680358832019678,2.906885349750496,0.001375888576262918,0.001375888576262696
raf_spare_parts,joint,features_vs_constant,mlp_log_mse,constant_log_mse,0.030285796090179673,-0.019410419348288244,-0.13989954504889823,-1.5976850128174078,0.0008653538476695033,0.0008653538476695033
raf_spare_parts,joint,capacity_mlp_vs_linear,mlp_log_mse,linear_log_mse,0.09277270751961098,-0.03445799494181756,-0.40793542825086604,-4.504570362567904,-0.0005105347285934148,-0.0005105347285931927
raf_spare_parts,joint,features_vs_constant,linear_raw_mae,constant_raw_mae,-0.0720906843921334,0.016457633738738764,0.30476054026890864,3.318655335903145,0.0013333210894795888,0.0013333210894796999
raf_spare_parts,joint,features_vs_constant,mlp_raw_mae,constant_raw_mae,-0.0720906843921334,0.016457633738738764,0.30476054026890864,3.318655335903145,0.0013333210894795888,0.0013333210894796999
raf_spare_parts,joint,capacity_mlp_vs_linear,mlp_raw_mae,linear_raw_mae,0.0,0.0,0.0,0.0,0.0,0.0
raf_spare_parts,joint,objective_mae_vs_logmse,constant_raw_mae,constant_log_mse,0.009603772962702095,-0.0014100581452094474,-0.036724657066940836,-0.4117699861526489,0.00004256748678332922,0.000042567486782996156
raf_spare_parts,joint,objective_mae_vs_logmse,linear_raw_mae,linear_log_mse,0.0,0.0,0.0,0.0,0.0,0.0
raf_spare_parts,joint,objective_mae_vs_logmse,mlp_raw_mae,mlp_log_mse,-0.09277270751961098,0.03445799494181756,0.40793542825086604,4.504570362567904,0.0005105347285934148,0.0005105347285931927
raf_spare_parts,body,features_vs_constant,linear_log_mse,constant_log_mse,0.0,0.0,0.0,0.0,0.0,0.0
raf_spare_parts,body,features_vs_constant,mlp_log_mse,constant_log_mse,0.0,0.0,0.0,0.0,0.0,0.0
raf_spare_parts,body,capacity_mlp_vs_linear,mlp_log_mse,linear_log_mse,0.0,0.0,0.0,0.0,0.0,0.0
raf_spare_parts,body,features_vs_constant,linear_raw_mae,constant_raw_mae,0.0,0.0,0.0,0.0,0.0,0.0
raf_spare_parts,body,features_vs_constant,mlp_raw_mae,constant_raw_mae,0.0,0.0,0.0,0.0,0.0,0.0
raf_spare_parts,body,capacity_mlp_vs_linear,mlp_raw_mae,linear_raw_mae,0.0,0.0,0.0,0.0,0.0,0.0
raf_spare_parts,body,objective_mae_vs_logmse,constant_raw_mae,constant_log_mse,0.0,0.0,0.0,0.0,0.0,0.0
raf_spare_parts,body,objective_mae_vs_logmse,linear_raw_mae,linear_log_mse,0.0,0.0,0.0,0.0,0.0,0.0
raf_spare_parts,body,objective_mae_vs_logmse,mlp_raw_mae,mlp_log_mse,0.0,0.0,0.0,0.0,0.0,0.0
yellow_trip_hourly,joint,features_vs_constant,linear_log_mse,constant_log_mse,0.17646956336486497,-11.949274458585876,-51.07413198428296,-588.390263424644,-0.004834812589210924,-0.004834812589210813
yellow_trip_hourly,joint,features_vs_constant,mlp_log_mse,constant_log_mse,1.0077898136923835,-12.169775428319817,-53.379885872771325,-643.1020878659019,-0.0038478222154745,-0.003847822215474528
yellow_trip_hourly,joint,capacity_mlp_vs_linear,mlp_log_mse,linear_log_mse,0.8313202503275186,-0.22050096973394062,-2.3057538884883684,-54.71182444125793,0.0009869903737364238,0.000986990373736285
yellow_trip_hourly,joint,features_vs_constant,linear_raw_mae,constant_raw_mae,-0.13940034550567404,-13.776823270512658,-56.64728897112434,-737.4369282782832,-0.0066856828239990895,-0.006685682823998951
yellow_trip_hourly,joint,features_vs_constant,mlp_raw_mae,constant_raw_mae,-0.03323287821353915,-13.572143069033643,-56.163569108306305,-747.8042301226266,-0.0055482410548652605,-0.005548241054865288
yellow_trip_hourly,joint,capacity_mlp_vs_linear,mlp_raw_mae,linear_raw_mae,0.10616746729213489,0.20468020147901456,0.4837198628180346,-10.36730184434333,0.001137441769133829,0.0011374417691336625
yellow_trip_hourly,joint,objective_mae_vs_logmse,constant_raw_mae,constant_log_mse,0.0,0.0,0.0,0.0,0.0,0.0
yellow_trip_hourly,joint,objective_mae_vs_logmse,linear_raw_mae,linear_log_mse,-0.315869908870539,-1.827548811926782,-5.573156986841383,-149.04666485363924,-0.0018508702347881656,-0.0018508702347881378
yellow_trip_hourly,joint,objective_mae_vs_logmse,mlp_raw_mae,mlp_log_mse,-1.0410226919059227,-1.4023676407138268,-2.78368323553498,-104.70214225672464,-0.0017004188393907604,-0.0017004188393907604
yellow_trip_hourly,body,features_vs_constant,linear_log_mse,constant_log_mse,0.14720605178518653,-3.975816935524307,-17.989797183869996,-220.28353070609182,-0.0032920313699435766,-0.0032920313699436043
yellow_trip_hourly,body,features_vs_constant,mlp_log_mse,constant_log_mse,0.24403278962623887,-5.479391269245234,-24.883818960150336,-310.31173976463606,-0.0012790297051168964,-0.0012790297051168409
yellow_trip_hourly,body,capacity_mlp_vs_linear,mlp_log_mse,linear_log_mse,0.09682673784105233,-1.5035743337209269,-6.89402177628034,-90.02820905854423,0.00201300166482668,0.0020130016648267635
yellow_trip_hourly,body,features_vs_constant,linear_raw_mae,constant_raw_mae,-0.15764099546154853,-6.625178669341878,-28.089044040727103,-409.40056986748414,-0.008633382773045428,-0.008633382773045373
yellow_trip_hourly,body,features_vs_constant,mlp_raw_mae,constant_raw_mae,0.15914861836733252,-6.074329638515749,-26.974336746969485,-402.6982638202136,-0.008386316086214374,-0.008386316086214318
yellow_trip_hourly,body,capacity_mlp_vs_linear,mlp_raw_mae,linear_raw_mae,0.31678961382888104,0.5508490308261287,1.1147072937576183,6.702306047270554,0.0002470666868310545,0.0002470666868310545
yellow_trip_hourly,body,objective_mae_vs_logmse,constant_raw_mae,constant_log_mse,-0.06584943105555396,-1.6616082149077869,-6.8530554247547,-69.29406892800637,0.001863883614615286,0.0018638836146152027
yellow_trip_hourly,body,objective_mae_vs_logmse,linear_raw_mae,linear_log_mse,-0.370696478302289,-4.310969948725358,-16.952302281611807,-258.4111080893987,-0.0034774677884865657,-0.0034774677884865657
yellow_trip_hourly,body,objective_mae_vs_logmse,mlp_raw_mae,mlp_log_mse,-0.1507336023144603,-2.2565465841783023,-8.943573211573849,-161.6805929835839,-0.005243402766482191,-0.005243402766482275
