dataset,selector,head,objective,selected_epoch,parameters,joint_objective,log_qty_mse,qty_mae,qty_rmse,time_nll,body_mae,p99_mae,body_change_pct,rmse_change_pct,p99_change_pct,gate_pass
intermittent_v2,joint,constant,log_mse,0,1,-3.5857056899064643,0.007150350768383675,0.7620852018574226,1.7224035439438634,-3.592856040674848,0.603369344755832,6.067985634966758,0.0,0.0,0.0,false
intermittent_v2,body,constant,log_mse,26,1,-3.585513843934657,0.007342196740191351,0.707209570744143,1.7160521217018014,-3.592856040674848,0.5368804790867229,6.029593451831761,-11.019596246808907,-0.368753435534558,-0.632700626609299,true
intermittent_v2,joint,constant,raw_mae,0,1,-3.5857056899064643,0.007150350768383675,0.7620852018574226,1.7224035439438634,-3.592856040674848,0.603369344755832,6.067985634966758,0.0,0.0,0.0,false
intermittent_v2,body,constant,raw_mae,31,1,-3.5853517778796404,0.00750426279520766,0.7284094009966137,1.8109147824190763,-3.592856040674848,0.5369078910513121,6.806449776464758,-11.015053098432633,5.1388212005500655,12.16983997527288,false
intermittent_v2,joint,linear,log_mse,19,141,-3.5860530101799997,0.006803030494848457,0.666239641333342,1.7231352454351354,-3.592856040674848,0.49727131757120874,6.7403748200506,-17.584258813738447,0.04248142044555873,11.080929084755915,false
intermittent_v2,body,linear,log_mse,19,141,-3.5860530101799997,0.006803030494848457,0.666239641333342,1.7231352454351354,-3.592856040674848,0.49727131757120874,6.7403748200506,-17.584258813738447,0.04248142044555873,11.080929084755915,false
intermittent_v2,joint,linear,raw_mae,32,141,-3.5859943825408815,0.00686165813396646,0.6558579976398284,1.685063972164224,-3.592856040674848,0.49353965177868997,6.243143882383703,-18.202730041180217,-2.167875926110867,2.8865962768203697,false
intermittent_v2,body,linear,raw_mae,9,141,-3.585934552105328,0.006921488569520335,0.6451168641193293,1.637332557088088,-3.592856040674848,0.4887566220436723,5.996411496562774,-18.995450085144867,-4.939085683775634,-1.1795370442464062,true
intermittent_v2,joint,mlp,log_mse,1,2273,-3.585817430388564,0.007038610286284151,0.7563823010710512,2.019339706794263,-3.592856040674848,0.5185745103076961,9.205429759180202,-14.053553629319737,17.239639566143243,51.70487065977757,false
intermittent_v2,body,mlp,log_mse,36,2273,-3.5855887814993195,0.007267259175528545,0.6791039733550444,1.7065022225831192,-3.592856040674848,0.5049864062658981,5.968009768192649,-16.305591151593386,-0.9232053322611159,-1.6475956402730654,true
intermittent_v2,joint,mlp,raw_mae,1,2273,-3.5860502281835274,0.006805812491321044,0.70660567131657,1.8549186050949422,-3.592856040674848,0.5112517108306336,7.542705512485621,-15.267204859815356,7.693612894435482,24.30328557504804,false
intermittent_v2,body,mlp,raw_mae,34,2273,-3.585770207246193,0.007085833428655152,0.6779214173712529,1.8081021499154077,-3.592856040674848,0.4858332897161906,6.9555721032212015,-19.47995138652681,4.975524247663614,14.627366009895084,false
yellow_trip_hourly,joint,constant,log_mse,0,1,1.5576024951687282,0.1911722491331818,51.767734241445226,181.53760165479204,1.3664302460355464,23.167407269833294,1166.282479974288,0.0,0.0,0.0,false
yellow_trip_hourly,body,constant,log_mse,26,1,1.5595764195398856,0.19314617350433916,46.63705233851809,161.70471410055697,1.3664302460355464,22.508271144782373,988.4251075454905,-2.8451009531359777,-10.924947434278028,-15.249939485734068,false
yellow_trip_hourly,joint,constant,raw_mae,0,1,1.5576024951687282,0.1911722491331818,51.767734241445226,181.53760165479204,1.3664302460355464,23.167407269833294,1166.282479974288,0.0,0.0,0.0,false
yellow_trip_hourly,body,constant,raw_mae,2,1,1.5614403031545008,0.19501005711895444,44.9754441236103,154.85165867580227,1.3664302460355464,22.44242171372682,919.1310386174841,-3.1293340150776903,-14.699953472854169,-21.19138764411968,false
yellow_trip_hourly,joint,linear,log_mse,7,141,1.5527676825795174,0.18633743654397086,39.81845978285935,130.46346967050908,1.3664302460355464,23.34387683319816,577.892216549644,0.7617147715732921,-28.13418901578551,-50.45006450217924,false
yellow_trip_hourly,body,linear,log_mse,26,141,1.556284388169942,0.18985414213439558,42.66123540299378,143.71491691668697,1.3664302460355464,22.65547719656756,768.1415768393987,-2.2096994596901998,-20.83462841490429,-34.137604737376044,false
yellow_trip_hourly,joint,linear,raw_mae,21,141,1.5509168123447292,0.1844865663091827,37.99091097093257,124.8903126836677,1.3664302460355464,23.02800692432762,428.84555169600475,-0.6017088743771073,-31.204162914327576,-63.22970128939438,false
yellow_trip_hourly,body,linear,raw_mae,39,141,1.5528069203814554,0.18637667434590902,38.350265454268424,126.76261463507517,1.3664302460355464,22.28478071826527,509.73046875,-3.8097769909596555,-30.172805259306994,-56.29442459246772,false
yellow_trip_hourly,joint,mlp,log_mse,5,2273,1.5537546729532536,0.1873244269177073,39.59795881312541,128.15771578202072,1.3664302460355464,24.175197083525678,523.1803921083861,4.350032793719844,-29.404313699305863,-55.141194256821876,false
yellow_trip_hourly,body,mlp,log_mse,26,2273,1.5582973898347687,0.19186714379922226,41.157661069272855,136.82089514040663,1.3664302460355464,22.752303934408612,678.1133677808544,-1.791755678958498,-24.63220077095528,-41.856850340767856,false
yellow_trip_hourly,joint,mlp,raw_mae,23,2273,1.5520542541138629,0.18562400807831653,38.19559117241158,125.37403254648574,1.3664302460355464,23.134174391619755,418.4782498516614,-0.1434466870913617,-30.93770579557712,-64.11861988521964,false
yellow_trip_hourly,body,mlp,raw_mae,39,2273,1.5530539870682865,0.18662374103274007,38.90111448509455,127.87732192883279,1.3664302460355464,22.601570332094152,516.4327747972706,-2.4423835224579875,-29.558768672067444,-55.71975197564007,false
raf_spare_parts,joint,constant,log_mse,3,1,3.8413082025804512,0.5561922382105274,9.071443940732511,35.85535254977495,3.2851159643699237,4.288429117698845,310.60392759084704,1.478650402192642,-0.7420009440678017,-0.9272041759852405,false
raf_spare_parts,body,constant,log_mse,0,1,3.842684091156714,0.5575681267867904,9.08649151632604,36.12338843297692,3.2851159643699237,4.225942206269414,313.51081294059753,0.0,0.0,0.0,false
raf_spare_parts,joint,constant,raw_mae,3,1,3.8413507700672342,0.5562348056973108,9.070033882587301,35.81862789270801,3.2851159643699237,4.298032890661547,310.1921576046944,1.7059079578793805,-0.8436654297654254,-1.0585457339654654,false
raf_spare_parts,body,constant,raw_mae,0,1,3.842684091156714,0.5575681267867904,9.08649151632604,36.12338843297692,3.2851159643699237,4.225942206269414,313.51081294059753,0.0,0.0,0.0,false
raf_spare_parts,joint,linear,log_mse,0,141,3.842684091156714,0.5575681267867904,9.08649151632604,36.12338843297692,3.2851159643699237,4.225942206269414,313.51081294059753,0.0,0.0,0.0,false
raf_spare_parts,body,linear,log_mse,0,141,3.842684091156714,0.5575681267867904,9.08649151632604,36.12338843297692,3.2851159643699237,4.225942206269414,313.51081294059753,0.0,0.0,0.0,false
raf_spare_parts,joint,linear,raw_mae,0,141,3.842684091156714,0.5575681267867904,9.08649151632604,36.12338843297692,3.2851159643699237,4.225942206269414,313.51081294059753,0.0,0.0,0.0,false
raf_spare_parts,body,linear,raw_mae,0,141,3.842684091156714,0.5575681267867904,9.08649151632604,36.12338843297692,3.2851159643699237,4.225942206269414,313.51081294059753,0.0,0.0,0.0,false
raf_spare_parts,joint,mlp,log_mse,2,2273,3.8421735564281208,0.5570575920581969,9.052033521384223,35.71545300472605,3.2851159643699237,4.318714913789025,309.0062425780296,2.1953141569701935,-1.1292833976739103,-1.4368149922221047,false
raf_spare_parts,body,mlp,log_mse,0,2273,3.842684091156714,0.5575681267867904,9.08649151632604,36.12338843297692,3.2851159643699237,4.225942206269414,313.51081294059753,0.0,0.0,0.0,false
raf_spare_parts,joint,mlp,raw_mae,0,2273,3.842684091156714,0.5575681267867904,9.08649151632604,36.12338843297692,3.2851159643699237,4.225942206269414,313.51081294059753,0.0,0.0,0.0,false
raf_spare_parts,body,mlp,raw_mae,0,2273,3.842684091156714,0.5575681267867904,9.08649151632604,36.12338843297692,3.2851159643699237,4.225942206269414,313.51081294059753,0.0,0.0,0.0,false
insta_market_basket,joint,constant,log_mse,0,1,3.4503895514146383,0.24394953996582858,4.026534869941726,5.974160054980949,3.2064400114488096,3.4245456387870368,23.000999665402514,0.0,0.0,0.0,false
insta_market_basket,body,constant,log_mse,0,1,3.4503895514146383,0.24394953996582858,4.026534869941726,5.974160054980949,3.2064400114488096,3.4245456387870368,23.000999665402514,0.0,0.0,0.0,false
insta_market_basket,joint,constant,raw_mae,40,1,3.450385787727255,0.2439457762784453,4.018681426374555,5.952183016738061,3.2064400114488096,3.424837461597756,22.81321215449855,0.008521504500163132,-0.367868253287997,-0.8164319535486442,false
insta_market_basket,body,constant,raw_mae,0,1,3.4503895514146383,0.24394953996582858,4.026534869941726,5.974160054980949,3.2064400114488096,3.4245456387870368,23.000999665402514,0.0,0.0,0.0,false
insta_market_basket,joint,linear,log_mse,0,141,3.4503895514146383,0.24394953996582858,4.026534869941726,5.974160054980949,3.2064400114488096,3.4245456387870368,23.000999665402514,0.0,0.0,0.0,false
insta_market_basket,body,linear,log_mse,0,141,3.4503895514146383,0.24394953996582858,4.026534869941726,5.974160054980949,3.2064400114488096,3.4245456387870368,23.000999665402514,0.0,0.0,0.0,false
insta_market_basket,joint,linear,raw_mae,1,141,3.450163357909521,0.24372334646071134,4.00630571906951,5.93521554475832,3.2064400114488096,3.4259932922327896,22.43968866387292,0.04227286181724157,-0.6518826054912842,-2.440376547519808,false
insta_market_basket,body,linear,raw_mae,0,141,3.4503895514146383,0.24394953996582858,4.026534869941726,5.974160054980949,3.2064400114488096,3.4245456387870368,23.000999665402514,0.0,0.0,0.0,false
insta_market_basket,joint,mlp,log_mse,0,2273,3.4503895514146383,0.24394953996582858,4.026534869941726,5.974160054980949,3.2064400114488096,3.4245456387870368,23.000999665402514,0.0,0.0,0.0,false
insta_market_basket,body,mlp,log_mse,0,2273,3.4503895514146383,0.24394953996582858,4.026534869941726,5.974160054980949,3.2064400114488096,3.4245456387870368,23.000999665402514,0.0,0.0,0.0,false
insta_market_basket,joint,mlp,raw_mae,1,2273,3.450132356560964,0.24369234511215443,4.000521149515626,5.92564781420361,3.2064400114488096,3.432549057358252,22.11883309339355,0.23370745831409723,-0.8120345007645391,-3.8353401366980315,false
insta_market_basket,body,mlp,raw_mae,0,2273,3.4503895514146383,0.24394953996582858,4.026534869941726,5.974160054980949,3.2064400114488096,3.4245456387870368,23.000999665402514,0.0,0.0,0.0,false
