dataset,selector,cell,scope,role,count,joint_objective,log_qty_mse,qty_mae,qty_rmse,time_nll
intermittent_v2,joint,constant_log_mse,body_le_p95,baseline,81739,-3.5852435315308204,0.007324397939479449,0.603369344755832,1.2731964285627633,-3.5925679294702997
intermittent_v2,joint,constant_log_mse,body_le_p95,candidate,81739,-3.5852435315308204,0.007324397939479449,0.603369344755832,1.2731964285627633,-3.5925679294702997
intermittent_v2,joint,constant_log_mse,gt_p99,baseline,1141,-3.5984512928826424,0.0007697586402300866,6.067985634966758,7.793839666776394,-3.5992210515228726
intermittent_v2,joint,constant_log_mse,gt_p99,candidate,1141,-3.5984512928826424,0.0007697586402300866,6.067985634966758,7.793839666776394,-3.5992210515228726
intermittent_v2,joint,constant_log_mse,history_65_128,baseline,28456,-3.594745744282006,0.004679457426251971,1.301943531109605,2.547899900611619,-3.5994252017082577
intermittent_v2,joint,constant_log_mse,history_65_128,candidate,28456,-3.594745744282006,0.004679457426251971,1.301943531109605,2.547899900611619,-3.5994252017082577
intermittent_v2,joint,constant_log_mse,history_gt_128,baseline,32741,-3.5713117823250857,0.010776250619312413,0.1435155487210555,0.455518561637507,-3.582088032944398
intermittent_v2,joint,constant_log_mse,history_gt_128,candidate,32741,-3.5713117823250857,0.010776250619312413,0.1435155487210555,0.455518561637507,-3.582088032944398
intermittent_v2,joint,constant_log_mse,history_le_64,baseline,25088,-3.5942367462207,0.005220988281315828,0.9570142673922475,1.6028627469636274,-3.599457734502016
intermittent_v2,joint,constant_log_mse,history_le_64,candidate,25088,-3.5942367462207,0.005220988281315828,0.9570142673922475,1.6028627469636274,-3.599457734502016
intermittent_v2,joint,constant_log_mse,le_p50,baseline,45036,-3.5789222637202966,0.008113786998835715,0.08681285343333008,0.2225052840533853,-3.5870360507191323
intermittent_v2,joint,constant_log_mse,le_p50,candidate,45036,-3.5789222637202966,0.008113786998835715,0.08681285343333008,0.2225052840533853,-3.5870360507191323
intermittent_v2,joint,constant_log_mse,overall,baseline,86285,-3.5857056899064643,0.007150350768383675,0.7620852018574226,1.7224035439438634,-3.592856040674848
intermittent_v2,joint,constant_log_mse,overall,candidate,86285,-3.5857056899064643,0.007150350768383675,0.7620852018574226,1.7224035439438634,-3.592856040674848
intermittent_v2,joint,constant_log_mse,p50_p90,baseline,29579,-3.593220123253776,0.006144632164180698,0.9939213998782239,1.541711023257679,-3.5993647554179566
intermittent_v2,joint,constant_log_mse,p50_p90,candidate,29579,-3.593220123253776,0.006144632164180698,0.9939213998782239,1.541711023257679,-3.5993647554179566
intermittent_v2,joint,constant_log_mse,p90_p95,baseline,7124,-3.5920858968510645,0.007232506613032639,2.2473192190869615,2.901288922258527,-3.599318403464097
