scale_order,scale_label,count,share,true_qty_mean,pred_qty_mean,qty_mae,qty_median_ae,qty_rmse,qty_wape,log_abs_error,dt_mae,mark_acc,dataset_name,dataset_kind,model_name,candidate_name,titan_candidate_name,seed,reproducibility_mode,source_revision,train_loader_seed,value_head_mode,time_head_mode,evaluation_scope,qty_mark_gradient_mode,value_encoder_gradient_mode,marker_loss_mode,lambda_ordinal,qty_decoder_mode,magnitude_norm_mode,lambda_magnitude,magnitude_domain,magnitude_encoder_gradient_mode,magnitude_aux_loss_mode,lambda_log_qty,log_qty_huber_delta,log_qty_floor,magnitude_sigma_floor,magnitude_revin_eps,magnitude_shrinkage_k,magnitude_center_mode,magnitude_revin_affine,magnitude_stat_context_mode,selection,eval_split,model_scale_base
2,4-7,3201,0.03709798922176508,5.524211172832619,5.727965245132184,0.535582963096764,0.36134910583496094,0.8442521199284808,0.09695193509811757,0.13387761302978982,3.7925648234926586,0.9487660106216808,intermittent,marked_target,titantpp,small_lmm,small_lmm,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
3,8-15,6036,0.06995422147534335,11.435719009738161,11.679719332593256,0.7173303563994552,0.4323849678039551,1.1604231093336264,0.06272717577168588,0.09072617196025558,3.8278661365142477,0.9555997349237906,intermittent,marked_target,titantpp,small_lmm,small_lmm,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
4,16-31,19829,0.22980819377643855,25.497855832136803,25.26274902145214,1.2462106997417643,0.6181068420410156,2.469555959360677,0.04887511749796131,0.06817841427644471,2.977406828382672,0.9643451510414041,intermittent,marked_target,titantpp,small_lmm,small_lmm,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
5,32-63,8213,0.09518456278611578,38.756361861155206,38.663245831281365,2.0210116100880255,0.9385757446289062,3.756851707456659,0.05214657705303471,0.08808031805566323,1.8099354681602338,0.9046633386095215,intermittent,marked_target,titantpp,small_lmm,small_lmm,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
6,64-127,1499,0.017372660369705046,89.76050665857316,90.14414577980372,1.902461010587462,1.332763671875,2.7681326227514633,0.02119485597183575,0.02985044794928797,2.81187458305537,0.9579719813208806,intermittent,marked_target,titantpp,small_lmm,small_lmm,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
7,>=128,1958,0.022692240829808193,223.00970348323085,224.8668164729585,3.8317804619045863,2.3730545043945312,5.697332966041697,0.017182124374210093,0.024748812413434816,3.0,0.9887640449438202,intermittent,marked_target,titantpp,small_lmm,small_lmm,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
0,1-1,42610,0.4938285912962856,1.0,0.9967331794625407,0.02360154700738056,0.014928042888641357,0.10111146437574291,0.02360154700738056,0.029820175045640905,0.7245247594461394,0.990072752874912,intermittent,marked_target,titantpp,small_lmm,small_lmm,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
1,2-3,2939,0.034061540244538446,2.1745491663831236,2.004262528682331,0.37822755695646737,0.06444716453552246,0.6017494977833054,0.17393378029964915,0.3040374562058087,0.8077577407281388,0.737665872745832,intermittent,marked_target,titantpp,small_lmm,small_lmm,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
2,4-7,3201,0.03709798922176508,5.524211172832619,5.449851773001931,0.5805040609460441,0.4259071350097656,0.8420266056027096,0.10508361153912629,0.1489016902480264,3.7925648234926586,0.9322086847860044,intermittent,marked_target,titantpp,small_lmm,small_lmm,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
3,8-15,6036,0.06995422147534335,11.435719009738161,11.807748202617157,0.7595318252476262,0.5096778869628906,1.1601352289602087,0.06641749632015634,0.09676581356523842,3.8278661365142477,0.9592445328031809,intermittent,marked_target,titantpp,small_lmm,small_lmm,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
4,16-31,19829,0.22980819377643855,25.497855832136803,25.58414674385983,1.4117557136162042,0.6634750366210938,2.740099024816399,0.05536762474893539,0.0772266874299407,2.977406828382672,0.960663674416259,intermittent,marked_target,titantpp,small_lmm,small_lmm,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
5,32-63,8213,0.09518456278611578,38.756361861155206,38.925691445997536,2.1037979128298914,0.9937477111816406,3.8648998118449858,0.0542826470752532,0.08993174610860191,1.8099354681602338,0.915012784609765,intermittent,marked_target,titantpp,small_lmm,small_lmm,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
6,64-127,1499,0.017372660369705046,89.76050665857316,91.3410944871858,2.2988854294383105,1.8288116455078125,3.048273488717023,0.025611324122564325,0.03698092734837548,2.81187458305537,0.9579719813208806,intermittent,marked_target,titantpp,small_lmm,small_lmm,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
7,>=128,1958,0.022692240829808193,223.00970348323085,226.77187588996614,4.660740031163466,2.8876266479492188,6.882452000621503,0.020899270114109313,0.028969382119495363,3.0,0.9887640449438202,intermittent,marked_target,titantpp,small_lmm,small_lmm,62,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
