status,reproducibility_mode,source_revision,train_loader_seed,dataset_name,dataset_kind,model_name,candidate_name,titan_candidate_name,seed,epochs,trained_epochs,stopped_early,early_stopping_patience,min_epochs,lr,batch_size,lookback_weeks,max_seq_len,scale_base,analysis_scale_base,analysis_tail_order,titan_profile,loss_mode,split_mode,evaluation_scope,held_out_test_evaluated,value_head_activation,value_head_mode,time_head_mode,qty_mark_gradient_mode,value_encoder_gradient_mode,marker_loss_mode,lambda_ordinal,qty_decoder_mode,magnitude_norm_mode,magnitude_input_emb_dim,lambda_magnitude,magnitude_encoder_gradient_mode,magnitude_aux_loss_mode,lambda_log_qty,log_qty_huber_delta,log_qty_floor,magnitude_sigma_floor,magnitude_effective_sigma_floor,magnitude_revin_eps,magnitude_shrinkage_k,magnitude_center_mode,magnitude_revin_affine,magnitude_stat_context_mode,magnitude_domain,magnitude_exp_clamp_min,magnitude_exp_clamp_max,magnitude_stats_source_split,magnitude_train_event_count,magnitude_global_mean,magnitude_global_var,magnitude_global_std,value_input_mode,value_input_emb_dim,train_loss_scope,lambda_dt,test_time_memory,run_dir,resume_checkpoint_path,best_score_checkpoint_path,best_val_nll_checkpoint_path,final_checkpoint_path,num_marks,max_order,series_count,rmtpp_rnn_type,rmtpp_hidden_dim,rmtpp_mark_emb_dim,name,d_model,n_layers,n_heads,d_ff,dropout,contextual_mem_size,persistent_mem_size,use_lmm,mem_size,mem_topk,use_pos_emb,use_causal,memory_mode,ttm_chunk_size,ttm_memory_update,best_score_epoch,best_score,best_score_val_nll,best_score_qty_mae,best_score_dt_mae,best_score_mark_acc,best_val_nll_epoch,best_val_nll,best_val_nll_score,best_val_nll_qty_mae,best_val_nll_dt_mae,best_val_nll_mark_acc,best_val_nll_value_mae,best_val_nll_log_qty_mae,best_val_nll_log_qty_rmse,best_val_nll_magnitude_loss,best_val_nll_log_qty_aux_loss,best_val_nll_ordinal_marker_loss,best_val_nll_mark_balanced_accuracy,best_val_nll_mark_macro_f1,best_val_nll_mark_mae,best_val_nll_mark_adjacent_accuracy,best_val_nll_mark_0_recall,best_val_nll_mark_1_recall,final_epoch,final_train_loss,final_score,final_val_nll,final_qty_mae,final_log_qty_mae,final_log_qty_rmse,final_magnitude_loss,final_log_qty_aux_loss,final_dt_mae,final_mark_acc,final_ordinal_marker_loss,final_mark_mae,best_val_nll_qty_rmse,final_qty_rmse,best_val_nll_qty_wape,final_qty_wape,best_val_nll_context_1_count,final_context_1_count,best_val_nll_context_1_qty_mae,final_context_1_qty_mae,best_val_nll_context_1_log_qty_mae,final_context_1_log_qty_mae,best_val_nll_context_2_4_count,final_context_2_4_count,best_val_nll_context_2_4_qty_mae,final_context_2_4_qty_mae,best_val_nll_context_2_4_log_qty_mae,final_context_2_4_log_qty_mae,best_val_nll_context_5_8_count,final_context_5_8_count,best_val_nll_context_5_8_qty_mae,final_context_5_8_qty_mae,best_val_nll_context_5_8_log_qty_mae,final_context_5_8_log_qty_mae,best_val_nll_context_9_plus_count,final_context_9_plus_count,best_val_nll_context_9_plus_qty_mae,final_context_9_plus_qty_mae,best_val_nll_context_9_plus_log_qty_mae,final_context_9_plus_log_qty_mae,best_score_state_sha256,best_val_nll_state_sha256,final_state_sha256
success,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,intermittent,marked_target,titantpp,small_lmm,small_lmm,42,300,296,true,40,40,0.001,128,520,96,2.0,2.0,7,dataset_best,hybrid,fixed,validation_only,false,identity,shared,shared,coupled,coupled,ce,0.0,mark_residual,global,8,1.0,coupled,none,0.25,1.0,1.0,0.0014535461338152059,,0.00001,8.0,mean,false,none,,-2.0,15.0,,,,,,residual,8,target_only,1.0,none,/home/leekwanhyeong/workspace/paper_research/search_artifacts/intermittent_frozen_5000_e300_20260810/intermittent/runs/intermittent/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_42,/home/leekwanhyeong/workspace/paper_research/search_artifacts/intermittent_frozen_5000_e300_20260810/intermittent/runs/intermittent/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_42/checkpoints/last_epoch_state.pt,/home/leekwanhyeong/workspace/paper_research/search_artifacts/intermittent_frozen_5000_e300_20260810/intermittent/runs/intermittent/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_42/checkpoints/best_score_model.pt,/home/leekwanhyeong/workspace/paper_research/search_artifacts/intermittent_frozen_5000_e300_20260810/intermittent/runs/intermittent/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_42/checkpoints/best_val_nll_model.pt,/home/leekwanhyeong/workspace/paper_research/search_artifacts/intermittent_frozen_5000_e300_20260810/intermittent/runs/intermittent/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_42/checkpoints/final_model.pt,10,8,5000,gru,64,32,small_lmm,64,2,4,128,0.1,16,16,true,64,4,true,true,static_lmm,1,all,2,0.9511970431746217,0.4795784506217805,0.7243779996403428,0.4432522153083451,0.9563539433273455,256,-3.446777223541831,0.944582733940335,0.7166807899194914,1.7672133047459002,0.9629715477777134,0.04482840102602213,0.05537166702669286,0.15477657301995565,NaN,NaN,0.003335440489197061,0.9323980043078074,0.9365757118949642,0.03702845222228661,1.0,0.9918094344050692,0.6777815583531813,296,-3.312353843830342,0.9437967675082963,-3.444268575830698,0.6682032282164415,0.06398365153438516,0.15446575861669887,NaN,NaN,1.7672133047459002,0.9621371037839718,0.003466075504079416,0.03786289621602828,1.9837641324504358,1.9015569159582162,0.040395946909549604,0.03766349330341792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86285.0,86285.0,0.7166807899194914,0.6682032282164415,0.05537166702669286,0.06398365153438516,fbdf69d9a76e1fa8a41968c71b30bd7c0ca0d4a3dd5196fee7b721836b111f92,cc9e110ed1871349280585cd31f30ae7f7c6d97cac070aaadbad545132f38ec2,32995769a0b9c79b60d3ec15106ad6380d5923c25dfc40a8bee098a0d5849a7f
success,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,intermittent,marked_target,titantpp,small_lmm,small_lmm,52,300,300,false,40,40,0.001,128,520,96,2.0,2.0,7,dataset_best,hybrid,fixed,validation_only,false,identity,shared,shared,coupled,coupled,ce,0.0,mark_residual,global,8,1.0,coupled,none,0.25,1.0,1.0,0.0014535461338152059,,0.00001,8.0,mean,false,none,,-2.0,15.0,,,,,,residual,8,target_only,1.0,none,/home/leekwanhyeong/workspace/paper_research/search_artifacts/intermittent_frozen_5000_e300_20260810/intermittent/runs/intermittent/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_52,/home/leekwanhyeong/workspace/paper_research/search_artifacts/intermittent_frozen_5000_e300_20260810/intermittent/runs/intermittent/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_52/checkpoints/last_epoch_state.pt,/home/leekwanhyeong/workspace/paper_research/search_artifacts/intermittent_frozen_5000_e300_20260810/intermittent/runs/intermittent/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_52/checkpoints/best_score_model.pt,/home/leekwanhyeong/workspace/paper_research/search_artifacts/intermittent_frozen_5000_e300_20260810/intermittent/runs/intermittent/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_52/checkpoints/best_val_nll_model.pt,/home/leekwanhyeong/workspace/paper_research/search_artifacts/intermittent_frozen_5000_e300_20260810/intermittent/runs/intermittent/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_52/checkpoints/final_model.pt,10,8,5000,gru,64,32,small_lmm,64,2,4,128,0.1,16,16,true,64,4,true,true,static_lmm,1,all,2,0.952026370291406,0.45041669584850025,0.8265394105905453,0.4370246118829695,0.9572231558208263,295,-3.448979039790975,0.9433459394296766,0.690219810052246,1.7672133047459002,0.9617082922871878,0.04619982517483323,0.05629260922705111,0.15631247284635497,NaN,NaN,0.0034562840213157773,0.9433437935544933,0.9381424222238741,0.03829170771281219,1.0,0.9839708988500352,0.7910854031983668,300,-3.3187542465480315,0.9431659325090118,-3.447250854205704,0.6963842320208713,0.05866116683010763,0.15479062544648148,NaN,NaN,1.7672133047459002,0.9615344497884917,0.0034914825340675733,0.038465550211508374,1.937698225303741,1.9602627991374484,0.03890446513282725,0.039251924791402194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86285.0,86285.0,0.690219810052246,0.6963842320208713,0.05629260922705111,0.05866116683010763,aabb9a66087027843e73ef0191216130553bb2a8aceffca0ae82428c3da09b0b,b636bdfcf9835ac53c721971bd138d369199f2d3e32db96d2fa31131b8714a82,e39ad1ce6e079f3e8c7b35a75fb8787894d0265d7322bfc4be5ce786fb8be80f
success,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,62,intermittent,marked_target,titantpp,small_lmm,small_lmm,62,300,265,true,40,40,0.001,128,520,96,2.0,2.0,7,dataset_best,hybrid,fixed,validation_only,false,identity,shared,shared,coupled,coupled,ce,0.0,mark_residual,global,8,1.0,coupled,none,0.25,1.0,1.0,0.0014535461338152059,,0.00001,8.0,mean,false,none,,-2.0,15.0,,,,,,residual,8,target_only,1.0,none,/home/leekwanhyeong/workspace/paper_research/search_artifacts/intermittent_frozen_5000_e300_20260810/intermittent/runs/intermittent/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_62,/home/leekwanhyeong/workspace/paper_research/search_artifacts/intermittent_frozen_5000_e300_20260810/intermittent/runs/intermittent/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_62/checkpoints/last_epoch_state.pt,/home/leekwanhyeong/workspace/paper_research/search_artifacts/intermittent_frozen_5000_e300_20260810/intermittent/runs/intermittent/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_62/checkpoints/best_score_model.pt,/home/leekwanhyeong/workspace/paper_research/search_artifacts/intermittent_frozen_5000_e300_20260810/intermittent/runs/intermittent/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_62/checkpoints/best_val_nll_model.pt,/home/leekwanhyeong/workspace/paper_research/search_artifacts/intermittent_frozen_5000_e300_20260810/intermittent/runs/intermittent/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_62/checkpoints/final_model.pt,10,8,5000,gru,64,32,small_lmm,64,2,4,128,0.1,16,16,true,64,4,true,true,static_lmm,1,all,2,0.9521322675012345,0.43564626814530594,0.863542245803084,0.40303245752664735,0.957026134322304,225,-3.4447983955683488,0.944240088603264,0.7695886291633884,1.7672133047459002,0.9626818102798864,0.05479991388322995,0.0649824463119856,0.156990756558374,NaN,NaN,0.0033727955135851367,0.9373924341090658,0.9371868239596198,0.037318189720113575,1.0,0.990072752874912,0.737665872745832,265,-3.3111728667747835,0.942036712799342,-3.431893438783659,0.7361909498612726,0.06534722677116883,0.16112713919443003,NaN,NaN,1.7672133047459002,0.9604450367966623,0.0037689344457755495,0.039554963203337776,2.126358534343276,2.0078406339951616,0.04337811455692794,0.04149564344989297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86285.0,86285.0,0.7695886291633884,0.7361909498612726,0.0649824463119856,0.06534722677116883,1294f830e38b9d6dea3ba3e5a2e3dfbf4a9f8f84dbf8f640d9a55475d8c8f6f8,8a99d04045c53fb95d0f9686b8a8bd31de6612e9829c4f7d18dd6d498d7036ee,60fd3fd815d95c37ee63ef3ff67de03ca3b4d94a482a4fd1cda52482c736b001
