dataset_name,model_name,candidate_name,titan_candidate_name,reproducibility_mode,source_revision,train_loader_seed,value_head_mode,time_head_mode,evaluation_scope,qty_mark_gradient_mode,value_encoder_gradient_mode,marker_loss_mode,lambda_ordinal,qty_decoder_mode,magnitude_norm_mode,lambda_magnitude,magnitude_encoder_gradient_mode,magnitude_aux_loss_mode,lambda_log_qty,log_qty_huber_delta,log_qty_floor,magnitude_domain,magnitude_sigma_floor,magnitude_revin_eps,magnitude_shrinkage_k,magnitude_center_mode,magnitude_revin_affine,magnitude_stat_context_mode,seed,epoch,score,val_nll,val_nll_marker,val_nll_time,val_ordinal_marker_loss,qty_mae,qty_rmse,qty_wape,log_qty_mae,log_qty_rmse,val_magnitude_loss,train_log_qty_aux_loss,val_log_qty_aux_loss,dt_mae,mark_acc,mark_balanced_accuracy,mark_macro_f1,mark_mae,mark_adjacent_accuracy,mark_0_recall,mark_1_recall,train_loss
intermittent,titantpp,small_lmm,small_lmm,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,coupled,none,0.25,1.0,1.0,,0.0014535461338152059,0.00001,8.0,mean,false,none,42,1,0.9506954656585176,1.090649017163332,0.1328336162781145,0.9578153998839204,0.004389965393051652,0.79038963263437,1.9396849909517335,0.04455056991459633,0.06920237439514733,0.16323507533184065,NaN,0.0,NaN,0.37902645442772764,0.9552761198354291,0.9271541657328406,0.9259659106136543,0.0447238801645709,1.0,0.9848392396151138,0.6913916298060565,2.020857553216974
intermittent,titantpp,small_lmm,small_lmm,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,coupled,none,0.25,1.0,1.0,,0.0014535461338152059,0.00001,8.0,mean,false,none,42,2,0.9511970431746217,0.4795784506217805,0.12306843030360853,0.3565100217076921,0.004264189546925637,0.7243779996403428,1.934518774039268,0.04082980265063918,0.06472596749443164,0.1573268144923844,NaN,0.0,NaN,0.4432522153083451,0.9563539433273455,0.9171409677555852,0.9238631696053569,0.04364605667265457,1.0,0.9938277399671439,0.5842123171146648,0.9657746402568563
intermittent,titantpp,small_lmm,small_lmm,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,coupled,none,0.25,1.0,1.0,,0.0014535461338152059,0.00001,8.0,mean,false,none,42,3,0.9471227911059311,0.14753224490517058,0.11988590904978602,0.027646337243782147,0.004159280262743832,0.7528169101045963,1.8750952832201953,0.042432771131779116,0.06789304250332642,0.15775523267216832,NaN,0.0,NaN,0.9486621803747459,0.9573622298197833,0.9298977886954225,0.929554617249863,0.04263777018021672,1.0,0.9871157005397794,0.6934331405239877,0.4836866014621309
intermittent,titantpp,small_lmm,small_lmm,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,coupled,none,0.25,1.0,1.0,,0.0014535461338152059,0.00001,8.0,mean,false,none,42,4,0.9435247222349169,0.28576815784920434,0.11448568410663275,0.17128247494920557,0.004065611082569582,0.717431018133805,1.8726055895594145,0.04043823376799723,0.06432718596232133,0.16161226326482533,NaN,0.0,NaN,1.1810463076554631,0.9560526163296054,0.932539168512538,0.9285741979241335,0.04394738367039462,1.0,0.9811546585308613,0.7417488941816944,0.19899116246264684
intermittent,titantpp,small_lmm,small_lmm,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,coupled,none,0.25,1.0,1.0,,0.0014535461338152059,0.00001,8.0,mean,false,none,42,5,0.9390536060327035,-0.6121975795234998,0.1166833559731906,-0.7288809350283362,0.004083118661414657,0.9040437530944871,2.266729800183,0.050956721552446425,0.07791194085444278,0.17379856127491236,NaN,0.0,NaN,1.5445954548674994,0.955403604334473,0.9401778782378898,0.9299072762559621,0.04459639566552703,1.0,0.9736916216850504,0.8097992514460701,-0.14460791593056624
intermittent,titantpp,small_lmm,small_lmm,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,coupled,none,0.25,1.0,1.0,,0.0014535461338152059,0.00001,8.0,mean,false,none,42,6,0.9419629607280505,-1.0934851196305861,0.11206146849139842,-1.2055465954220599,0.003935257552403982,0.7154088206809842,1.894731213902514,0.04032425194778694,0.059255400691530055,0.15102397372518428,NaN,0.0,NaN,1.7395803250712192,0.9600741727994437,0.9274930545584805,0.9325358016188788,0.0399258272005563,1.0,0.9933583665806148,0.6566859476012249,-0.7445942638018042
intermittent,titantpp,small_lmm,small_lmm,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,coupled,none,0.25,1.0,1.0,,0.0014535461338152059,0.00001,8.0,mean,false,none,42,7,0.9382350585894533,-1.2965630871234006,0.11127900980141393,-1.4078421022674124,0.004022535057584713,0.7712576879993295,1.9226745772219085,0.04347219160360468,0.06566332229603869,0.1620000251133843,NaN,0.0,NaN,1.7672133047459002,0.9566784493249116,0.9181181627211248,0.9244289975115875,0.04332155067508837,1.0,0.9916686223891106,0.6090506975161619,-1.0308059944016725
intermittent,titantpp,small_lmm,small_lmm,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,coupled,none,0.25,1.0,1.0,,0.0014535461338152059,0.00001,8.0,mean,false,none,42,8,0.9416579019315122,-1.4727260850993797,0.10663193962017851,-1.5793580255233766,0.003791461955190933,0.7904958201247737,2.153698281934499,0.04455655520719122,0.06788500306254958,0.15506540928842277,NaN,0.0,NaN,1.7672133047459002,0.960120530799096,0.927901847549628,0.932555252642254,0.03987946920090398,1.0,0.9936869279511852,0.6655324940455938,-1.2203711849892869
intermittent,titantpp,small_lmm,small_lmm,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,coupled,none,0.25,1.0,1.0,,0.0014535461338152059,0.00001,8.0,mean,false,none,42,9,0.9403099730108223,-1.624028574089231,0.10711391441303408,-1.731142488514872,0.003820859474652149,0.701326751592932,1.8016664612311122,0.03953051152212062,0.06667062175876953,0.15919911230419473,NaN,0.0,NaN,1.7672133047459002,0.9586834328098742,0.9399722721107442,0.9337991648439095,0.04131656719012575,1.0,0.9819291246186341,0.7931269139162981,-1.3867129112638639
intermittent,titantpp,small_lmm,small_lmm,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,coupled,none,0.25,1.0,1.0,,0.0014535461338152059,0.00001,8.0,mean,false,none,42,10,0.9400941807565514,-1.7538948808890986,0.10494967563630546,-1.8588445570720764,0.0038490127155489775,0.7780450069069165,2.0508284476477447,0.043854761051684725,0.08457513583620364,0.15983676587056342,NaN,0.0,NaN,1.7672133047459002,0.9585443588109173,0.9238809999040328,0.9290810758412343,0.04145564118908269,1.0,0.9948603614175077,0.6247022796869683,-1.5294320371743142
