dataset,seed,scope_type,scope,event_count,mae_full,mse_full,mae_no_update,mse_no_update,mae_no_ltm,mse_no_ltm,mae_delta_full_minus_no_update,mae_delta_full_minus_no_ltm,mse_delta_full_minus_no_update,mse_delta_full_minus_no_ltm,help_share_vs_no_update,harm_share_vs_no_update,help_share_vs_no_ltm,harm_share_vs_no_ltm,online_update_residual_norm_mean,long_term_residual_norm_mean,causal_surprise_mean,causal_surprise_max_mean,rmse_full,rmse_no_update,rmse_no_ltm
raf_spare_parts,42,history,history_le_64,6690,9.304530495556659,1382.885220301347,9.304530495556659,1382.885220301347,9.83347325018525,1377.6105032331197,0.0,-0.5289427546107716,0.0,5.2747170797968215,0.0,0.0,0.658744394618834,0.3412556053811659,0.0,5.031519327819437,0.0,0.0,37.187164725229415,37.187164725229415,37.11617576250441
raf_spare_parts,42,overall,overall,6690,9.304530495556659,1382.885220301347,9.304530495556659,1382.885220301347,9.83347325018525,1377.6105032331197,0.0,-0.5289427546107716,0.0,5.2747170797968215,0.0,0.0,0.658744394618834,0.3412556053811659,0.0,5.031519327819437,0.0,0.0,37.187164725229415,37.187164725229415,37.11617576250441
raf_spare_parts,42,quantity,gt_p99,50,323.24715606689455,134062.9459375,323.24715606689455,134062.9459375,322.9956381225586,134350.248671875,0.0,0.2515179443359375,0.0,-287.302734375,0.0,0.0,0.46,0.54,0.0,2.2659271287918092,0.0,0.0,366.1460718586231,366.1460718586231,366.53819537924693
raf_spare_parts,42,quantity,le_p50,3626,1.394408287524651,13.70670875725134,1.394408287524651,13.70670875725134,2.7426146997382346,23.182677727260238,0.0,-1.3482064127067275,0.0,-9.475968985097618,0.0,0.0,0.9233314947600662,0.0766685052399338,0.0,5.894189837800161,0.0,0.0,3.7022572516305967,3.7022572516305967,4.814839325175892
raf_spare_parts,42,quantity,p50_p90,2555,5.72402446848539,75.68585097952071,5.72402446848539,75.68585097952071,5.5315261479693145,73.06188067976794,0.0,0.19249832126259103,0.0,2.6239703439948845,0.0,0.0,0.3557729941291585,0.6442270058708415,0.0,4.3093139036061014,0.0,0.0,8.699761547279369,8.699761547279369,8.547624271092403
raf_spare_parts,42,quantity,p90_p95,235,29.22373043628449,977.2809493775063,29.22373043628449,977.2809493775063,26.933320041413,852.3836655190651,0.0,2.2904103948714885,0.0,124.89728411816536,0.0,0.0,0.20425531914893616,0.7957446808510639,0.0,2.695409961964222,0.0,0.0,31.26149307658715,31.26149307658715,29.19561038099846
raf_spare_parts,42,quantity,p95_p99,224,87.21592674936566,9266.142538530486,87.21592674936566,9266.142538530486,85.84398981503078,9052.045433316913,0.0,1.3719369343348913,0.0,214.09710502624512,0.0,0.0,0.35267857142857145,0.6473214285714286,0.0,2.37284477693694,0.0,0.0,96.26080478850406,96.26080478850406,95.14223790366145
raf_spare_parts,42,quantity_region,body_le_p95,6416,4.137871511856517,73.6812497366245,4.137871511856517,73.6812497366245,4.739261287257558,73.41702867406998,0.0,-0.6013897753824617,0.0,0.26422108115832743,0.0,0.0,0.6709788029925187,0.3290211970074813,0.0,5.145893191496036,0.0,0.0,8.583778290276637,8.583778290276637,8.568373747337938
raf_spare_parts,42,quantity_region,extreme_tail_gt_p99,50,323.24715606689455,134062.9459375,323.24715606689455,134062.9459375,322.9956381225586,134350.248671875,0.0,0.2515179443359375,0.0,-287.302734375,0.0,0.0,0.46,0.54,0.0,2.2659271287918092,0.0,0.0,366.1460718586231,366.1460718586231,366.53819537924693
raf_spare_parts,42,quantity_region,tail_p95_p99,224,87.21592674936566,9266.142538530486,87.21592674936566,9266.142538530486,85.84398981503078,9052.045433316913,0.0,1.3719369343348913,0.0,214.09710502624512,0.0,0.0,0.35267857142857145,0.6473214285714286,0.0,2.37284477693694,0.0,0.0,96.26080478850406,96.26080478850406,95.14223790366145
raf_spare_parts,42,surprise,no_prior_visible_write,6690,9.304530495556659,1382.885220301347,9.304530495556659,1382.885220301347,9.83347325018525,1377.6105032331197,0.0,-0.5289427546107716,0.0,5.2747170797968215,0.0,0.0,0.658744394618834,0.3412556053811659,0.0,5.031519327819437,0.0,0.0,37.187164725229415,37.187164725229415,37.11617576250441
