backbone,backbone_label,variant,stratum_order,stratum,stratum_label,count,share,n_seeds,nll_mean,nll_std,nll_marker_mean,nll_marker_std,nll_time_mean,nll_time_std,mark_acc_mean,mark_acc_std,qty_mae_mean,qty_mae_std,qty_rmse_mean,qty_rmse_std,qty_bias_mean,qty_bias_std
titantpp,TitanTPP,log_regression,0,history_le_64,History <= 64,25088,0.2907573738193197,3,-3.5090403781350377,0.0072036773707940425,0.08742829905170459,0.002119517027023513,-3.596468677186743,0.005095873346962563,0.9638738307823129,0.0006861581278526571,0.8177272152641889,0.019541936853198643,1.432368646381404,0.0394737802992141,0.04282244052627079,0.2637536813694405
titantpp,TitanTPP,log_regression,1,history_65_128,History 65-128,28456,0.3297908095265689,3,-3.486183241253443,0.007753534037350902,0.11011183314999128,0.0024159975324392737,-3.5962950744034368,0.005338019637853527,0.9564708087339518,0.0010028298531451903,1.106643393314574,0.05870794575476616,2.55361830903067,0.19352999243910174,0.06793404168275402,0.22153102652473183
titantpp,TitanTPP,log_regression,2,history_gt_128,History > 128,32741,0.3794518166541114,3,-3.4942153173994814,0.009313991171210954,0.10225255301557871,0.004926407067540678,-3.59646787041506,0.0052132600421515825,0.9569550919845657,0.0022033861370415763,0.09506233593967134,0.008074275668929888,0.3254689858840931,0.011472488991047842,0.015580039425079163,0.019764248482383992
