backbone,backbone_label,variant,seed,stratum_order,stratum,stratum_label,share,count,nll,nll_marker,nll_time,mark_acc,qty_mae,qty_rmse,qty_bias
rmtpp,Adapted RMTPP,log_regression,62,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.4118331803659476,0.18765463191484108,-3.5994878122807887,0.9058113419427288,1.663570807262594,2.2397863810393814,0.4743514529511475
rmtpp,Adapted RMTPP,log_regression,62,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.4952126237287797,0.10424231505894006,-3.5994549387877206,0.958590308370044,3.1637560963455624,4.284714019483553,0.7781417107267001
rmtpp,Adapted RMTPP,log_regression,62,4,gt_p99,> 187,0.013223619400822855,1141,-3.5630746959137043,0.03639173095404923,-3.599466426867753,0.9886064855390009,8.237225919517899,13.310725357999626,-2.2456341943230993
thp,Adapted THP,log_regression,42,0,le_p50,<= 2,0.5219447180854146,45036,-3.5145701741080604,0.08486438095056385,-3.5994345550586235,0.9670263788968825,0.12042224414872281,0.18671126513845,-0.07814558728495737
thp,Adapted THP,log_regression,42,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.4402542354302263,0.1591052959697827,-3.5993595314000086,0.9419858683525474,1.3410626648325092,2.1029434744654107,0.8007966322381226
thp,Adapted THP,log_regression,42,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.3030704992499342,0.2963092874267328,-3.5993797866766672,0.8717012914093206,2.5749662378944085,3.6529491673867502,-0.11588722477462572
thp,Adapted THP,log_regression,42,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.4746444067987983,0.12481227373992275,-3.599456680538721,0.9506607929515418,8.941405489301191,11.12516767962559,7.319553162382913
thp,Adapted THP,log_regression,42,4,gt_p99,> 187,0.013223619400822855,1141,-3.5316235895036656,0.06783055744905128,-3.599454146952717,0.9780893952673094,31.85574497286423,38.815000669798664,28.487977986582322
thp,Adapted THP,log_regression,52,0,le_p50,<= 2,0.5219447180854146,45036,-3.503201032647728,0.09181907808499437,-3.5950201107327198,0.961697308819611,0.10602508142268915,0.18612160694699775,-0.0487674834506636
thp,Adapted THP,log_regression,52,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.433837790626099,0.16110210429498772,-3.5949398949210836,0.9438452956489402,2.2276675220459388,3.3610324031729446,1.9208754502742382
thp,Adapted THP,log_regression,52,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.3394108973917853,0.2555620926640377,-3.5949729900558234,0.907636159460977,2.7604195947127685,3.835357485584712,1.8297076177088347
thp,Adapted THP,log_regression,52,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.444685437457554,0.15026121255877156,-3.5949466500163254,0.945374449339207,14.809910036778835,18.004076941398555,14.20219532970815
thp,Adapted THP,log_regression,52,4,gt_p99,> 187,0.013223619400822855,1141,-3.5456014782555383,0.0493656414862776,-3.594967119741816,0.9842243645924628,31.736532279841217,37.087520119343516,30.922910431202414
thp,Adapted THP,log_regression,62,0,le_p50,<= 2,0.5219447180854146,45036,-3.4961100891898043,0.09398668037792325,-3.5900967695677255,0.9616528999023004,0.10945284549778525,0.18449225721935655,-0.06116515900951283
thp,Adapted THP,log_regression,62,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.458881396798184,0.13118808413057023,-3.5900694809287534,0.9537847797423848,1.4919535201865932,2.4496172824066766,0.9883934543664687
thp,Adapted THP,log_regression,62,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.2096777757009574,0.38040615595073923,-3.5900839316516966,0.8476979225154407,4.0587842655878,11.974613969734392,2.566124441916858
thp,Adapted THP,log_regression,62,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.367987836854226,0.2220988244271636,-3.5900866612813895,0.9262848751835536,19.21665640283436,31.18585140171905,18.484663491382122
thp,Adapted THP,log_regression,62,4,gt_p99,> 187,0.013223619400822855,1141,-3.509576621516272,0.08051460822257026,-3.5900912297388423,0.9807186678352322,34.084532501193955,39.57799378617409,32.88852157392176
