backbone,backbone_label,variant,stratum_order,stratum,stratum_label,count,share,n_seeds,nll_mean,nll_std,nll_marker_mean,nll_marker_std,nll_time_mean,nll_time_std,mark_acc_mean,mark_acc_std,qty_mae_mean,qty_mae_std,qty_rmse_mean,qty_rmse_std,qty_bias_mean,qty_bias_std
rmtpp,Adapted RMTPP,log_regression,0,le_p50,<= 2,45036,0.5219447180854146,3,-3.5384451638257266,0.001346869437928113,0.06104237861331823,0.0013511440841562862,-3.5994875424390407,4.536285091485849e-06,0.9755084821032063,0.0001676399865723166,0.05753380980373619,0.011320062062264083,0.14554491157246396,0.004982365440152852,0.016331497405884507,0.025491139364457602
rmtpp,Adapted RMTPP,log_regression,1,p50_p90,"(2, 31]",29579,0.34280581792895637,3,-3.501572144546804,0.0029541617194972884,0.09790288843386874,0.002948614056034375,-3.5994750329806733,7.787312064991827e-06,0.9632171473004497,0.0013236939687245488,0.8170871242155553,0.02617092676455437,1.2811181056091492,0.06888785764708026,-0.027815024823762118,0.24132021816339352
rmtpp,Adapted RMTPP,log_regression,2,p90_p95,"(31, 46]",7124,0.08256359738077301,3,-3.4055656663426985,0.005474644272744449,0.19390546050856433,0.005457858452533599,-3.5994711268512627,2.390929776853545e-05,0.9075893692682014,0.0017551000686422476,1.550034059024406,0.1309220816211164,2.216677657161474,0.12886398132908164,-0.268746506067869,0.940004117316905
rmtpp,Adapted RMTPP,log_regression,3,p95_p99,"(46, 187]",3405,0.03946224720403314,3,-3.497921865572467,0.0023466396254066767,0.10153060386163158,0.0023487352189363623,-3.5994524694340986,3.2775738696990895e-06,0.9600587371512481,0.001468428781204123,3.277223798777038,0.6729432554692861,4.7130503032274405,1.213966960712182,0.5980784903072109,0.44980204871309337
rmtpp,Adapted RMTPP,log_regression,4,gt_p99,> 187,1141,0.013223619400822855,3,-3.565209074683964,0.0025820936286436737,0.034267851307761915,0.002573237690099931,-3.599476925991726,9.695391074487683e-06,0.9900671925211803,0.0013387600627975036,8.405202238733157,0.15618213287224722,13.833149574217183,0.7061262855374572,-2.9895273532360367,1.2533949999396403
thp,Adapted THP,log_regression,0,le_p50,<= 2,45036,0.5219447180854146,3,-3.504627098648531,0.009312300036848655,0.09022337980449383,0.004765897235819789,-3.594850478453023,0.00467120335687099,0.963458862539598,0.0030896395837708285,0.1119667236897324,0.007520589159961726,0.18577504310160142,0.0011493819689084035,-0.06269274324837792,0.014748504379419575
thp,Adapted THP,log_regression,1,p50_p90,"(2, 31]",29579,0.34280581792895637,3,-3.4443244742848362,0.01300848514531219,0.15046516146511354,0.01672426661451482,-3.5947896357499487,0.004646847620000021,0.9465386479146242,0.006343830650057409,1.6868945690216803,0.47436120477891563,2.6378643866816773,0.6498266440636763,1.2366885122929432,0.599901630683172
thp,Adapted THP,log_regression,2,p90_p95,"(31, 46]",7124,0.08256359738077301,3,-3.284053057447559,0.06692471916595423,0.31075917868050323,0.06366403657024765,-3.5948122361280626,0.004650011992488405,0.8756784577952461,0.030166396062188353,3.131390032731659,0.8084820865300122,6.487640207568618,4.752733844710713,1.4266482782836891,1.3856908992956127
thp,Adapted THP,log_regression,3,p95_p99,"(46, 187]",3405,0.03946224720403314,3,-3.429105893703526,0.0550086140142896,0.16572410357528597,0.05045288876859999,-3.594829997278812,0.004686098709648282,0.9407733724914341,0.012822783351412603,14.322657309638128,5.154925484339769,20.105032007581066,10.194030949141503,13.335470661157729,5.63279068517432
thp,Adapted THP,log_regression,4,gt_p99,> 187,1141,0.013223619400822855,3,-3.5289338964251584,0.018162417581742658,0.06590360238596638,0.015663633009172166,-3.594837498811125,0.004682804274974746,0.9810108092316682,0.0030779005997232517,32.55893658463313,1.322548710639702,38.493504858438754,1.2759837141733454,30.766469997235497,2.204438970135797
