status,reproducibility_mode,source_revision,train_loader_seed,dataset_name,dataset_kind,model_name,candidate_name,titan_candidate_name,seed,epochs,lr,batch_size,lookback_weeks,max_seq_len,scale_base,analysis_scale_base,analysis_tail_order,titan_profile,loss_mode,split_mode,evaluation_scope,held_out_test_evaluated,value_head_activation,value_head_mode,time_head_mode,qty_mark_gradient_mode,value_encoder_gradient_mode,marker_loss_mode,lambda_ordinal,qty_decoder_mode,magnitude_norm_mode,magnitude_input_emb_dim,lambda_magnitude,magnitude_encoder_gradient_mode,magnitude_aux_loss_mode,lambda_log_qty,log_qty_huber_delta,log_qty_floor,magnitude_sigma_floor,magnitude_effective_sigma_floor,magnitude_revin_eps,magnitude_shrinkage_k,magnitude_center_mode,magnitude_revin_affine,magnitude_stat_context_mode,magnitude_domain,magnitude_exp_clamp_min,magnitude_exp_clamp_max,magnitude_stats_source_split,magnitude_train_event_count,magnitude_global_mean,magnitude_global_var,magnitude_global_std,value_input_mode,value_input_emb_dim,train_loss_scope,lambda_dt,test_time_memory,run_dir,resume_checkpoint_path,best_score_checkpoint_path,best_val_nll_checkpoint_path,final_checkpoint_path,num_marks,max_order,series_count,rmtpp_rnn_type,rmtpp_hidden_dim,rmtpp_mark_emb_dim,name,d_model,n_layers,n_heads,d_ff,dropout,contextual_mem_size,persistent_mem_size,use_lmm,mem_size,mem_topk,use_pos_emb,use_causal,memory_mode,ttm_chunk_size,ttm_memory_update,best_score_epoch,best_score,best_score_val_nll,best_score_qty_mae,best_score_dt_mae,best_score_mark_acc,best_val_nll_epoch,best_val_nll,best_val_nll_score,best_val_nll_qty_mae,best_val_nll_dt_mae,best_val_nll_mark_acc,best_val_nll_value_mae,best_val_nll_log_qty_mae,best_val_nll_log_qty_rmse,best_val_nll_magnitude_loss,best_val_nll_log_qty_aux_loss,best_val_nll_ordinal_marker_loss,best_val_nll_mark_balanced_accuracy,best_val_nll_mark_macro_f1,best_val_nll_mark_mae,best_val_nll_mark_adjacent_accuracy,best_val_nll_mark_0_recall,best_val_nll_mark_1_recall,final_epoch,final_train_loss,final_score,final_val_nll,final_qty_mae,final_log_qty_mae,final_log_qty_rmse,final_magnitude_loss,final_log_qty_aux_loss,final_dt_mae,final_mark_acc,final_ordinal_marker_loss,final_mark_mae,best_val_nll_qty_rmse,final_qty_rmse,best_val_nll_qty_wape,final_qty_wape,best_val_nll_context_1_count,final_context_1_count,best_val_nll_context_1_qty_mae,final_context_1_qty_mae,best_val_nll_context_1_log_qty_mae,final_context_1_log_qty_mae,best_val_nll_context_2_4_count,final_context_2_4_count,best_val_nll_context_2_4_qty_mae,final_context_2_4_qty_mae,best_val_nll_context_2_4_log_qty_mae,final_context_2_4_log_qty_mae,best_val_nll_context_5_8_count,final_context_5_8_count,best_val_nll_context_5_8_qty_mae,final_context_5_8_qty_mae,best_val_nll_context_5_8_log_qty_mae,final_context_5_8_log_qty_mae,best_val_nll_context_9_plus_count,final_context_9_plus_count,best_val_nll_context_9_plus_qty_mae,final_context_9_plus_qty_mae,best_val_nll_context_9_plus_log_qty_mae,final_context_9_plus_log_qty_mae,best_score_state_sha256,best_val_nll_state_sha256,final_state_sha256
success,strict,726aa64ab0b5478646d11be36fc19dcb224d417e,42,insta_market_basket,insta_market_basket,titantpp,small_lmm,small_lmm,42,300,0.001,128,52,64,2.0,2.0,4,dataset_best,hybrid,fixed,validation_only,false,identity,shared,shared,coupled,coupled,ce,0.0,mark_residual,global,8,1.0,coupled,none,0.25,1.0,1.0,0.0014535461338152059,,0.00001,8.0,mean,false,none,,-2.0,15.0,,,,,,residual,8,target_only,1.0,none,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_titantpp_e300_20260808/insta_market_basket/runs/insta_market_basket/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_42,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_titantpp_e300_20260808/insta_market_basket/runs/insta_market_basket/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_42/checkpoints/last_epoch_state.pt,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_titantpp_e300_20260808/insta_market_basket/runs/insta_market_basket/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_42/checkpoints/best_score_model.pt,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_titantpp_e300_20260808/insta_market_basket/runs/insta_market_basket/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_42/checkpoints/best_val_nll_model.pt,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_titantpp_e300_20260808/insta_market_basket/runs/insta_market_basket/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_42/checkpoints/final_model.pt,9,7,206209,gru,64,32,small_lmm,64,2,4,128,0.1,16,16,true,64,4,true,true,static_lmm,1,all,160,0.43842235333348634,4.392226128403319,4.3577793590392995,5.716328971577402,0.49994342240829964,137,4.383617851654945,0.43710655907411766,4.294623106096911,5.681116443991949,0.4982123466201341,0.25472607600976066,0.6873381188221589,0.9099223481524241,NaN,NaN,0.05989907835780406,0.27470267819997385,0.29820466237932863,0.5861498055517507,0.9261434132764779,0.2202435035435217,0.28788195169485625,300,5.267941750545801,0.43669397536579546,4.391829287021855,4.340794905448325,0.6886684983197309,0.9128194978715759,NaN,NaN,5.688972544374811,0.49792449571499187,0.0599913272269293,0.5865587523549182,6.271884749265418,6.3426001218925405,0.40721658113655734,0.41159459564733325,261.0,261.0,7.292012120572086,8.017899552524318,1.172334549299145,1.2087810717780014,196241.0,196241.0,4.302123836163722,4.343049881665926,0.7286171253562856,0.7280682443411586,176852.0,176852.0,4.287253082846046,4.352445492582563,0.6503584993974065,0.6536319593722875,130379.0,130379.0,4.287330023179713,4.3142363671435255,0.6743966341320405,0.6758496146344394,7b1f77c3ab7f99aedba6eac61c7ac04783afac4db4fd89a06d9cc4116c1c3222,60ecd98c60499f0c019f78b9ebc3c580c3359d8b146b41e26351717037c52c77,764fcdeed6712037f77b722e5f9ca8f21fdd35f8f65e728268f8c27d8d25eac2
success,strict,726aa64ab0b5478646d11be36fc19dcb224d417e,52,insta_market_basket,insta_market_basket,titantpp,small_lmm,small_lmm,52,300,0.001,128,52,64,2.0,2.0,4,dataset_best,hybrid,fixed,validation_only,false,identity,shared,shared,coupled,coupled,ce,0.0,mark_residual,global,8,1.0,coupled,none,0.25,1.0,1.0,0.0014535461338152059,,0.00001,8.0,mean,false,none,,-2.0,15.0,,,,,,residual,8,target_only,1.0,none,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_titantpp_e300_20260808/insta_market_basket/runs/insta_market_basket/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_52,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_titantpp_e300_20260808/insta_market_basket/runs/insta_market_basket/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_52/checkpoints/last_epoch_state.pt,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_titantpp_e300_20260808/insta_market_basket/runs/insta_market_basket/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_52/checkpoints/best_score_model.pt,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_titantpp_e300_20260808/insta_market_basket/runs/insta_market_basket/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_52/checkpoints/best_val_nll_model.pt,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_titantpp_e300_20260808/insta_market_basket/runs/insta_market_basket/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_52/checkpoints/final_model.pt,9,7,206209,gru,64,32,small_lmm,64,2,4,128,0.1,16,16,true,64,4,true,true,static_lmm,1,all,182,0.43874766982282304,4.387838212981713,4.322604896866848,5.6960495549480505,0.5000307702691704,160,4.383102664139902,0.43723126532214057,4.3079873512863704,5.6812056452637885,0.4983513091260648,0.2518814539346747,0.6870353333673392,0.9115188627731778,NaN,NaN,0.059896341766338276,0.2709130049909808,0.28982061926400415,0.5855939555280277,0.9263717088219354,0.2126113029256769,0.28829957541588364,300,5.26786258975348,0.435917029525313,4.39946602301252,4.321066505119264,0.6869749706049372,0.907498290146078,NaN,NaN,5.724569002289357,0.4974837860533259,0.060077612096000044,0.5850222240750557,6.2577407105708724,6.321326036008154,0.40848378016685083,0.40972394680695223,261.0,261.0,7.309497085110895,8.008667229692598,1.1780860163699622,1.166883191386402,196241.0,196241.0,4.317452555809169,4.324077124079079,0.7279964213191686,0.7247613987366305,176852.0,176852.0,4.303311382710692,4.31541990516084,0.6505240778489154,0.6514139919957441,130379.0,130379.0,4.29407482270322,4.31681230280898,0.6739249369140611,0.6773762428935806,566333349e57ef0b0b66748ebbc5b0e545ea73015b94c687194c47201f930816,3b7d620339a3b435de575f05b9768498d076dae8d045d6e6cffc03529fb2e479,91aa1c55c0632ea81ae09c1804491f0658485aca4b443d15d02cc15578bf8a0c
success,strict,726aa64ab0b5478646d11be36fc19dcb224d417e,62,insta_market_basket,insta_market_basket,titantpp,small_lmm,small_lmm,62,300,0.001,128,52,64,2.0,2.0,4,dataset_best,hybrid,fixed,validation_only,false,identity,shared,shared,coupled,coupled,ce,0.0,mark_residual,global,8,1.0,coupled,none,0.25,1.0,1.0,0.0014535461338152059,,0.00001,8.0,mean,false,none,,-2.0,15.0,,,,,,residual,8,target_only,1.0,none,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_titantpp_e300_20260808/insta_market_basket/runs/insta_market_basket/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_62,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_titantpp_e300_20260808/insta_market_basket/runs/insta_market_basket/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_62/checkpoints/last_epoch_state.pt,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_titantpp_e300_20260808/insta_market_basket/runs/insta_market_basket/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_62/checkpoints/best_score_model.pt,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_titantpp_e300_20260808/insta_market_basket/runs/insta_market_basket/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_62/checkpoints/best_val_nll_model.pt,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_titantpp_e300_20260808/insta_market_basket/runs/insta_market_basket/titantpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_300/seed_62/checkpoints/final_model.pt,9,7,206209,gru,64,32,small_lmm,64,2,4,128,0.1,16,16,true,64,4,true,true,static_lmm,1,all,66,0.4386133545101079,4.385392938244453,4.335984776731629,5.700202383608471,0.49995136312292426,182,4.381271074717923,0.4365467336975422,4.30496909948256,5.68583936231025,0.4977100964201273,0.2539422088888006,0.6852561400409615,0.9060663664748239,NaN,NaN,0.05990476363133566,0.2742365075994721,0.30038025689606634,0.5849348762141849,0.9274238535096966,0.1746320188987825,0.29193638198649685,300,5.267909175787465,0.4381775982715197,4.394363018800997,4.328996441934633,0.6857900483517282,0.9124816177900074,NaN,NaN,5.75777753794322,0.5000843700928865,0.05972429743623084,0.5857984289296115,6.283218273951023,6.264209038340762,0.4081975892368919,0.41047586418801396,261.0,261.0,7.683045106829354,7.958792940410161,1.145554339291949,1.1653908619022004,196241.0,196241.0,4.301780633969497,4.336502151842656,0.722983279152812,0.7261076431489797,176852.0,176852.0,4.306586606607201,4.324200698349181,0.6509288005697497,0.6493670957008069,130379.0,130379.0,4.30081174243408,4.316938003248653,0.6741125469064982,0.6735513519230084,1c6e6b696438903fe0a81c4d58e71cefb1e793e70ded22dc5ad7315bb9b5e2be,5cf3230d52291568867ec62cb0419b06c31d69fd3b8f8fcf7cf1d2a09d049670,a134c6ade6db70926b100f889dbfca5709627d67a748e1e05a49f13587d77f88
