dataset,b0_completed_epochs,b1_completed_epochs,b0_elapsed_seconds,b1_elapsed_seconds,b0_seconds_per_completed_epoch,b1_seconds_per_completed_epoch,b1_b0_epoch_cost_ratio,steady_forward_ratio_b1_vs_b0,peak_allocated_ratio_b1_vs_b0
intermittent_frozen_5000,240,229,25696.178479909897,133573.92863726616,107.0674103329579,583.2922647915552,5.447897385185975,6.393864222651395,0.39752680675451263
yellow_trip_hourly,42,46,322.7571656703949,2424.5083684921265,7.684694420723688,52.706703662872314,6.858659665208754,6.627578696691485,0.20361089960698148
raf_spare_parts,43,42,76.99384665489197,543.9115197658539,1.7905545733695807,12.950274280139379,7.232549330104315,9.80361428517596,0.8872505843106522
