model,config_id,best_epoch,best_val_nll,final_val_nll,overfit_gap,best_marker_nll,final_marker_nll,best_time_nll,final_time_nll
RMTPP,rmtpp_gru_emb32_h128_seq250_lr1em03,861,-2.742889909628924,-2.655639271051726,0.08725063857719828,0.7881127819781185,0.9032127862122302,-3.531002692097517,-3.5588520565897177
TitanTPP,titan_mid_lmm_emb32_seq250_lr1em03,987,-2.868249262170089,-2.8276983131899898,0.04055094898009903,0.680533405064528,0.7236173416847799,-3.54878266782157,-3.551315640333386
