dataset,titan,baseline,best_val_nll_delta_pct,best_val_nll_qty_mae_delta_pct,best_val_nll_dt_mae_delta_pct,best_val_nll_mark_acc_delta_pp
Intermittent,TitanTPP V2 (draft e200),RMTPP-matched,-1.1230207328977904,-0.8988946552419613,-1.6430616183378752,-0.48606636277575
Intermittent,TitanTPP V2 (draft e200),THP-matched,-0.6569377476673234,-5.728086885840593,1.4883821006866451,0.46220058391606145
Taxi,TitanTPP V3b (draft e50),RMTPP-matched,-1.5692515390669945,-52.81141098021016,3.6100880376042777,0.4676665054023532
Taxi,TitanTPP V3b (draft e50),THP-matched,-2.7686273458370376,-64.58442824735454,0.8372807691734935,0.8063215610385477
Instacart,TitanTPP V2 (draft e200),RMTPP-matched,0.023671449257669796,-0.4168029380301851,0.13798163593073454,0.0007940714624621314
Instacart,TitanTPP V2 (draft e200),THP-matched,-0.14231480921799983,0.35481760111430727,-0.517179170369907,0.14875605396774683
