dataset,model,n,val_nll_mean,val_nll_std,qty_mae_mean,qty_mae_std,dt_mae_mean,dt_mae_std,mark_acc_mean,mark_acc_std,best_epoch_mean,best_epoch_std
Taxi,Adapted RMTPP,3,1.5802807967098773,0.0031635308133431636,65.858008524503,2.474772172820256,0.7326187623679455,0.008539948822499092,0.9179970972423803,0.0011663825303571788,92.66666666666667,40.27819923151149
Taxi,Adapted THP,3,1.5997739963196225,0.008711740148144013,87.75084924874739,2.677053405231731,0.7527641948289091,0.02236257838524794,0.9146105466860184,0.0020202338036393224,36.333333333333336,10.692676621563626
Taxi,TitanTPP,3,1.545767667389285,0.0047826981751012635,23.772173672832803,1.0929363675134234,0.7373561404766795,0.015118789301066889,0.9260603128527657,0.0013377406888434888,220.33333333333334,69.2916541391049
Instacart,Adapted RMTPP,3,4.380864052439888,0.0007213836652796518,4.337947590523849,0.013099166436618752,5.669010505739604,0.009422518301684306,0.4994047772662634,0.0003366639036517787,135.33333333333334,106.97819092382024
Instacart,Adapted THP,3,4.388146048127709,0.0009255861658169338,4.304593442326549,0.008100082795652632,5.706344725486225,0.005902203422782904,0.4979251574412106,0.0009075683044770549,173.33333333333334,38.00438571182717
Instacart,TitanTPP,3,4.3826638635042565,0.0012333896369015763,4.302526518955281,0.007008952282272875,5.682720483855329,0.0027013961814496526,0.49809125072210875,0.0003373226881679333,159.66666666666666,22.501851775650227
