dataset,model,seed,val_nll,qty_mae,dt_mae,mark_acc,best_epoch
Taxi,Adapted RMTPP,42,1.5823738456176109,68.59981078898555,0.7315909907935493,0.9193275278180939,61.0
Taxi,Adapted THP,42,1.6043291650189833,90.43419590236256,0.7471419105393677,0.9149733913884858,43.0
Taxi,Adapted RMTPP,52,1.576641534916952,65.18452230766307,0.7416260862154377,0.9171504596032898,79.0
Taxi,Adapted THP,52,1.5897290285624452,85.08013379060536,0.7337492665174103,0.9164247701983551,24.0
Taxi,Adapted RMTPP,62,1.581827009595069,63.78969247686038,0.7246392100948497,0.9175133043057572,138.0
Taxi,Adapted THP,62,1.605263795377439,87.73821805327424,0.7774014074299493,0.9124334784712144,42.0
Taxi,TitanTPP,42,1.5435685488585982,24.189402196392322,0.7204374405832525,0.9273101112723754,213.0
Taxi,TitanTPP,52,1.5424800738079512,24.595039014719394,0.7495432223567768,0.9262215771649734,155.0
Taxi,TitanTPP,62,1.5512543795013058,22.53207980738669,0.7420877584900093,0.9246492501209482,293.0
Instacart,Adapted RMTPP,42,4.380044076823316,4.345797464666398,5.659971140995992,0.4997349786494035,21.0
Instacart,Adapted THP,42,4.388785126449541,4.3133056509039065,5.713120697803791,0.4989726700454407,189.0
Instacart,Adapted RMTPP,52,4.381147058423868,4.345219651634849,5.67877435295622,0.49941735006441906,152.0
Instacart,Adapted THP,52,4.387084623581929,4.30318426992967,5.702323766494217,0.4973746012272374,201.0
Instacart,Adapted RMTPP,62,4.381401022072478,4.322825655270301,5.6682860232666,0.4990620030849676,233.0
Instacart,Adapted THP,62,4.388568394351657,4.297290406146073,5.703589712160668,0.4974282010509536,130.0
Instacart,TitanTPP,42,4.383617851654945,4.294623106096911,5.681116443991949,0.4982123466201341,137.0
Instacart,TitanTPP,52,4.383102664139902,4.3079873512863704,5.6812056452637885,0.4983513091260648,160.0
Instacart,TitanTPP,62,4.381271074717923,4.30496909948256,5.68583936231025,0.4977100964201273,182.0
