Dataset,Model,n,best_val_nll_mean,best_val_nll_qty_mae_mean,best_val_nll_dt_mae_mean,best_val_nll_mark_acc_mean,best_val_nll_epoch_mean,best_val_nll_std,best_val_nll_qty_mae_std,best_val_nll_dt_mae_std,best_val_nll_mark_acc_std,best_val_nll_epoch_std
Intermittent,RMTPP-matched,3,5.668251116317534,2.7408041219910912,41.88718579569828,0.5518324940534435,42.333333333333336,0.011454467010032426,0.04927698307193502,0.5029527090532,0.0023628728139596794,32.036437588054845
Intermittent,THP-matched,3,5.641657659850298,2.8812051124269593,40.59474855162612,0.5423498245865254,24.666666666666668,0.030468598652827073,0.017650292593234987,0.3283757416657974,0.006369480842886371,10.503967504392486
Intermittent,TitanTPP,3,5.617129843061451,2.7187558550260458,41.426794286083506,0.551935912428502,45.666666666666664,0.0158350471422534,0.13355235996617337,0.5581278561060469,0.012930194719811891,50.520622851795224
Taxi,RMTPP-matched,3,1.5802807967098775,65.858008524503,0.7326187623679455,0.9179970972423804,92.66666666666667,0.0031635308133432,2.474772172820258,0.008539948822499093,0.0011663825303572105,40.27819923151149
Taxi,THP-matched,3,1.5997739963196225,87.75084924874739,0.7527641948289091,0.9146105466860185,36.333333333333336,0.008711740148143984,2.677053405231731,0.022362578385247953,0.002020233803639337,10.692676621563626
Taxi,TitanTPP,3,1.545767667389285,23.772173672832803,0.7373561404766796,0.9260603128527657,220.33333333333334,0.0047826981751012635,1.092936367513422,0.015118789301066894,0.0013377406888434628,69.29165413910489
