model,model_label,model_role,n_seeds,best_val_joint_objective_mean,best_val_joint_objective_std,best_val_time_nll_mean,best_val_time_nll_std,best_val_log_qty_mse_mean,best_val_log_qty_mse_std,best_val_qty_mae_mean,best_val_qty_mae_std,best_val_qty_rmse_mean,best_val_qty_rmse_std,best_epoch_mean,best_epoch_std,completed_epochs_mean,completed_epochs_std,elapsed_seconds_mean,elapsed_seconds_std
rmtpp,Adapted RMTPP,t0_common_control,3,-3.588977573227918,0.0008548305486069334,-3.599494376205306,4.011258911285863e-07,0.010516803304590571,0.0008544337749507179,2.9025231278195256,0.1702520597350941,10.578742459963108,0.6046644746907728,219.33333333333334,25.81343319539912,259.3333333333333,25.81343319539912,5043.545763333638,511.13229929674554
thp,Adapted THP,t0_common_control,3,-3.595300805861359,0.0001496720448849704,-3.5994848127120664,4.213802435685172e-06,0.00418400722377485,0.00015254694942438182,0.6663796510258636,0.08187169090307003,2.1507372556199993,0.5551545510127159,223.0,22.9128784747792,263.0,22.9128784747792,12768.564920028051,1139.6233616175577
nhp,Adapted NHP,t0_common_control,3,-3.5559389431258164,0.002010816965532818,-3.5994923698059598,9.782667663420393e-07,0.04355342684032445,0.002010033896083211,5.2826904767350005,0.1646519716771066,15.424366991538955,0.7388889557644533,205.66666666666666,28.36077102854105,245.66666666666666,28.36077102854105,111054.9462369283,57638.44836803757
sahp,Adapted SAHP,t0_common_control,3,-3.5940859600477633,0.00011552332990007209,-3.5994940298460323,1.0682621905579796e-06,0.005408070176885286,0.00011445559421406928,1.0814587297670022,0.008460897066512481,3.7723801667799792,0.17503502443698218,211.0,23.57965224510319,251.0,23.57965224510319,16622.391706148785,1479.926175083047
