dataset,candidate,scope,role,count,qty_mae,qty_rmse,time_nll,log_qty_mse,joint_objective
insta_market_basket,constant_shrinkage,body_le_p95,baseline,477507,3.4245456387870368,4.628211735856777,3.2025743719796282,0.22854196490629075,3.431116336885919
insta_market_basket,constant_shrinkage,body_le_p95,candidate,477507,3.4245456387870368,4.628211735856777,3.2025743719796282,0.22854196490629075,3.431116336885919
insta_market_basket,constant_shrinkage,gt_p99,baseline,6036,23.000999665402514,25.454692140390446,3.2959781239726356,0.7680749662430674,4.064053090215703
insta_market_basket,constant_shrinkage,gt_p99,candidate,6036,23.000999665402514,25.454692140390446,3.2959781239726356,0.7680749662430674,4.064053090215703
insta_market_basket,constant_shrinkage,history_le_64,baseline,503733,4.026534869941726,5.974160054980949,3.2064400114488096,0.24394953996582858,3.4503895514146383
insta_market_basket,constant_shrinkage,history_le_64,candidate,503733,4.026534869941726,5.974160054980949,3.2064400114488096,0.24394953996582858,3.4503895514146383
insta_market_basket,constant_shrinkage,le_p50,baseline,247651,2.568485994392343,3.574477709623655,3.1937783428278412,0.2764854779087202,3.4702638207365615
insta_market_basket,constant_shrinkage,le_p50,candidate,247651,2.568485994392343,3.574477709623655,3.1937783428278412,0.2764854779087202,3.4702638207365615
insta_market_basket,constant_shrinkage,overall,baseline,503733,4.026534869941726,5.974160054980949,3.2064400114488096,0.24394953996582858,3.4503895514146383
insta_market_basket,constant_shrinkage,overall,candidate,503733,4.026534869941726,5.974160054980949,3.2064400114488096,0.24394953996582858,3.4503895514146383
insta_market_basket,constant_shrinkage,p50_p90,baseline,202534,3.779617817658605,4.74967520652014,3.2073437378471317,0.15603059714719283,3.3633743349943246
insta_market_basket,constant_shrinkage,p50_p90,candidate,202534,3.779617817658605,4.74967520652014,3.2073437378471317,0.15603059714719283,3.3633743349943246
insta_market_basket,constant_shrinkage,p90_p95,baseline,27322,8.55190960622778,9.556266330771706,3.2469483807952413,0.33149044668494804,3.5784388274801895
insta_market_basket,constant_shrinkage,p90_p95,candidate,27322,8.55190960622778,9.556266330771706,3.2469483807952413,0.33149044668494804,3.5784388274801895
insta_market_basket,constant_shrinkage,p95_p99,baseline,20190,12.591378965810009,13.789597413507476,3.271096666169792,0.45165651722909345,3.722753183398886
insta_market_basket,constant_shrinkage,p95_p99,candidate,20190,12.591378965810009,13.789597413507476,3.271096666169792,0.45165651722909345,3.722753183398886
insta_market_basket,constant_shrinkage,tail_gt_p95,baseline,26226,14.987187344622651,17.19053488641169,3.2768232153689825,0.5244812620719344,3.801304477440917
insta_market_basket,constant_shrinkage,tail_gt_p95,candidate,26226,14.987187344622651,17.19053488641169,3.2768232153689825,0.5244812620719344,3.801304477440917
insta_market_basket,smooth_shrinkage,body_le_p95,baseline,477507,3.4245456387870368,4.628211735856777,3.2025743719796282,0.22854196490629075,3.431116336885919
insta_market_basket,smooth_shrinkage,body_le_p95,candidate,477507,3.4245456387870368,4.628211735856777,3.2025743719796282,0.22854196490629075,3.431116336885919
insta_market_basket,smooth_shrinkage,gt_p99,baseline,6036,23.000999665402514,25.454692140390446,3.2959781239726356,0.7680749662430674,4.064053090215703
insta_market_basket,smooth_shrinkage,gt_p99,candidate,6036,23.000999665402514,25.454692140390446,3.2959781239726356,0.7680749662430674,4.064053090215703
insta_market_basket,smooth_shrinkage,history_le_64,baseline,503733,4.026534869941726,5.974160054980949,3.2064400114488096,0.24394953996582858,3.4503895514146383
insta_market_basket,smooth_shrinkage,history_le_64,candidate,503733,4.026534869941726,5.974160054980949,3.2064400114488096,0.24394953996582858,3.4503895514146383
insta_market_basket,smooth_shrinkage,le_p50,baseline,247651,2.568485994392343,3.574477709623655,3.1937783428278412,0.2764854779087202,3.4702638207365615
insta_market_basket,smooth_shrinkage,le_p50,candidate,247651,2.568485994392343,3.574477709623655,3.1937783428278412,0.2764854779087202,3.4702638207365615
