dataset,role,selected_epoch,joint_objective,log_qty_mse,qty_mae,qty_rmse,time_nll,body_mae,p99_mae
intermittent_v2,original,-1,-3.5857056899064643,0.007150350768383675,0.7620852018574226,1.7224035439438634,-3.592856040674848,0.603369344755832,6.067985634966758
intermittent_v2,constant_shrinkage,-1,-3.5857056899064643,0.007150350768383675,0.7620852018574226,1.7224035439438634,-3.592856040674848,0.603369344755832,6.067985634966758
intermittent_v2,smooth_shrinkage,-1,-3.5857056899064643,0.007150350768383675,0.7620852018574226,1.7224035439438634,-3.592856040674848,0.603369344755832,6.067985634966758
yellow_trip_hourly,original,-1,1.5576024951687282,0.1911722491331818,51.767734241445226,181.53760165479204,1.3664302460355464,23.167407269833294,1166.282479974288
yellow_trip_hourly,constant_shrinkage,-1,1.5576024951687282,0.1911722491331818,51.767734241445226,181.53760165479204,1.3664302460355464,23.167407269833294,1166.282479974288
yellow_trip_hourly,smooth_shrinkage,-1,1.5576024951687282,0.1911722491331818,51.767734241445226,181.53760165479204,1.3664302460355464,23.167407269833294,1166.282479974288
raf_spare_parts,original,-1,3.842684091156714,0.5575681267867904,9.08649151632604,36.12338843297692,3.2851159643699237,4.225942206269414,313.51081294059753
raf_spare_parts,constant_shrinkage,40,3.8426647694038376,0.5575488050339141,9.086723302805904,36.12421026858683,3.2851159643699237,4.2259469361618125,313.51967460155487
raf_spare_parts,smooth_shrinkage,21,3.8423836025086313,0.5572676381387074,9.088511148500514,36.12320298671928,3.2851159643699237,4.228068073101323,313.5101661801338
insta_market_basket,original,-1,3.4503895514146383,0.24394953996582858,4.026534869941726,5.974160054980949,3.2064400114488096,3.4245456387870368,23.000999665402514
insta_market_basket,constant_shrinkage,-1,3.4503895514146383,0.24394953996582858,4.026534869941726,5.974160054980949,3.2064400114488096,3.4245456387870368,23.000999665402514
insta_market_basket,smooth_shrinkage,-1,3.4503895514146383,0.24394953996582858,4.026534869941726,5.974160054980949,3.2064400114488096,3.4245456387870368,23.000999665402514
