dataset,kind,completed_epochs,selected_epoch,total_batches,zero_gradient_batches,final_gate_mean,final_gate_std,final_near_identity_fraction,selected_gate_mean,final_residual_reduction,fit_epoch_seconds,body_relative_change,rmse_relative_change,p99_relative_change
intermittent_v2,constant_shrinkage,10,-1,5120,0,0.999380350112915,0.0,0.0,1.0,0.0006196498870849609,0.7445714989444241,0.0,0.0,0.0
intermittent_v2,smooth_shrinkage,10,-1,5120,0,0.9999962091387715,2.82082118631935e-7,0.0,1.0,3.790861228480935e-6,1.4581897089956328,0.0,0.0,0.0
yellow_trip_hourly,constant_shrinkage,10,-1,3000,0,0.9982032775878906,0.0,0.0,1.0,0.001796722412109375,0.42091699980665,0.0,0.0,0.0
yellow_trip_hourly,smooth_shrinkage,10,-1,3000,0,0.9999868437537981,4.26213298998049e-7,0.0,1.0,0.00001315624620189572,0.8256368339061737,0.0,0.0,0.0
raf_spare_parts,constant_shrinkage,40,40,8080,0,0.9866642355918884,0.0,0.0,0.9866642355918884,0.013335764408111572,1.0691665859194472,1.1192515580594148e-6,0.0000227507896009518,0.000028265886188159924
raf_spare_parts,smooth_shrinkage,31,21,6262,0,0.8732352598855945,0.09268519465473102,0.05035106094107607,0.8789026678692884,0.12676474011440553,1.7288999151205644,0.0005030515629757106,-5.13368943733004e-6,-2.0629606285580955e-6
insta_market_basket,constant_shrinkage,10,-1,5120,0,0.8934240341186523,0.0,0.0,1.0,0.10657596588134766,0.802937792846933,0.0,0.0,0.0
insta_market_basket,smooth_shrinkage,10,-1,5120,0,0.8605184524176366,0.05630699070378082,0.0,1.0,0.13948154758236342,1.8493725000880659,0.0,0.0,0.0
