status,variant,variant_label,seed,epochs,completed_epochs,stopped_early,best_epoch,best_val_nll,best_val_qty_mae,best_val_qty_rmse,mark_acc,preclamp_negative_share,source_revision,source_revision_history,evaluation_scope,held_out_test_evaluated,checkpoint_path,checkpoint_state_sha256,elapsed_seconds,interface_meta
success,log_regression,Log-scale regression,42,300,68,True,8,1.5525749099387256,34.93997885702772,107.53123084711544,0.9256168359941945,0.0,19ee084161887a1247819c8d535aedb5b5e4aa38,['19ee084161887a1247819c8d535aedb5b5e4aa38'],validation_only,False,/home/leekwanhyeong/workspace/paper_research/search_artifacts/taxi_positive_regression_control_e300_20260811/log_regression/runs/log_regression/seed_42/best_val_nll_model.pt,5ad028e8046a6b1281a02ab46c0ad64f7245b48a2cce7063adb97f90088370e6,316.2520241737366,"{'mode': 'log_regression', 'target': 'log1p_demand_qty', 'loss': 'mse_on_log1p_quantity', 'output_activation': 'softplus', 'inverse_transform': 'expm1', 'train_min': 1.0, 'train_max': 6322.0, 'train_target_mean': 2.837734592747447, 'history_quantity_input': 'log10_within_mark_residual', 'support': 'nonnegative', 'fitted_on': 'train'}"
success,log_regression,Log-scale regression,52,300,63,True,3,1.5528894564813616,34.321877449174174,114.60934982158494,0.923681664247702,0.0,19ee084161887a1247819c8d535aedb5b5e4aa38,['19ee084161887a1247819c8d535aedb5b5e4aa38'],validation_only,False,/home/leekwanhyeong/workspace/paper_research/search_artifacts/taxi_positive_regression_control_e300_20260811/log_regression/runs/log_regression/seed_52/best_val_nll_model.pt,fd4390993589ce03eb5fd2b2f2885d9d3029bd475853e2f9734bf15029b3450d,287.5135474205017,"{'mode': 'log_regression', 'target': 'log1p_demand_qty', 'loss': 'mse_on_log1p_quantity', 'output_activation': 'softplus', 'inverse_transform': 'expm1', 'train_min': 1.0, 'train_max': 6322.0, 'train_target_mean': 2.837734592747447, 'history_quantity_input': 'log10_within_mark_residual', 'support': 'nonnegative', 'fitted_on': 'train'}"
success,log_regression,Log-scale regression,62,300,65,True,5,1.5529669305813387,33.93573200193706,117.81581717070337,0.9240445089501693,0.0,19ee084161887a1247819c8d535aedb5b5e4aa38,['19ee084161887a1247819c8d535aedb5b5e4aa38'],validation_only,False,/home/leekwanhyeong/workspace/paper_research/search_artifacts/taxi_positive_regression_control_e300_20260811/log_regression/runs/log_regression/seed_62/best_val_nll_model.pt,2cb017bd2a93d1d2ecddbc26cbf73d628f1f0347f483ace3acb2dbb9134807b0,298.31947207450867,"{'mode': 'log_regression', 'target': 'log1p_demand_qty', 'loss': 'mse_on_log1p_quantity', 'output_activation': 'softplus', 'inverse_transform': 'expm1', 'train_min': 1.0, 'train_max': 6322.0, 'train_target_mean': 2.837734592747447, 'history_quantity_input': 'log10_within_mark_residual', 'support': 'nonnegative', 'fitted_on': 'train'}"
